q_inverse_angstroms,debye,strat{s=0.50}_PhiTEBaseplate,strat{s=0.50}_PhiTEBaseplate_relDiffDebye,strat{s=0.45}_PhiTEBaseplate,strat{s=0.45}_PhiTEBaseplate_relDiffDebye,strat{s=0.40}_PhiTEBaseplate,strat{s=0.40}_PhiTEBaseplate_relDiffDebye,strat{s=0.35}_PhiTEBaseplate,strat{s=0.35}_PhiTEBaseplate_relDiffDebye,strat{s=0.30}_PhiTEBaseplate,strat{s=0.30}_PhiTEBaseplate_relDiffDebye,strat{s=0.25}_PhiTEBaseplate,strat{s=0.25}_PhiTEBaseplate_relDiffDebye,strat{s=0.20}_PhiTEBaseplate,strat{s=0.20}_PhiTEBaseplate_relDiffDebye,strat{s=0.15}_PhiTEBaseplate,strat{s=0.15}_PhiTEBaseplate_relDiffDebye,propo{e=0.450}_PhiTEBaseplate,propo{e=0.450}_PhiTEBaseplate_relDiffDebye,propo{e=0.440}_PhiTEBaseplate,propo{e=0.440}_PhiTEBaseplate_relDiffDebye,propo{e=0.430}_PhiTEBaseplate,propo{e=0.430}_PhiTEBaseplate_relDiffDebye,propo{e=0.420}_PhiTEBaseplate,propo{e=0.420}_PhiTEBaseplate_relDiffDebye
0,42.787308,2207.326425,5058.834542710657,-936.744381,2289.3043165978097,534.467889,1149.1271687389167,3118.08341,7187.402633509919,-483.56764,1230.1660763514265,-165.863579,487.6466801790848,144.193516,237.0006731902834,144.193518,237.00067786456677,38.98346,8.890131625013666,39.873146,6.810809411052466,40.795492,4.655156150510801,41.766904,2.3848286973324107
0.02,10.878396,558.389117,5033.009655099889,-236.718195,2276.0395098689182,135.505616,1145.6396696718891,791.292209,7173.978709728897,-122.122436,1222.6143633675406,-42.423033,489.9750753695673,36.620604,236.636062890154,36.380094,234.42516709264854,9.916016,8.84670865079741,10.141065,6.777938585798872,10.374412,4.632888892811043,10.620188,2.3735852234097727
0.04,0.185158,8.012784,4227.538642672745,-3.256803,1858.9318311928191,1.897162,924.6178939068257,10.713741,5686.269564372051,-1.712511,1024.8917141036304,-0.567533,406.5128160814008,0.474616,156.3302692835308,0.500183,170.13847632832503,0.175013,5.479104332516007,0.177329,4.228280711608465,0.179769,2.910487259529687,0.182377,1.5019604877995971
0.06,0.132238,5.066079,3731.031171070343,-2.191526,1757.2588817132746,1.264383,856.141956169936,7.191613,5338.386091743675,-1.183484,994.9651386137118,-0.38173,388.6689151378575,0.349765,164.49658948259955,0.3589,171.4045886961388,0.126806,4.1077451262118245,0.12802,3.189703413542249,0.129317,2.20889608130795,0.130722,1.1464178224110995
0.08,0.077783,2.415514,3005.4523481994775,-1.024595,1417.2479847781647,0.589344,657.6771273928749,3.391522,4260.2355270431835,-0.540094,794.3599501176349,-0.185126,338.0031626447938,0.15789,102.98779939061234,0.163843,110.64114266613525,0.0772,0.7495211035830454,0.07728,0.64667086638469,0.077401,0.4911098826221762,0.077568,0.27641001247060004
0.1,0.077527,2.363964,2949.21382228127,-1.024048,1420.8920763088988,0.589349,660.1854837669457,3.373255,4251.071239697138,-0.539301,795.6299095798884,-0.177396,328.81834715647454,0.156717,102.14505914068648,0.164404,112.06031447108748,0.076967,0.722328995059792,0.077041,0.6268783778554572,0.077157,0.477253086021638,0.077317,0.27087337314742205
0.12,0.060842,1.499877,2365.200026297623,-0.644766,1159.7383386476447,0.372491,512.2267512573552,2.204143,3522.732651786595,-0.329932,642.2767167417245,-0.112957,285.6562900627856,0.102627,68.67788698596364,0.105203,72.91180434568226,0.061768000000000003,1.5219749515137624,0.061494,1.0716281516057982,0.061249,0.6689457940238612,0.061031,0.31064067584892285
0.14,0.073801,2.244057,2940.686440563136,-0.957748,1397.7439330090378,0.554056,650.7432148615873,3.228268,4274.287611278979,-0.48844,761.8338504898306,-0.176098,338.6119429276026,0.150555,104.00130079538215,0.151087,104.72215823633823,0.073573,0.3089389032669015,0.073569,0.3143588840259752,0.073604,0.2669340523841177,0.07368,0.16395441796182977
0.16,0.050771,0.973404,1817.2440960390777,-0.420922,929.05989639755,0.244502,381.5780662189045,1.417826,2692.590258218275,-0.220793,534.8801481160505,-0.07822,254.06432806129482,0.066567,31.112249118591333,0.068505,34.929388824328846,0.052593,3.5886628193260015,0.05211,2.637332335388312,0.051648,1.727364046404449,0.0512,0.8449705540564609
0.18,0.042272,0.509987,1106.4416161998488,-0.217653,614.8869227857684,0.121473,187.3604277062831,0.715623,1592.9007380772146,-0.114536,370.9500378501136,-0.041258,197.60124905374715,0.036365,13.97378879636638,0.036825,12.885598031794096,0.044851,6.100965177895546,0.044191,4.5396479939439915,0.043545,3.011449659348986,0.042905,1.4974451173353558
0.2,0.040271,0.413608,927.0616572719822,-0.171954,526.9921283305604,0.100972,150.73129547316927,0.587623,1359.171612326488,-0.094929,335.7254600084428,-0.031875,179.15125027935736,0.02848,29.27913386804401,0.028886,28.270964217426936,0.043029,6.848600730053876,0.042327,5.105410841548498,0.041638,3.3945022472747137,0.040952,1.6910431824389787
