q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{s=0.15}_Plastocyanin,strat{s=0.15}_Plastocyanin_relDiffDebye,strat{s=0.20}_Plastocyanin,strat{s=0.20}_Plastocyanin_relDiffDebye,strat{s=0.25}_Plastocyanin,strat{s=0.25}_Plastocyanin_relDiffDebye,strat{s=0.30}_Plastocyanin,strat{s=0.30}_Plastocyanin_relDiffDebye,strat{s=0.35}_Plastocyanin,strat{s=0.35}_Plastocyanin_relDiffDebye,strat{s=0.40}_Plastocyanin,strat{s=0.40}_Plastocyanin_relDiffDebye,strat{s=0.45}_Plastocyanin,strat{s=0.45}_Plastocyanin_relDiffDebye,strat{s=0.50}_Plastocyanin,strat{s=0.50}_Plastocyanin_relDiffDebye
0,191.785812,175.483307,8.500370715639798,171.028257,10.823300630809957,166.978767,12.93476547681222,162.929847,15.045933116262008,158.881541,17.156780606899112,155.23863,19.05624906184405,152.000969,20.74441408627245,148.359179,22.643298034997493,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167
0.02,187.232491,171.367867,8.47322166962999,167.017852,10.796544388228005,163.063848,12.908359479124806,159.110414,15.01987013568068,155.157594,17.13105285770087,151.60062,19.030816077750103,148.439347,20.719237239651964,144.883495,22.618401204735346,141.32545,24.518736440888357,141.286074,24.539766978798564,141.457888,24.448001922914123,141.359637,24.500477323671358,141.41197,24.472526512505787,141.301014,24.53178759449395,141.427904,24.464016237438187,141.443856,24.45549634865457
0.04,174.158755,159.546935,8.38994284266675,155.498613,10.714443841769542,151.818877,12.827306901682908,148.139711,14.939842674001664,144.461158,17.052026468609057,141.151025,18.95266763936157,138.209166,20.641850017818513,134.900155,22.541846948779575,133.050082,23.60413807505687,132.894765,23.693319351071384,133.543331,23.32092004217647,133.167181,23.536901145164947,133.368015,23.42158451925084,132.953454,23.65962078679307,133.431041,23.385395698309868,133.490444,23.351287163255165
0.06,154.209853,141.495721,8.244694974192088,137.908104,10.571146189990856,134.647189,12.685741941534703,131.386844,14.799968066891298,128.127113,16.913796033512853,125.19392,18.81587488446669,122.587118,20.50629994440109,119.655047,22.407651215386355,120.295534,21.992316535053053,119.954948,22.213175315068877,121.278286,21.355034298619046,120.492608,21.86452055044758,120.913738,21.591431644773056,120.082675,22.130348571177233,121.052501,21.50144841912274,121.170877,21.424685490102892
0.08,129.777666,119.361115,8.026458882378122,116.338418,10.355593850794023,113.591067,12.472561341949248,110.844286,14.589089620397406,108.098119,16.70514478199971,105.627133,18.60915960686179,103.431183,20.30124582453194,100.961319,22.204396093854857,104.427352,19.53364918737251,103.846081,19.981546747804828,105.892163,18.404941109050313,104.637094,19.372032781048784,105.31336,18.85093695551591,104.061453,19.81559215281311,105.551257,18.667625753109167,105.727993,18.53144207417015
0.1,103.565009,95.573251,7.716658432386178,93.157669,10.049089070228348,90.96224,12.168945015009855,88.767382,14.288249615273054,86.573138,16.40696135120309,84.598882,18.313257714292284,82.84447,20.007277747641584,80.871336,21.912490733235977,87.019556,15.975910357908635,86.164185,16.801836998826506,88.822379,14.235145772062847,87.122113,15.876883668305386,88.044097,14.98663704070166,86.475391,16.501343615004178,88.395583,14.647250211700364,88.614357,14.4360070494466
0.12,78.128405,72.437007,7.284671944857964,70.611909,9.62069557160421,68.953284,11.743643045061528,67.29523,13.86585967037212,65.637789,15.98729168987899,64.146657,17.895857466948158,62.821688,19.591743873435018,61.331678,21.498873553095066,69.608387,10.905147750040472,68.475452,12.355241349161034,71.50332,8.479739219045875,69.464361,11.089492995537288,70.577839,9.66430327100624,68.876747,11.841606135438202,71.044432,9.06709025993811,71.278116,8.767987776020775
0.14,55.499095,51.792049,6.679471079663549,50.493853,9.018601114126268,49.314229,11.144084421556784,48.135176,13.268538883381787,46.956737,15.391887020860432,45.896706,17.30188393162086,44.954938,18.99879088118464,43.896029,20.90676613735773,53.479224,3.6394665534636106,52.100474,6.12374129704277,55.178092,0.5783932152407124,52.97302,4.551560705629522,54.18583,2.3662818285595364,52.570104,5.277547318564378,54.752967,1.34439669691911,54.971605,0.9504479307275197
0.16,36.954091,34.805605,5.8139327523981,33.940937,8.1537765331584,33.155431,10.279403165403252,32.370495,12.403487343255176,31.586173,14.52591000005926,30.880847,16.4345647143641,30.254373,18.129841158858426,29.550169,20.035459673463482,39.525398,6.958111890778221,37.967702,2.742892525755821,40.76548,10.313848607451874,38.604396,4.4658249069095035,39.800182,7.7016939748294755,38.46852,4.098136252357012,40.436263,9.42296754099566,40.615818,9.90885420507299
0.18,22.965168,21.923416,4.536226340691255,21.387528,6.869708072677713,20.900913,8.98863443977418,20.414868,11.105078787144079,19.929436,13.218853874702766,19.493112,15.118792076765992,19.10575,16.805529138737406,18.670548,18.700581680917807,28.197539,22.783943927603755,26.555721,15.634777851396514,28.799412,25.404752101095024,26.893832,17.107055345730547,27.950761,21.709368727457175,27.039208,17.740083590940856,28.609364,24.577203180050766,28.73867,25.14025588665409
