q_inverse_angstroms,debye,propo{e=0.380}_RuBisCo,propo{e=0.380}_RuBisCo_relDiffDebye,propo{e=0.390}_RuBisCo,propo{e=0.390}_RuBisCo_relDiffDebye,propo{e=0.400}_RuBisCo,propo{e=0.400}_RuBisCo_relDiffDebye,propo{e=0.410}_RuBisCo,propo{e=0.410}_RuBisCo_relDiffDebye,propo{e=0.420}_RuBisCo,propo{e=0.420}_RuBisCo_relDiffDebye,propo{e=0.430}_RuBisCo,propo{e=0.430}_RuBisCo_relDiffDebye,propo{e=0.440}_RuBisCo,propo{e=0.440}_RuBisCo_relDiffDebye,propo{e=0.450}_RuBisCo,propo{e=0.450}_RuBisCo_relDiffDebye,strat{s=0.15}_RuBisCo,strat{s=0.15}_RuBisCo_relDiffDebye,strat{s=0.20}_RuBisCo,strat{s=0.20}_RuBisCo_relDiffDebye,strat{s=0.25}_RuBisCo,strat{s=0.25}_RuBisCo_relDiffDebye,strat{s=0.30}_RuBisCo,strat{s=0.30}_RuBisCo_relDiffDebye,strat{s=0.35}_RuBisCo,strat{s=0.35}_RuBisCo_relDiffDebye,strat{s=0.40}_RuBisCo,strat{s=0.40}_RuBisCo_relDiffDebye,strat{s=0.45}_RuBisCo,strat{s=0.45}_RuBisCo_relDiffDebye,strat{s=0.50}_RuBisCo,strat{s=0.50}_RuBisCo_relDiffDebye
0,184.483504,25.740815,86.04709123478054,25.085185,86.40247802318413,24.467654,86.73721310063581,23.869216,87.06159874326758,23.308862,87.36534080575574,22.767588,87.65874048012445,22.254887,87.9366520488466,21.761259,88.20422502382652,144.19351700000001,21.839343966493608,144.19351700000001,21.839343966493608,144.19351700000001,21.839343966493608,144.193518,21.839343424439726,144.193518,21.839343424439726,144.19351700000001,21.839343966493608,144.19351700000001,21.839343966493608,144.19351700000001,21.839343966493608
0.02,137.269604,19.178612,86.02850781153269,18.691057,86.38368840927086,18.231857,86.71821257676243,17.786877,87.04237756816141,17.370238,87.34589632822136,16.967809,87.63906319712265,16.586645,87.91673865395575,16.21968,88.18407023305757,108.030187,21.300722190471237,108.170029,21.19884821697307,108.139902,21.220795537517528,108.11491,21.239002044473,108.119329,21.235782832155614,108.067868,21.273271830812586,108.120078,21.23523719060192,107.924065,21.37803136665273
0.04,51.843886,7.296065,85.92685548301684,7.112851,86.2802510598839,6.94035,86.61298267649148,6.773247,86.93530226495754,6.616842,87.23698682618043,6.465825,87.5282786479393,6.322841,87.80407587502218,6.185235,88.06949965131857,41.767522,19.435973607379662,42.004577,18.97872586171492,41.981373,19.023483309102254,41.92822,19.12600841688448,41.92281,19.136443591439114,41.83363,19.308460017831223,41.940052,19.103186053607164,41.553334,19.84911393409051
0.06,6.115184,0.924321,84.88482112721384,0.904304,85.21215387795364,0.885538,85.51902935381828,0.867441,85.81496484815501,0.85058,86.09068835868226,0.834377,86.35565176779636,0.819112,86.60527630893854,0.804494,86.84432062878238,5.248345,14.17519080374361,5.31957,13.010467060353385,5.344571,12.601632264867254,5.309208,13.179914128503741,5.298466,13.35557523698387,5.26182,13.954837663102207,5.316084,13.067472704010216,5.113817,16.375091902385932
0.08,0.42064,0.128708,69.40186382655003,0.129068,69.31627995435528,0.129499,69.21381704069988,0.130007,69.09304868771396,0.130571,68.95896728794219,0.131202,68.80895777862304,0.131884,68.64682388740965,0.132624,68.4709014834538,0.369145,12.242059718524157,0.33182,21.11544313427159,0.318724,24.228794218333967,0.324627,22.825456447318373,0.343411,18.359880182578927,0.334373,20.50851084062382,0.316063,24.861401673640174,0.351732,16.381704069988594
0.1,1.638781,0.301278,81.61572534707201,0.297219,81.86340944885254,0.293485,82.0912617366201,0.289958,82.30648268438553,0.286742,82.5027261116647,0.283722,82.6870094295699,0.280945,82.85646465269002,0.278354,83.01456997609809,1.535306,6.314144476900816,1.54425,5.7683729552637075,1.482678,9.525555885746789,1.510304,7.839790673677566,1.537704,6.1678161999681524,1.512853,7.68424823084964,1.49214,8.94817550362129,1.545889,5.6683595916721
0.12,0.557112,0.149787,73.1136647568173,0.149607,73.14597423857322,0.149529,73.15997501400078,0.149544,73.15728255718778,0.149646,73.13897385085943,0.149831,73.10576688349919,0.150091,73.05909763207399,0.150424,72.99932509082554,0.666544,19.642728930627946,0.684778,22.91567943250189,0.651483,16.93932279326239,0.66404,19.19326813997902,0.666477,19.630702623529906,0.659778,18.428251410847356,0.655715,17.698954608768073,0.660382,18.536667671850537
0.14,0.134363,0.088863,33.863489204617345,0.090243,32.836420740828956,0.091635,31.800421246920664,0.093075,30.72869763253277,0.094512,29.659206775674857,0.095986,28.56217857594725,0.097466,27.460684861159702,0.098975,26.337607823582392,0.184956,37.653967238004505,0.181893,35.37432179990026,0.171947,27.971986335523898,0.159894,19.00151083259528,0.155072,15.41272522941582,0.169731,26.32272277338254,0.167917,24.972648720257805,0.167956,25.001674568147468
0.16,0.122223,0.087071,28.76054425108204,0.088498,27.593006226324018,0.089933,26.41892278867316,0.091415,25.206385050276953,0.09289,23.999574548161963,0.094402,22.762491511417654,0.095919,21.521317591615322,0.097462,20.258871079911316,0.149622,22.417220981321034,0.153703,25.756199733274432,0.13896,13.693821948405786,0.124006,1.4588088984888332,0.127724,4.500789540430202,0.125825,2.9470721549953725,0.130198,6.52495847753697,0.128171,4.866514485816915
0.18,0.063209,0.078905,24.831906848708254,0.08054,27.41856381211536,0.082172,30.00047461595658,0.083845,32.647249600531566,0.0855,35.26554762771125,0.087185,37.93130725054976,0.088865,40.58915660744514,0.090566,43.280229081301705,0.103352,63.5083611511019,0.101563,60.67806799664604,0.095945,51.79009318293281,0.089722,41.9449761900995,0.091289,44.42405353667989,0.078711,24.524988530114385,0.081709,29.267983989621733,0.077425,22.490468129538502
