q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{s=0.15}_TetToxHcGT1b,strat{s=0.15}_TetToxHcGT1b_relDiffDebye,strat{s=0.20}_TetToxHcGT1b,strat{s=0.20}_TetToxHcGT1b_relDiffDebye,strat{s=0.25}_TetToxHcGT1b,strat{s=0.25}_TetToxHcGT1b_relDiffDebye,strat{s=0.30}_TetToxHcGT1b,strat{s=0.30}_TetToxHcGT1b_relDiffDebye,strat{s=0.35}_TetToxHcGT1b,strat{s=0.35}_TetToxHcGT1b_relDiffDebye,strat{s=0.40}_TetToxHcGT1b,strat{s=0.40}_TetToxHcGT1b_relDiffDebye,strat{s=0.45}_TetToxHcGT1b,strat{s=0.45}_TetToxHcGT1b_relDiffDebye,strat{s=0.50}_TetToxHcGT1b,strat{s=0.50}_TetToxHcGT1b_relDiffDebye
0,175.138217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.19351700000001,17.668730748811942,144.19351700000001,17.668730748811942,144.19351700000001,17.668730748811942,143.944371,17.810987535633075,144.19351700000001,17.668730748811942,144.19351700000001,17.668730748811942,144.027444,17.763554712904263,144.19351700000001,17.668730748811942
0.02,161.059383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.254635,17.26366231019275,133.263765,17.25799359358032,132.8305,17.527003068178896,132.673633,17.62440006367093,132.909824,17.47775166877425,132.997924,17.423051347464796,132.755015,17.573870874694716,132.924567,17.468597902178725
0.04,125.470537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.308836,16.068872806370464,105.42063,15.979773004398629,104.04414,17.076835337048088,104.079566,17.048600820127195,104.279768,16.889039854830614,104.572687,16.655583453827084,104.140774,16.999818052902732,104.296359,16.87581683020931
0.06,83.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.637711,14.21433736900474,72.046794,13.724463310548627,69.914031,16.278432227699962,70.1043,16.050586418344928,70.257618,15.866989175500882,70.736892,15.293061880813758,70.100481,16.055159644387665,70.195472,15.941408579966017
0.08,48.75987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.824708,12.17222687427181,43.661595,10.455883085824471,41.327393,15.243020541277078,41.618786,14.645412303191128,41.733295,14.410569593397197,42.268301,13.31334353434494,41.507289,14.87407780209422,41.519086,14.849883726105089
0.1,26.52572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.619832,10.95498256032259,24.802831,6.495163938999577,22.656715,14.585862325320488,23.075673,13.00642169185229,23.166458,12.664168965064853,23.616512,10.967498714455251,22.863889,13.80483168788632,22.820886,13.96694981323786
0.12,14.549347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.933824,11.1037491923177,14.215937,2.2915805087334773,12.331205,15.24564641973278,12.906322,11.29277485786819,12.971566,10.844342361207001,13.282206,8.709263721595196,12.667852,12.931817489815861,12.606557,13.35310787487575
0.14,8.171848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.302783,10.634864965672401,8.43482,3.218023634311352,6.811689,16.644448110145955,7.444824,8.896690197859785,7.462428,8.68126768877738,7.677103,6.0542609211527285,7.276249,10.959565082463607,7.195231,11.950993214753883
0.16,4.31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.038402,6.450258869314432,4.86897,12.789881510823875,3.630624,15.896452274227727,4.123984,4.467748474003024,4.080325,5.479110925790784,4.269979,1.0857685580921146,4.077877,5.535818942052647,3.955632,8.367629174050514
0.18,1.979464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.036602,2.8865389822699434,2.512995,26.953306551672583,1.80497,8.81521462375673,2.029489,2.5271992822299363,1.946011,1.6900029502936127,2.135995,7.907746743562903,2.087782,5.472087393354965,1.929426,2.527856025671586
