q_inverse_angstroms,debye,propo{e=0.380}_XyloseIsomerase,propo{e=0.380}_XyloseIsomerase_relDiffDebye,propo{e=0.390}_XyloseIsomerase,propo{e=0.390}_XyloseIsomerase_relDiffDebye,propo{e=0.400}_XyloseIsomerase,propo{e=0.400}_XyloseIsomerase_relDiffDebye,propo{e=0.410}_XyloseIsomerase,propo{e=0.410}_XyloseIsomerase_relDiffDebye,propo{e=0.420}_XyloseIsomerase,propo{e=0.420}_XyloseIsomerase_relDiffDebye,propo{e=0.430}_XyloseIsomerase,propo{e=0.430}_XyloseIsomerase_relDiffDebye,propo{e=0.440}_XyloseIsomerase,propo{e=0.440}_XyloseIsomerase_relDiffDebye,propo{e=0.450}_XyloseIsomerase,propo{e=0.450}_XyloseIsomerase_relDiffDebye,strat{s=0.15}_XyloseIsomerase,strat{s=0.15}_XyloseIsomerase_relDiffDebye,strat{s=0.20}_XyloseIsomerase,strat{s=0.20}_XyloseIsomerase_relDiffDebye,strat{s=0.25}_XyloseIsomerase,strat{s=0.25}_XyloseIsomerase_relDiffDebye,strat{s=0.30}_XyloseIsomerase,strat{s=0.30}_XyloseIsomerase_relDiffDebye,strat{s=0.35}_XyloseIsomerase,strat{s=0.35}_XyloseIsomerase_relDiffDebye,strat{s=0.40}_XyloseIsomerase,strat{s=0.40}_XyloseIsomerase_relDiffDebye,strat{s=0.45}_XyloseIsomerase,strat{s=0.45}_XyloseIsomerase_relDiffDebye,strat{s=0.50}_XyloseIsomerase,strat{s=0.50}_XyloseIsomerase_relDiffDebye
0,180.1075,62.615668,65.23428063795234,61.013156,66.12403370209458,59.529573,66.94775453548574,58.04622,67.77134766736532,56.681757,68.5289302222284,55.37683,69.25345696320252,54.131426,69.94493510819927,52.94553,70.60337298557806,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982,144.19351700000001,19.940303985119982
0.02,159.882205,55.615403,65.21476358172569,54.19307,66.10437665655161,52.876318,66.92795298888954,51.559798,67.75138421439709,50.348819,68.50880371583568,49.190705,69.23315824922479,48.08544,69.92445782193208,47.033008,70.58271244132517,129.127811,19.235657902016044,128.542177,19.601948822259484,128.287304,19.761361810090115,128.629385,19.54740366509205,128.374622,19.70674785227037,128.304494,19.750610144512326,128.26617100000001,19.774579666323707,128.769488,19.459774776060915
0.04,111.592756,38.895753,65.14491227369633,37.903763,66.03384990330376,36.985478,66.85673933888684,36.067424,67.67942177178597,35.223035,68.43609185528136,34.415571,69.15967287338974,33.645018,69.85017737172832,32.911359,70.50762058426086,92.622911,16.99917241939969,90.935819,18.511001735632373,90.194342,19.17545077926025,91.116241,18.349322782206396,90.47836,18.92093784295461,90.256457,19.119788564053387,90.095963,19.2636097274988,91.60691,17.909626678634943
0.06,61.195467,21.433403,64.97550545696465,20.890873,65.86205805080301,20.388754,66.68257470769852,19.886867,67.50271225154634,19.425351,68.25687922276988,18.984114,68.97790811858663,18.56314,69.665825084724,18.162415,70.32065299869352,53.301428,12.899711999910057,51.161128,16.397193275769922,50.200821,17.966438592583994,51.187252,16.35450383931215,50.659154,17.217472987010623,50.327727,17.759060487274322,49.978908,18.329068393252072,52.047735,14.948381715920227
0.08,27.247811,9.656682,64.55978794039639,9.417271,65.43843099909934,9.195817,66.25117151612656,8.974596,67.06305691859063,8.771292,67.80918658016233,8.57704,68.52209522445675,8.391825,69.20183790176759,8.215633,69.84846599236907,25.358906,6.9323183429303645,23.780691,12.724398301206646,23.020819,15.513143422787245,23.43496,13.993237842115091,23.549303,13.573596792784567,23.224745,14.764731009034085,22.710985,16.65024027067715,24.462042,10.22382678740688
0.1,11.574057,4.209001,63.63417771313896,4.109807,64.49121513744058,4.018184,65.28283902524413,3.926792,66.07246707010343,3.842933,66.797009898949,3.762931,67.48822819863423,3.686774,68.14622564931207,3.614446,68.77114049118646,11.332461,2.08739251932144,10.72977,7.2946504410683275,10.304396,10.969887222777624,10.064417,13.043308841489196,10.806138,6.634829947701132,10.560761,8.754890355214256,10.01999,13.427158687744495,10.961079,5.296137732862384
0.12,6.187235,2.33069,62.330669515542894,2.279841,63.15250673362173,2.232982,63.909856341322104,2.186355,64.66345629348167,2.143679,65.35319896528902,2.10307,66.00953414570483,2.064515,66.63267194473784,2.027998,67.2228709593219,5.984262,3.2805122158767213,6.063875,1.993782359971779,5.816192,5.9969113828713505,5.317768,14.052593767652274,6.234968,0.7714754652118438,6.03997,2.380142341449775,5.639393,8.854391339588688,5.902421,4.603251694820059
0.14,3.919418,1.537287,60.77767158287276,1.50686,61.553985821364286,1.47891,62.26710190135372,1.451191,62.97432424916147,1.42591,63.619343484160154,1.401941,64.23088836148632,1.379269,64.80934159102192,1.35788,65.35506036865677,3.76093,4.043661584449521,4.039203,3.0561935471031623,3.831323,2.2476551365534383,3.423345,12.656802617123256,4.136833,5.547124598601128,3.926803,0.18842083186840997,3.737516,4.641046196144428,3.718278,5.131884376711024
0.16,2.193003,0.93327,57.44328667129046,0.918389,58.12185391447253,0.904834,58.73995612409102,0.89151,59.347524832387364,0.879473,59.896406890460256,0.868171,60.41177326250807,0.857591,60.894216742977555,0.847718,61.34442132546103,2.228096,1.600225809084612,2.41956,10.330902420106133,2.275603,3.766524715196458,2.027638,7.5405733599087625,2.461723,12.25351720905079,2.228524,1.619742426252957,2.19051,0.1136797350482355,2.154795,1.742268478428895
0.18,0.971833,0.506067,47.92654705077929,0.502182,48.326307091856314,0.498808,48.67348608248537,0.495665,48.996895557158474,0.492995,49.271634118207544,0.490653,49.51262202456594,0.488625,49.721299852958275,0.486896,49.899211078446605,1.120134,15.25992634537004,1.170518,20.44435618053719,1.134972,16.786731876773082,0.999435,2.8401999108900413,1.228113,26.37078592721178,1.028527,5.833718344612708,1.036721,6.6768673218546875,1.043272,7.350954330630883
