q_inverse_angstroms,debye,propo{e=0.380}_AntiterminatorHairpin,propo{e=0.380}_AntiterminatorHairpin_relDiffDebye,propo{e=0.390}_AntiterminatorHairpin,propo{e=0.390}_AntiterminatorHairpin_relDiffDebye,propo{e=0.400}_AntiterminatorHairpin,propo{e=0.400}_AntiterminatorHairpin_relDiffDebye,propo{e=0.410}_AntiterminatorHairpin,propo{e=0.410}_AntiterminatorHairpin_relDiffDebye,propo{e=0.420}_AntiterminatorHairpin,propo{e=0.420}_AntiterminatorHairpin_relDiffDebye,propo{e=0.430}_AntiterminatorHairpin,propo{e=0.430}_AntiterminatorHairpin_relDiffDebye,propo{e=0.440}_AntiterminatorHairpin,propo{e=0.440}_AntiterminatorHairpin_relDiffDebye,propo{e=0.450}_AntiterminatorHairpin,propo{e=0.450}_AntiterminatorHairpin_relDiffDebye,strat{s=0.15}_AntiterminatorHairpin,strat{s=0.15}_AntiterminatorHairpin_relDiffDebye,strat{s=0.20}_AntiterminatorHairpin,strat{s=0.20}_AntiterminatorHairpin_relDiffDebye,strat{s=0.25}_AntiterminatorHairpin,strat{s=0.25}_AntiterminatorHairpin_relDiffDebye,strat{s=0.30}_AntiterminatorHairpin,strat{s=0.30}_AntiterminatorHairpin_relDiffDebye,strat{s=0.35}_AntiterminatorHairpin,strat{s=0.35}_AntiterminatorHairpin_relDiffDebye,strat{s=0.40}_AntiterminatorHairpin,strat{s=0.40}_AntiterminatorHairpin_relDiffDebye,strat{s=0.45}_AntiterminatorHairpin,strat{s=0.45}_AntiterminatorHairpin_relDiffDebye,strat{s=0.50}_AntiterminatorHairpin,strat{s=0.50}_AntiterminatorHairpin_relDiffDebye
0,106.067165,61.755331,41.77714564163188,60.134025,43.305711055820154,58.66059,44.694863862911774,57.187647,46.08355281297469,55.862453,47.33294417739929,54.684891,48.44314826364974,53.360601,49.69168733792404,52.1839,50.80107967437425,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279,3.999908,96.22889138217279
0.02,100.848066,58.721542,41.77226760104651,57.180844,43.30000934276717,55.780688,44.688390950402564,54.381025,46.076283703844155,53.121783,47.32493630566996,52.002845,48.434464771986804,50.744507,49.682220975858876,49.62643,50.79089568262023,3.801835,96.23013593537829,3.781069,96.25072730695699,3.802589,96.22938827602306,3.802023,96.22994951633478,3.799936,96.2320189660355,3.805622,96.22638078156105,3.792813,96.23908206628376,3.794306,96.23760162143317
0.04,87.072799,50.71904,41.750993901091896,49.390969,43.276236014877625,48.18411,44.66227047553623,46.977745,46.047737594837166,45.89247,47.294137173653965,44.92817,48.401601285379606,43.843799,49.64696265248118,42.88036,50.7534379364559,3.280312,96.23267881855963,3.210485,96.31287263431143,3.282819,96.22979961859271,3.280883,96.23202304545188,3.273024,96.24104882628156,3.291235,96.2201341431553,3.249028,96.26860737530673,3.255132,96.26159714930031
0.06,69.296706,40.405311,41.69230641352563,39.351276,43.21335273858472,38.393542,44.59542997613769,37.4363,45.97679722323309,36.575237,47.21937143736673,35.810235,48.323322900802815,34.950076,49.564592579624204,34.185936,50.66730011668953,2.609506,96.23430008347006,2.493714,96.40139604904164,2.614238,96.22747147606121,2.611004,96.23213836455662,2.595135,96.25503844295284,2.623362,96.21430490505566,2.554881,96.31312778416914,2.568087,96.29407060127792
0.08,52.279614,30.551312,41.561710842011955,29.759098,43.07705102795901,29.039383,44.45371574472604,28.320161,45.82943745529568,27.673315,47.066718970036774,27.098729,48.1657821727605,26.452787,49.40133452400777,25.879063,50.49874890047964,1.967525,96.23653495222823,1.838615,96.48311290133091,1.975776,96.22075250976413,1.972412,96.22718714028761,1.948468,96.27298701937623,1.978443,96.21565109489906,1.90175,96.36234881152718,1.921808,96.32398204011223
0.1,38.86505,22.803684,41.32598825937442,22.217325,42.834693381328464,21.684751,44.20500938503874,21.152669,45.57405946988361,20.67425,46.80503434319523,20.249377,47.898235046655024,19.771862,49.12688392270176,19.34785,50.21786926814708,1.456907,96.25136980397555,1.357297,96.50766691410405,1.471409,96.21405607351592,1.469802,96.21819089387509,1.440004,96.29486132141861,1.465492,96.22928054897653,1.398863,96.40071735402374,1.421638,96.34211714638215
0.12,29.446471,17.378877,40.98146090239472,16.936656,42.483240181820094,16.535115,43.84687047897861,16.134068,45.20882315575269,15.773579,46.43304116136701,15.453533,47.51991503497991,15.093949,48.74105966721785,14.774764,49.82500959113233,1.090162,96.29781782679493,1.046772,96.44516994922753,1.113362,96.2190307965936,1.115092,96.21315572925529,1.083137,96.32167467537961,1.104205,96.25012790157434,1.054578,96.41866083035893,1.074014,96.35265631660921
0.14,22.916206,13.623476,40.55090969246829,13.281036,42.04522336725372,12.970205,43.401604087517796,12.659868,44.75582912808516,12.381019,45.97264922474514,12.13354,47.05257929693947,11.855595,48.26545458702894,11.608979,49.34161876534012,0.829784,96.3790515759895,0.840878,96.33064042101907,0.861152,96.24217027897201,0.8663,96.2197058273957,0.835895,96.3523848581218,0.85644,96.26273214684839,0.819315,96.4247354034084,0.831401,96.37199543414822
0.16,18.01037,10.800754,40.03036028687918,10.533313,41.515288136778985,10.290664,42.86256195736124,10.048509,44.20709291369362,9.831023,45.41465278059252,9.63809,46.48588563144456,9.421509,47.68842061545654,9.229438,48.754867334763254,0.636373,96.46663005812763,0.677846,96.2363571653442,0.671702,96.2704708454074,0.678376,96.2334144162502,0.651895,96.38044637617107,0.67419,96.25665658173597,0.64204,96.435164852249,0.647272,96.40611492157018
0.18,14.047329,8.517767,39.363796491133655,8.310986,40.83582722380888,8.123482,42.170629021360575,7.936471,43.50192125492327,7.768615,44.69685304587085,7.619798,45.756250173965455,7.452847,46.94473945901032,7.304891,47.998007308008525,0.48959,96.51471108849235,0.533524,96.20195412238157,0.523146,96.27583293592681,0.528357,96.23873691575103,0.506389,96.39512251759747,0.52852,96.23757655280943,0.498272,96.4529057445725,0.500499,96.43705219689808
0.2,10.865414,6.683963,38.484046719250635,6.525905,39.93873588249836,6.382696,41.256762052508996,6.23998,42.57025088965777,6.11199,43.748208765906206,5.998608,44.79172169601637,5.871522,45.961359594765554,5.759003,46.99692989148871,0.381792,96.48617162677832,0.412266,96.20570371271633,0.409228,96.23366399108215,0.410649,96.22058579636267,0.392519,96.38744552209423,0.410519,96.22178225330391,0.384075,96.46516000218675,0.387185,96.43653707074576
0.22,8.43004,5.27989,37.36815009181451,5.159139,38.80053949921946,5.049845,40.09702207818705,4.941044,41.38765652357522,4.843577,42.54384320833591,4.757327,43.566970026239495,4.660764,44.71243315571456,4.575376,45.72533463660908,0.305538,96.37560438621881,0.32175,96.18329213147268,0.325215,96.14218912365777,0.322424,96.17529691436815,0.307033,96.3578701880418,0.318617,96.22045684243491,0.298394,96.46034894259103,0.303988,96.39399101309127
0.24,6.607146,4.22626,36.03501421037162,4.133504,37.438888137177535,4.04966,38.70787780382028,3.966309,39.969405852390736,3.891747,41.0979112615341,3.825857,42.09516484121888,3.752199,43.209988094708365,3.687171,44.19419519411256,0.250263,96.21223747742216,0.25909,96.07863970313355,0.262847,96.02177702747903,0.256956,96.11093806614839,0.243288,96.31780499477385,0.249318,96.22654017332144,0.234839,96.44568169070277,0.242344,96.33209255554516
0.26,5.206786,3.411359,34.48244271994278,3.340255,35.848045224059526,3.276094,37.08030251291296,3.212426,38.30309138881452,3.155579,39.39487814555851,3.105437,40.35789064501596,3.049494,41.432315443730545,3.000213,42.378791830507346,0.20672,96.02979650018266,0.214157,95.88696366626168,0.214365,95.88296887945846,0.206425,96.03546218338913,0.193711,96.27964352673605,0.19672,96.22185355802985,0.185333,96.44054892980046,0.193423,96.28517477000207
0.28,4.100459,2.76037,32.68143883404272,2.706563,33.99365778318963,2.658127,35.17489139630466,2.610183,36.34412635268392,2.567488,37.38535124970156,2.529925,38.301419426459326,2.488135,39.320573623587016,2.451433,40.215644151057226,0.170497,95.8420020783039,0.178654,95.64307312913019,0.1761,95.70535883909582,0.165938,95.95318475321909,0.153839,96.24824928136094,0.155824,96.19984006668521,0.145496,96.45171430808112,0.153079,96.26678379176575
0.3,3.24239,2.24773,30.67675387599888,2.207544,31.916148273341577,2.17149,33.02810581083707,2.135929,34.124858514860954,2.1043790000000002,35.09790617414931,2.076722,35.95088807947223,2.046076,36.89605507048813,2.01928,37.722482489768346,0.140873,95.65527280802124,0.149777,95.38066056211622,0.146867,95.47040917348006,0.133538,95.88149482326308,0.12243,96.22408161880588,0.124034,96.17461193749055,0.114618,96.46501500436406,0.120956,96.26954191198467
0.32,2.609256,1.861777,28.64720824633535,1.831846,29.79431684740784,1.805115,30.818785124955156,1.778876,31.82439745276048,1.755716,32.71200679427392,1.735517,33.48613551142547,1.713261,34.33909896154306,1.693924,35.08019144154502,0.117793,95.48557136593728,0.127492,95.11385621035268,0.124755,95.21875201206781,0.108035,95.85954770248684,0.098901,96.209609175949,0.100084,96.1642705813458,0.092174,96.46742213105958,0.096843,96.28848223401614
0.34,2.157975,1.579856,26.789884034801148,1.557415,27.829794135705928,1.537493,28.75297443204856,1.518065,29.653262896928833,1.501033,30.44252134524264,1.486282,31.12607884706727,1.470155,31.873399830859945,1.456265,32.517058816714744,0.100405,95.34725842514395,0.111027,94.85503770896327,0.106902,95.046189135648,0.088113,95.91686650679458,0.081728,96.21274574543264,0.08271,96.16724012094672,0.076113,96.4729433844229,0.079153,96.33207057542373
0.36,1.838042,1.374815,25.2021988616147,1.357822,26.12671527636473,1.342853,26.941114512073167,1.328378,27.728637321671645,1.315803,28.41278926161643,1.305014,28.999772584086763,1.293344,29.63468734664387,1.283417,30.174772937723944,0.087366,95.24678979044005,0.098327,94.65044868398002,0.091686,95.01175707628009,0.072942,96.03153790827412,0.068896,96.2516634549156,0.07044,96.16766102189177,0.064164,96.50911132607415,0.06606,96.40595807930396
0.38,1.615472,1.228237,23.970393792031057,1.215139,24.781178503867604,1.20371,25.488649756851245,1.192775,26.165541711648366,1.183387,26.746672180019214,1.17543,27.23922172591045,1.166947,27.764331415214876,1.159852,28.20352194281299,0.077472,95.20437370626045,0.087526,94.58201689660979,0.079584,95.07363792130101,0.062308,96.14304673804313,0.058939,96.35159259956222,0.061973,96.1637837115097,0.05533,96.57499480028127,0.056584,96.49737042796161
0.4,1.469467,1.128482,23.20467217024949,1.118034,23.91567826973999,1.109015,24.529438224880177,1.100489,25.109648600478952,1.09327,25.60091516175594,1.087241,26.011199979312238,1.080927,26.44087958423021,1.075759,26.7925717283886,0.069889,95.24392177571868,0.077921,94.69732903154681,0.071356,95.14408965972015,0.055669,96.21161958723809,0.051249,96.51240892105777,0.056283,96.16983572955363,0.049495,96.63177192818893,0.050191,96.58440781589515
0.42,1.374749,1.061163,22.810418483665014,1.052504,23.440278916369454,1.045111,23.978049811274644,1.038211,24.479959614445985,1.032456,24.898581486511354,1.027727,25.242571553061683,1.022876,25.5954359668565,1.01901,25.87665093773482,0.064138,95.3345665281444,0.069632,94.93492993993813,0.066051,95.19541385372892,0.051522,96.25226132188493,0.0457,96.67575681087965,0.05246,96.18403068487412,0.046128,96.6446238549728,0.046014,96.6529162778078
0.44,1.300056,1.008886,22.396727525583522,1.001616,22.95593420591113,0.995486,23.427452355898524,0.989849,23.86104906250193,0.98523,24.216341449906775,0.981512,24.50232913043746,0.977797,24.788086051677777,0.974941,25.007768896109102,0.05996,95.38789098315765,0.062855,95.16520826795154,0.061399,95.27720344354397,0.048101,96.30008245798642,0.042197,96.75421674143267,0.049726,96.17508784236988,0.044041,96.61237669761918,0.042983,96.693757807356
0.46,1.223708,0.960019,21.54835957597728,0.954047,22.036384496955158,0.949097,22.440892761998782,0.944641,22.805031919379466,0.941084,23.095705838320903,0.93831,23.322393904428186,0.935658,23.539112271881855,0.933746,23.695358696682543,0.057054,95.3376132214548,0.057529,95.2987967717789,0.055947,95.42807597891,0.04458,96.35697404936471,0.040399,96.69864052535408,0.047642,96.10675095692763,0.042309,96.54255753823625,0.040496,96.69071379773605
0.48,1.142358,0.912905,20.085910021201762,0.908185,20.49909047776616,0.904373,20.832786219381315,0.901054,21.123325612461237,0.898522,21.34497241670299,0.896659,21.508056143520683,0.89503,21.650655923974796,0.894029,21.738281694530087,0.054984,95.18679783395399,0.05337,95.32808454092326,0.050262,95.60015336698304,0.041332,96.38186978162713,0.039631,96.5307723148085,0.046125,95.96229903410315,0.040902,96.419511221526,0.038564,96.6241756086971
0.5,1.061438,0.869858,18.049099429264835,0.866281,18.38609508986866,0.863509,18.64725023976908,0.861231,18.861864753287534,0.859634,19.01232102110534,0.858602,19.109547613708962,0.85791,19.17474218936953,0.85774,19.190758197841053,0.053445,94.96484957199573,0.049961,95.2930835338475,0.045884,95.6771851017205,0.039063,96.31980388868685,0.039086,96.31763701695247,0.045143,95.74699605629345,0.040178,96.21475771547655,0.037232,96.49230572110665
