q_inverse_angstroms,debye,propo{e=0.380}_Aerolysin,propo{e=0.380}_Aerolysin_relDiffDebye,propo{e=0.390}_Aerolysin,propo{e=0.390}_Aerolysin_relDiffDebye,propo{e=0.400}_Aerolysin,propo{e=0.400}_Aerolysin_relDiffDebye,propo{e=0.410}_Aerolysin,propo{e=0.410}_Aerolysin_relDiffDebye,propo{e=0.420}_Aerolysin,propo{e=0.420}_Aerolysin_relDiffDebye,propo{e=0.430}_Aerolysin,propo{e=0.430}_Aerolysin_relDiffDebye,propo{e=0.440}_Aerolysin,propo{e=0.440}_Aerolysin_relDiffDebye,propo{e=0.450}_Aerolysin,propo{e=0.450}_Aerolysin_relDiffDebye,strat{s=0.15}_Aerolysin,strat{s=0.15}_Aerolysin_relDiffDebye,strat{s=0.20}_Aerolysin,strat{s=0.20}_Aerolysin_relDiffDebye,strat{s=0.25}_Aerolysin,strat{s=0.25}_Aerolysin_relDiffDebye,strat{s=0.30}_Aerolysin,strat{s=0.30}_Aerolysin_relDiffDebye,strat{s=0.35}_Aerolysin,strat{s=0.35}_Aerolysin_relDiffDebye,strat{s=0.40}_Aerolysin,strat{s=0.40}_Aerolysin_relDiffDebye,strat{s=0.45}_Aerolysin,strat{s=0.45}_Aerolysin_relDiffDebye,strat{s=0.50}_Aerolysin,strat{s=0.50}_Aerolysin_relDiffDebye
0,173.808175,29.633227,82.95061380168107,28.870407,83.38949994728384,28.152577,83.80250123447875,27.479725,84.18962456742901,26.82194,84.56807914817584,26.209112,84.92066785696358,25.611341,85.2645935670172,25.043565,85.59126174588738,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543,144.19351700000001,17.038702581164543
0.02,118.260646,20.199298,82.9196789606578,19.68083,83.35809023062498,19.19298,83.77061123105992,18.735733,84.15725464581007,18.288762,84.53520877942778,17.872375,84.88730139356755,17.466253,85.23071402806308,17.080543,85.55686648287039,97.500607,17.554477928354963,98.329642,16.853454360464077,98.563206,16.655955016514962,98.567271,16.652517693840426,98.398303,16.79539531688335,98.308433,16.871388475249834,97.980564,17.148631168478477,98.161982,16.995225952004354
0.04,36.068804,6.228712,82.73102706704664,6.072104,83.16521945113567,5.924826,83.57354460658026,5.786867,83.95603303064887,5.652087,84.32970774412148,5.526606,84.67760117579724,5.404295,85.01670584918757,5.288206,85.33856015852369,29.19378,19.06085935092275,30.152515,16.40278674058613,30.527937,15.36193714657131,30.479548,15.496094630695264,30.160943,16.37942028795854,30.19091,16.29633741113235,29.682097,17.707010745352136,29.962307,16.930134417542654
0.06,7.009834,1.282361,81.70625723804586,1.25387,82.11270052899968,1.227174,82.49353693682333,1.20226,82.84895191526647,1.178013,83.19485168978323,1.155529,83.51560108270752,1.133702,83.82697792843598,1.113073,84.12126449784688,5.849173,16.55761035140061,5.963314,14.929312163454945,5.993657,14.49644884600691,5.984194,14.631444910107716,5.896635,15.880532976957799,6.013795,14.209166722065024,5.870755,16.24972859557016,5.890093,15.9738590100707
0.08,4.100143,0.788297,80.77391447078797,0.772603,81.15668160842195,0.757951,81.51403499829152,0.744328,81.8462917025089,0.731122,82.16837802974189,0.718926,82.4658310697944,0.707136,82.75338201618821,0.696042,83.02395794488143,3.552972,13.345168692896811,3.6568329999999998,10.812061920767162,3.446903,15.932127245318034,3.56966,12.93815849837433,3.670218,10.485609892142783,3.604048,12.09945604336239,3.677203,10.315249980305568,3.581659,12.64551016879167
0.1,3.197846,0.633245,80.19776437014166,0.621567,80.56294768415991,0.610695,80.90292653242214,0.600616,81.21810743856959,0.590875,81.52271873004516,0.581907,81.80315750039244,0.573267,82.07333936656111,0.565165,82.3266974081929,2.610823,18.35682518795465,2.748219,14.06030809488637,2.655445,16.961448424971067,2.727213,14.717187757008945,2.809996,12.1284764807311,2.761623,13.641150949733039,2.796619,12.546789307552645,2.767978,13.442423431272186
0.12,1.752563,0.386471,77.94823923590764,0.381185,78.2498546414594,0.376328,78.52699161171381,0.371889,78.78027779885801,0.367662,79.02146741657789,0.363833,79.23994743698229,0.360206,79.44690148085975,0.356867,79.63742244929284,1.438771,17.904748645269816,1.455147,16.970345716530595,1.448249,17.363940697139,1.439971,17.836277497584977,1.488117,15.089100933889405,1.499517,14.438625030883346,1.50346,14.213640251448881,1.483914,15.328921128655582
0.14,0.616479,0.193603,68.5953617235948,0.193312,68.64256527797377,0.193158,68.66754585314342,0.193126,68.67273662200984,0.19321,68.6591108537355,0.193396,68.62893950969944,0.193687,68.58173595532045,0.19407,68.51960894045052,0.575538,6.641102129999562,0.556866,9.669915763553993,0.544074,11.744925617904268,0.539033,12.562633925892044,0.52373,15.04495692472898,0.539276,12.523216524812689,0.544755,11.63445956796582,0.522835,15.190136241461582
0.16,0.5869,0.188817,67.82807974101209,0.18865,67.85653433293577,0.188613,67.86283864372125,0.18869,67.84971886181633,0.188881,67.817174987221,0.189167,67.768444368717,0.189555,67.7023342988584,0.190031,67.62123019253706,0.596104,1.5682399045834028,0.524249,10.674902027602661,0.550271,6.241097290850234,0.54278,7.517464644743558,0.505623,13.848526154370411,0.542263,7.605554608962333,0.535669,8.72908502300222,0.524191,10.68478446072585
0.18,0.418606,0.160655,61.621429219839186,0.161218,61.486935208764315,0.161867,61.331896819443564,0.162588,61.159658485544874,0.163408,60.96377022785149,0.16428,60.7554597879629,0.165241,60.52588830547101,0.16626,60.2824613120691,0.456887,9.144876088732607,0.388415,7.212271204903888,0.415362,0.7749530584845821,0.42524,1.5847837823633748,0.401331,4.126792258113832,0.429906,2.699435746262603,0.406285,2.9433405159027752,0.418092,0.12278849323706754
0.2,0.148132,0.114288,22.847190343747474,0.116051,21.657035616882247,0.117831,20.455404639105666,0.119612,19.253098587746074,0.121467,18.00083709124295,0.123306,16.759376772068162,0.125208,15.47538681716307,0.127122,14.18329597926174,0.197991,33.658493775821555,0.174835,18.02648988739771,0.165065,11.431020981286943,0.171475,15.758242648448661,0.162516,9.710258418167566,0.178773,20.684929657332628,0.164,10.71206761537007,0.171131,15.526017335889605
0.22,0.138609,0.112341,18.951150358201858,0.114155,17.64243303104416,0.115982,16.32433680352647,0.117808,15.006962029882628,0.119707,13.636921123447983,0.121585,12.282030748364111,0.123527,10.880967325354062,0.125479,9.47268936360554,0.188341,35.879344054137896,0.163208,17.7470438427519,0.147667,6.534929189302269,0.140354,1.2589370098622719,0.143895,3.8136051771529877,0.137876,0.5288256895295482,0.146151,5.441205116550868,0.144487,4.240705870470167
0.24,0.102465,0.106167,3.612941004245349,0.108141,5.539452495974236,0.110118,7.468891816717897,0.112085,9.388571707412291,0.114122,11.376567608451667,0.116129,13.335285219343184,0.118196,15.35255941053042,0.120267,17.37373737373737,0.140374,36.99702337383496,0.115049,12.281266774020395,0.113958,11.216512955643394,0.110338,7.68359927780218,0.116104,13.310886644219977,0.099688,2.71019372468648,0.106574,4.010149807251258,0.106615,4.0501634704533265
0.26,0.069439,0.100383,44.562853727732254,0.102507,47.62165353763735,0.104625,50.671812670113326,0.106724,53.69460965739714,0.10889,56.81389420930601,0.111018,59.87845447083052,0.113203,63.02510116793157,0.115385,66.16742752631806,0.089912,29.48343150102969,0.077344,11.384092512853002,0.078347,12.828525756419301,0.069127,0.4493152263137527,0.069272,0.24049885511024136,0.066687,3.9631907141519958,0.063902,7.973905154164086,0.065679,5.414824522242543
0.28,0.104764,0.106433,1.5931045015463365,0.108401,3.471612385934101,0.110371,5.352029323049904,0.112332,7.223855522889548,0.114363,9.162498568210465,0.116365,11.073460348974839,0.118427,13.04169371158032,0.120492,15.012790653277849,0.119105,13.688862586384642,0.10781,2.9074873047993655,0.107109,2.2383643236226183,0.093137,11.09827803443931,0.092399,11.802718491084725,0.095706,8.64609980527662,0.093883,10.386201366881757,0.096243,8.133519147798864
0.3,0.093248,0.104554,12.12465682910089,0.10657,14.286633493479753,0.108586,16.448610157858617,0.11059,18.59771791352093,0.112663,20.820821894303364,0.114704,23.009608785175022,0.116804,25.261667810569673,0.118906,27.515871654083735,0.116482,24.91635209334249,0.10013,7.380319148936169,0.09986,7.0907687028140085,0.089324,4.208133150308851,0.084366,9.525137268359645,0.085722,8.07095058339052,0.085984,7.789979409746047,0.085287,8.537448524365129
0.32,0.079006,0.102092,29.22056552666885,0.104172,31.85327696630635,0.106248,34.480925499329146,0.108308,37.088322405893216,0.110436,39.78178872490696,0.112528,42.42968888438852,0.114678,45.151001189783045,0.116828,47.87231349517757,0.107033,35.47452092246158,0.095366,20.70728805407184,0.088925,12.554742677771305,0.079992,1.24800648052045,0.078239,0.9708123433663313,0.074162,6.131179910386553,0.075468,4.478140900691104,0.068795,12.92433486064351
0.34,0.060022,0.098866,64.71627070074307,0.101029,68.3199493519043,0.103184,71.91029955682916,0.105318,75.46566259038352,0.107518,79.13098530538804,0.109677,82.72799973343106,0.111893,86.41997934090836,0.114104,90.10362866948786,0.084707,41.12658691813003,0.08187,36.39998667155376,0.074958,24.884209123321448,0.066599,10.957648862083913,0.067234,12.01559428209657,0.061115,1.820998967045423,0.061661,2.7306654226783538,0.055549,7.45226750191596
0.36,0.045426,0.096402,112.21767269845462,0.098629,117.12015145511378,0.100844,121.99621362215471,0.103034,126.81724122749085,0.10529,131.78356007572754,0.1075,136.6486153304275,0.109766,141.6369480033461,0.112025,146.60987099898733,0.068961,51.80953638885219,0.068882,51.63562717386518,0.065787,44.82234843481706,0.056592,24.580636639809804,0.053189,17.089332100559147,0.047812,5.252498569101394,0.048128,5.948135429049435,0.048611,7.011403161185224
0.38,0.046445,0.096623,108.03746366670255,0.098844,112.81946388201098,0.101054,117.57778017009366,0.103239,122.28226935084507,0.105489,127.12670901065776,0.107695,131.87641296156744,0.109956,136.74453654860588,0.112211,141.59974162988482,0.077847,67.61115297663903,0.072589,56.29023576273011,0.066486,43.14996232102487,0.057769,24.381526536763914,0.05673,22.144471956077087,0.050579,8.900850468295832,0.049889,7.415222305953284,0.051465,10.808483152115398
0.4,0.041846,0.095836,129.02069492902547,0.098078,134.37843521483535,0.100307,139.7051092099603,0.10251,144.96965062371555,0.104778,150.38952349089516,0.107,155.69946948334365,0.109277,161.14084978253592,0.111547,166.56550207905173,0.078554,87.72164603546335,0.066504,58.92558428523632,0.058718,40.31926587965396,0.05404,29.1401806624289,0.055247,32.02456626678774,0.048863,16.768627825837584,0.046158,10.304449648711934,0.045774,9.386799216173591
0.42,0.034439,0.094574,174.6130840036006,0.096848,181.21606318418074,0.099108,187.7783907778972,0.10134,194.25941519788614,0.103636,200.92627544353786,0.105885,207.45666250471854,0.108187,214.14094485902612,0.110482,220.80490141990188,0.07289,111.64958332123464,0.056155,63.05641859519731,0.054846,59.25549522343855,0.050444,46.47347483957143,0.047243,37.17877987165714,0.042462,23.296262957693322,0.040538,17.70957344870641,0.038333,11.306948517668927
0.44,0.030372,0.093881,209.10377979718166,0.096174,216.6534966416436,0.09845,224.14724087975765,0.100698,231.5487949427104,0.103009,239.15777689977614,0.105273,246.61201106282107,0.107589,254.2374555511656,0.109897,261.836559989464,0.069596,129.14526537600423,0.054196,78.44066903727118,0.052101,71.54286843145002,0.04757,56.62452258659292,0.042206,38.963519030686165,0.038064,25.32595811932043,0.036574,20.420123798235227,0.035071,15.471486895825096
0.46,0.029473,0.093723,217.99613205306554,0.096019,225.7863128965494,0.098299,233.52220676551417,0.100551,241.1630984290707,0.102866,249.0177450547959,0.105132,256.7061378210566,0.107452,264.577749126319,0.109763,272.4188240084145,0.069409,135.50028839955212,0.053876,82.79781494927562,0.049604,68.30319275268891,0.043604,47.94557730804465,0.04011,36.09065924744682,0.037046,25.694703627048497,0.034181,15.973942252230868,0.033977,15.281783327112954
0.48,0.025393,0.093049,266.43563186705006,0.095363,275.5483794746584,0.09766,284.5941794982869,0.099926,293.5178986334817,0.102257,302.69759382506993,0.104537,311.67644626471866,0.106871,320.8679557358327,0.109195,330.02008427519394,0.066953,163.66715236482497,0.051348,102.21320836450991,0.046674,83.80656086323003,0.041226,62.35182924427992,0.036254,42.77162997676526,0.036803,44.93364312999647,0.033295,31.118812271098335,0.031751,25.038396408459036
0.5,0.021147,0.092308,336.5063602402232,0.094641,347.5386579656689,0.096956,358.485837234596,0.099239,369.28169480304535,0.101586,380.38019577245,0.103882,391.2375277817185,0.106231,402.345486357403,0.108569,413.40142809854825,0.060539,186.27701328793685,0.049472,133.9433489383837,0.043252,104.53019340804843,0.039462,86.60802950773159,0.032743,54.835201210573615,0.033437,58.11699058968176,0.031749,50.13477088948788,0.029118,37.693289828344454
