q_inverse_angstroms,debye,propo{e=0.380}_ArginaseI,propo{e=0.380}_ArginaseI_relDiffDebye,propo{e=0.390}_ArginaseI,propo{e=0.390}_ArginaseI_relDiffDebye,propo{e=0.400}_ArginaseI,propo{e=0.400}_ArginaseI_relDiffDebye,propo{e=0.410}_ArginaseI,propo{e=0.410}_ArginaseI_relDiffDebye,propo{e=0.420}_ArginaseI,propo{e=0.420}_ArginaseI_relDiffDebye,propo{e=0.430}_ArginaseI,propo{e=0.430}_ArginaseI_relDiffDebye,propo{e=0.440}_ArginaseI,propo{e=0.440}_ArginaseI_relDiffDebye,propo{e=0.450}_ArginaseI,propo{e=0.450}_ArginaseI_relDiffDebye,strat{s=0.15}_ArginaseI,strat{s=0.15}_ArginaseI_relDiffDebye,strat{s=0.20}_ArginaseI,strat{s=0.20}_ArginaseI_relDiffDebye,strat{s=0.25}_ArginaseI,strat{s=0.25}_ArginaseI_relDiffDebye,strat{s=0.30}_ArginaseI,strat{s=0.30}_ArginaseI_relDiffDebye,strat{s=0.35}_ArginaseI,strat{s=0.35}_ArginaseI_relDiffDebye,strat{s=0.40}_ArginaseI,strat{s=0.40}_ArginaseI_relDiffDebye,strat{s=0.45}_ArginaseI,strat{s=0.45}_ArginaseI_relDiffDebye,strat{s=0.50}_ArginaseI,strat{s=0.50}_ArginaseI_relDiffDebye
0,62.708341,11.549866,81.58161128836115,11.253857,82.05365216088238,10.982653000000001,82.48613689206033,10.723909,82.89875185822568,10.465304,83.31114516328857,10.231456,83.68405887184927,10.010037,84.03715225060729,9.788745,84.39004310447314,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613
0.02,59.825609,11.028664,81.56531260718131,10.746267,82.03734624749076,10.48754,82.469814891479,10.240706,82.88240408885767,9.99401,83.29476261578883,9.770938,83.66763303654794,9.559728,84.02067582797194,9.348644,84.3735080072482,3.820826,93.61339388956326,3.819833,93.61505371387025,3.814733,93.62357849127788,3.827635,93.60201247596159,3.828116,93.6012084724453,3.820659,93.61367303423522,3.820261,93.61433830117801,3.822341,93.61086152921568
0.04,51.911232,9.596398,81.51383114929732,9.351405,81.98577718209424,9.126965,82.41813062729855,8.91286,82.83057508633198,8.698893,83.24275370694343,8.505432,83.61543027913497,8.322275,83.96825758248234,8.139244,84.32084216379222,3.328062,93.58893659083259,3.324231,93.59631649659173,3.307324,93.62888555601994,3.351709,93.54338382876368,3.35313,93.54064646356302,3.326952,93.59107485640102,3.325861,93.59317652102727,3.332989,93.57944538862033
0.06,40.868701,7.594342,81.41770642526663,7.401633,81.88923841743832,7.225121,82.32113861411939,7.056764,82.73308466545095,6.888546,83.14469060320758,6.736477,83.51678219476563,6.592534,83.86899059992145,6.448716,84.22089314754585,2.63749,93.54643055574485,2.629514,93.56594671310938,2.601879,93.63356569615463,2.679527,93.4435718913601,2.681169,93.43955414682743,2.633987,93.55500190720522,2.632817,93.55786473369926,2.645204,93.52755547576616
0.08,29.044317,5.444705,81.25380259415293,5.308135,81.7240150629123,5.183083,82.15457089247442,5.063847,82.56510215062039,4.94475,82.97515482977272,4.837124,83.34571269140191,4.735284,83.6963492720452,4.633571,84.046548589867,1.893226,93.48159572834851,1.88084,93.52424090399509,1.849905,93.63075055268128,1.946892,93.29682292064227,1.94701,93.29641664494986,1.886125,93.50604457319481,1.885753,93.50732537453024,1.901048,93.45466447016125
0.1,18.452931,3.512347,80.96591267804556,3.426241,81.43253773614609,3.347448,81.85953223365979,3.272368,82.26640526645875,3.197428,82.67251961219603,3.129753,83.03926351862476,3.065761,83.38604853613771,3.001895,83.73215073529511,1.220921,93.38359309965446,1.20515,93.46905919715411,1.179308,93.6091019903559,1.27541,93.08830667605054,1.272262,93.10536629655202,1.210441,93.44038624541543,1.211024,93.4372268557228,1.225845,93.35690899185609
0.12,10.296301,2.017498,80.40560391542554,1.970431,80.86272924616325,1.927423,81.28043265246421,1.886502,81.67786664356451,1.84572,82.07395063528155,1.80895,82.43106917717344,1.774238,82.76819995841225,1.739651,83.10411671142869,0.697636,93.22440165647838,0.680468,93.39114114865134,0.664239,93.54876086081788,0.743126,92.78259250579407,0.736288,92.84900470567051,0.685553,93.3417544805654,0.686319,93.33431491561873,0.697891,93.22192503890474
0.14,4.887526,1.020466,79.12101132556634,0.999436,79.55129036653717,0.980296,79.94289953649351,0.962158,80.31400753673739,0.944159,80.68227156234053,0.928004,81.01280688839302,0.912819,81.32349577270791,0.89776,81.63160666562183,0.345772,92.92541870877004,0.3294,93.26039390890197,0.32226,93.40648008829007,0.37645,92.29773918338235,0.367475,92.48136992007818,0.334259,93.16097755797104,0.334296,93.16022052875013,0.341316,93.01658957926772
0.16,1.873617,0.460227,75.43644191955987,0.453828,75.7779738334996,0.4481,76.08369266504307,0.442764,76.3684893977798,0.437567,76.6458673250723,0.432994,76.88994068691734,0.428782,77.1147465036878,0.424697,77.33277398742646,0.145568,92.23064265535594,0.131725,92.96948095581968,0.130145,93.05380982345912,0.160101,91.45497719117621,0.151942,91.89044505894213,0.135787,92.75268104420488,0.134968,92.79639328635469,0.137658,92.65282072056348
0.18,0.565431,0.213363,62.265422306169995,0.213411,62.25693320670427,0.213592,62.22492222746896,0.213897,62.17098107461388,0.214342,62.092280048317114,0.214872,61.998546241716504,0.215496,61.888187948662164,0.216246,61.75554576951035,0.055102,90.25486752583429,0.044821,92.0731265176476,0.04498,92.0450063756674,0.05562,90.16325599410008,0.051121,90.95893221277221,0.046738,91.73409310773553,0.045862,91.88901917298486,0.045576,91.93960005730143
