q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.15}_BacteriorhodopsinArEnv,strat{s=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.20}_BacteriorhodopsinArEnv,strat{s=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.25}_BacteriorhodopsinArEnv,strat{s=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.30}_BacteriorhodopsinArEnv,strat{s=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.35}_BacteriorhodopsinArEnv,strat{s=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.40}_BacteriorhodopsinArEnv,strat{s=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.45}_BacteriorhodopsinArEnv,strat{s=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.50}_BacteriorhodopsinArEnv,strat{s=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0,186.698145,94.694519,49.27934661589702,92.228323,50.60030028686144,90.070803,51.75591969593485,87.913688,52.91132217730391,85.757009,54.06649112662581,83.754798,55.13892331388725,81.906988,56.12865462589358,80.059574,57.11817383081124,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461,144.19351700000001,22.76649722470461
0.02,178.347031,90.470617,49.272709227214435,88.115211,50.59339619732721,86.054634,51.748771192047485,83.994461,52.90391966211089,81.934724,54.05882366497035,80.022531,55.13099906888834,78.257814,56.12048400177741,76.493493,57.10974689564638,138.025623,22.60839879078222,138.246247,22.484693899950585,138.083033,22.57620873991448,137.723344,22.777888015416412,137.907899,22.674407178665064,138.130154,22.549787778637022,138.199323,22.5110044024226,138.103706,22.564617293797284
0.04,155.393952,78.861624,49.250519093561635,76.810717,50.570330433452135,75.016575,51.724906899851554,73.222838,52.87922273834699,71.429537,54.0332579996421,69.764748,55.104592487614966,68.228405,56.09326867496105,66.692458,57.08169002613436,120.991395,22.138929190757704,121.75532,21.647323828922254,121.178787,22.018337624877454,119.926052,22.824504778667325,120.56852,22.411060116419463,121.363614,21.899396702389044,121.601494,21.74631481153141,121.280613,21.952809978087185
0.06,123.333022,62.647734,49.204411775461075,61.022109,50.522489427040874,59.600089,51.67548152675607,58.178475,52.8281444364511,56.757295,53.98045545336593,55.438048,55.050117883270545,54.220667,56.03718605062642,53.003682,57.023933136090676,96.970954,21.374703686414165,98.310376,20.288683107108163,97.260951,21.139570390158763,95.03543,22.944051431740636,96.174432,22.020533965347905,97.653794,20.821048234754187,98.068682,20.48465170990459,97.539274,20.91390252320258
0.08,89.027458,45.302381,49.11414745774276,44.131716,50.4290957066302,43.107787,51.57922289548017,42.084262,52.72889629174855,41.061173,53.87807995146846,40.111581,54.944708182053226,39.23542,55.92885511793452,38.359655,56.912557247225905,70.910487,20.3498689134761,72.552654,18.50530653138495,71.180958,20.046062642830925,68.375866,23.196879326825208,69.80179,21.595211670538767,71.799701,19.35106020886275,72.313762,18.773641722983935,71.733565,19.425347402371074
0.1,58.425347,29.836001,48.9331214412813,29.071011,50.24246753724886,28.402048,51.38745517420718,27.733489,52.5317513304628,27.065366,53.67530123526695,26.445386,54.736450260192726,25.873481,55.71531479308116,25.301973,56.69349982636817,47.254264,19.120268126092608,48.765743,16.53324198485291,47.352125,18.952770618546776,44.611959,23.642800101811982,45.977324,21.305860622445252,48.132959,17.61630615561428,48.637266,16.753141406246172,48.215549,17.47494627631394
0.12,35.002495,18.006829,48.55558439476958,17.552113,49.854680359214406,17.154639,50.99023941007634,16.75757,52.12464140056302,16.360936,53.257800622498486,15.993053,54.308819985546755,15.653853,55.277893761573296,15.31505,56.24583333273815,28.792475,17.741649559552837,29.795623,14.875716716765485,28.615759,18.24651642690043,26.517612,24.240794834768213,27.501225,21.43067229921753,29.41672,15.958219549777814,29.835903,14.760639205862338,29.71778,15.098109434770295
0.14,19.43963,10.156343,47.7544428571943,9.907541,49.03431289587302,9.690242,50.15212738102526,9.473348,51.26785849319149,9.256889,52.381351908446824,9.0563110000000009,53.41315138199647,8.871547,54.36360157060602,8.68718,55.31200953927622,16.302213,16.139283515169797,16.644263,14.37973356488782,15.851585,18.457372902673562,14.670625,24.532385647257694,15.105027,22.297764926595832,16.502306,15.109978945072514,16.826255,13.443542906938049,17.020817,12.442690524459572
0.16,10.378534,5.591959,46.11995297216351,5.462879,47.36367390616054,5.350337,48.448046708716284,5.238199,49.52852686130816,5.126496,50.60481567049836,5.023192,51.600177828583504,4.92822,52.51525889880016,4.833643,53.42653403650265,8.955138,13.714807890979596,8.747503,15.715427631686712,8.328329,19.75428321572199,7.993559,22.979883286020932,7.899692,23.88431738047011,8.705575,16.119415323975435,8.973036,13.542355789362926,9.362638,9.78843447446431
0.18,5.644664,3.207644,43.1738718194741,3.141103,44.35270195001863,3.083283,45.377032184732336,3.025867,46.39420521752933,2.968886,47.40367185717343,2.916395,48.33359434680256,2.868327,49.185159648120774,2.820655,50.02970947429289,5.143108,8.885489021135712,4.667951,17.303297415045417,4.481766,20.60172226371666,4.702551,16.69032913207943,4.235911,24.957251662809337,4.566725,19.09660167549388,4.820302,14.604270511052562,5.235589,7.247109836829963
