q_inverse_angstroms,debye,propo{e=0.380}_CoiledCoil,propo{e=0.380}_CoiledCoil_relDiffDebye,propo{e=0.390}_CoiledCoil,propo{e=0.390}_CoiledCoil_relDiffDebye,propo{e=0.400}_CoiledCoil,propo{e=0.400}_CoiledCoil_relDiffDebye,propo{e=0.410}_CoiledCoil,propo{e=0.410}_CoiledCoil_relDiffDebye,propo{e=0.420}_CoiledCoil,propo{e=0.420}_CoiledCoil_relDiffDebye,propo{e=0.430}_CoiledCoil,propo{e=0.430}_CoiledCoil_relDiffDebye,propo{e=0.440}_CoiledCoil,propo{e=0.440}_CoiledCoil_relDiffDebye,propo{e=0.450}_CoiledCoil,propo{e=0.450}_CoiledCoil_relDiffDebye,strat{s=0.15}_CoiledCoil,strat{s=0.15}_CoiledCoil_relDiffDebye,strat{s=0.20}_CoiledCoil,strat{s=0.20}_CoiledCoil_relDiffDebye,strat{s=0.25}_CoiledCoil,strat{s=0.25}_CoiledCoil_relDiffDebye,strat{s=0.30}_CoiledCoil,strat{s=0.30}_CoiledCoil_relDiffDebye,strat{s=0.35}_CoiledCoil,strat{s=0.35}_CoiledCoil_relDiffDebye,strat{s=0.40}_CoiledCoil,strat{s=0.40}_CoiledCoil_relDiffDebye,strat{s=0.45}_CoiledCoil,strat{s=0.45}_CoiledCoil_relDiffDebye,strat{s=0.50}_CoiledCoil,strat{s=0.50}_CoiledCoil_relDiffDebye
0,174.946011,116.652313,33.32096437454638,113.571492,35.08197680483266,110.931195,36.591183550907026,108.071332,38.2258953020655,105.651847,39.608884823329866,103.232756,40.99164913225715,100.814087,42.374172223909696,98.61569,43.63078675740712,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814,144.19351700000001,17.57827676333814
0.02,163.339331,108.937851,33.30580556865389,106.061968,35.06648560964168,103.597333,36.575390406123304,100.927769,38.20975733027828,98.669307,39.592438394399935,96.411239,40.97487824288933,94.153593,42.357059733518795,92.101581,43.61334747967101,134.957204,17.376174388763722,134.360189,17.741680354990557,134.578436,17.6080646491689,134.454865,17.683717585447916,135.020474,17.33743907644631,134.756929,17.498787233308782,134.85066,17.441403013950133,134.940403,17.386460337590083
0.04,132.951382,88.738332,33.25505108325989,86.399059,35.01454614439435,84.394375,36.522378533831265,82.223091,38.15551988771354,80.386251,39.53710763232232,78.549805,40.91839902799957,76.71378,42.2993737665698,75.045061,43.554508519512794,110.729182,16.71453103059884,108.721451,18.224655235249827,109.44793,17.67823067833924,109.002071,18.01358559777889,110.895618,16.589345419515833,110.023781,17.245101671827673,110.304402,17.034031282202093,110.592697,16.817188857803668
0.06,94.559132,63.213032,33.149733227246635,61.551851,34.906497449659334,60.128388,36.41186554039012,58.586761,38.042196707135595,57.282706,39.42128614293964,55.979046,40.799957850712936,54.675808,42.17818327689387,53.491439,43.430700061840675,79.9767,15.421495197312101,76.625469,18.96555374471924,77.809719,17.713162806951317,76.980064,18.590555590125348,80.127155,15.262383119168229,78.692825,16.779243489671632,79.08149,16.368214970501214,79.522449,15.90188349021648
0.08,59.525127,39.912963,32.94770626864854,38.870759,34.69857023572583,37.977848,36.19862751405805,37.010985,37.82292140258684,36.193271,39.19665051701611,35.37595,40.569719406058546,34.559051,41.94207935079248,33.816808,43.18901999150711,51.646285,13.236161596093696,47.811906,19.677775739982877,49.098005,17.517177241805797,48.006959,19.35009395276048,51.615349,13.288132925781069,49.948166,16.088938373873603,50.317091,15.469158091842457,50.747314,14.746399449093145
0.1,34.694518,23.391276,32.5793314090716,22.787978,34.31821707394811,22.271272,35.80751864026473,21.711965,37.41960905754622,21.239105,38.78253330972923,20.766639,40.14432193581706,20.294596,41.504891349117464,19.865858,42.74064277244031,31.18817,10.106345907442792,27.944841,19.454592221168777,28.906833,16.68184293553236,27.816553,19.824356689434346,30.933032,10.841730096956532,29.362501,15.368471180374952,29.712455,14.359798859289539,29.969104,13.620059514877827
0.12,20.845949,14.171567,32.01764525088304,13.813195,33.73678981945125,13.506426,35.208389889085886,13.17455,36.80043062563379,12.894132,38.14562244203898,12.614108,39.48892420297105,12.334506,40.830201589766915,12.080715,42.047661154692456,19.361441,7.12132606675763,17.354509,16.74876974898097,17.765601,14.776722326241904,16.939279,18.740667551282993,18.997628,8.86657162981643,17.658772,15.289191199690652,18.145366,12.954953501996966,18.163895,12.866068126713737
0.14,14.675487,10.062217,31.43520893037485,9.813012,33.13331271391539,9.599815,34.58605496362745,9.369308,36.15674900601255,9.174664,37.48306955673771,8.980413,38.80671217248191,8.786585,40.127472430727515,8.610771,41.32548378121967,13.760486,6.23489360182732,12.927278,11.912442837501754,12.877029,12.254843740449637,12.426702,15.323409710355776,13.431251,8.478328521567978,12.285953,16.282485208156984,13.066976,10.960528941901552,12.890551,12.162703697669453
0.16,12.049386,8.315581,30.98751255873121,8.112776,32.67062736640688,7.93935,34.109920621681475,7.75193,35.6653525748117,7.593743,36.97817465553847,7.43595,38.28772686010723,7.278579,39.593776811532145,7.1359069999999996,40.777837144564884,11.276753,6.41221884666987,11.054469,8.256993343893216,10.843989,10.003804343225452,10.678756,11.375102432605281,11.006637,8.653959629146254,9.984287,17.13862432492411,11.056171,8.242868142824864,10.774878,10.577368838544974
0.18,10.217704,7.099989,30.5128725592364,6.929476,32.18167212516627,6.78373,33.608078683821724,6.626295,35.148884720089754,6.493481,36.44872664152338,6.361061,37.74471251075583,6.229063,39.03656829362056,6.109458,40.20713459697012,9.742892,4.646953953647513,9.535816,6.673593206458114,9.445995,7.5526654520428425,9.361913,8.375570480413213,9.431182,7.697639313098126,8.522175,16.59403130096545,9.708176,4.986717172468488,9.398536,8.017143577461233
0.2,8.21981,5.77239,29.774654158672774,5.637146,31.41999632594914,5.52163,32.825332945652036,5.396944,34.342229321602325,5.291841,35.620884181021225,5.187132,36.894745742298184,5.082844,38.16348553068746,4.988431,39.312088722245406,8.242289,0.27347347444769166,7.783767,5.304781984011803,7.897728,3.91836307651881,7.732772,5.925173452914373,7.789743,5.2320795736154615,7.031894,14.451866892300433,8.111001,1.3237410597082027,7.822489,4.833700535657158
0.22,6.16091,4.400382,28.575778578164602,4.301586,30.179372852387065,4.217311,31.547271425812106,4.12647,33.02174516426956,4.050005,34.2628767503502,3.973933,35.49762940864255,3.898284,36.72551619809411,3.829904,37.8354171705154,6.644635,7.851518687986022,6.03633,2.0221038775116,6.237336,1.240498562712321,5.966294,3.158883996033052,6.070016,1.4753340009836284,5.490249,10.885745774569015,6.326872,2.6937903653843263,6.100728,0.9768362141307076
0.24,4.385986,3.213952,26.722246719437777,3.146674,28.256177744297407,3.089414,29.561699467348955,3.02784,30.96557991749176,2.976139,32.1443570499313,2.924832,33.31415102556187,2.873946,34.47434624734324,2.82808,35.520086019426415,5.099759,16.273946154866884,4.587387,4.591920722045161,4.7021,7.207364546991253,4.411203,0.5749448356652413,4.531278,3.3126416728188466,4.117548,6.120356973323666,4.691004,6.954376963355571,4.567703,4.143127679842113
0.26,3.072485,2.333471,24.052647938069676,2.289583,25.481068255825495,2.252372,26.69217262248636,2.212518,27.989298564516986,2.179195,29.07386040940802,2.146265,30.14563130495348,2.113758,31.203634842806398,2.084599,32.15267120913528,3.783981,23.157021108321114,3.504375,14.056700032709685,3.45174,12.343591587916626,3.240373,5.464241485312379,3.348974,8.998872248359234,3.062484,0.3255019959413936,3.417761,11.237678947171432,3.417014,11.21336637933139
0.28,2.196425,1.745159,20.54547730971921,1.7169,21.832068019622795,1.693085,22.91632994525195,1.667743,24.07011393514461,1.6467,25.02817077751346,1.62605,25.96833490786164,1.605823,26.889240470309712,1.587827,27.70857188385672,2.814649,28.146829507039854,2.708754,23.325585895261607,2.537011,15.506379685170222,2.44051,11.112831077774114,2.541171,15.695778367119285,2.337251,6.4116006692693865,2.534814,15.406353506265855,2.634292,19.93544054543177
0.3,1.635833,1.368607,16.335775106627644,1.350351,17.45178144712816,1.335111,18.383416889132334,1.319058,19.36475178089695,1.305874,20.17070202153888,1.293084,20.952566673982012,1.280716,21.70863407205993,1.269866,22.371904711544524,2.209102,35.044469698312724,2.11604,29.355502670504862,1.92836,17.88244888078428,1.91267,16.9233045182485,2.019848,23.475195817665984,1.859557,13.67645719336875,1.959232,19.76968309112238,2.103232,28.57253766124049
0.32,1.263157,1.118333,11.465241454546035,1.106726,12.384129605425136,1.097184,13.139538473839762,1.087305,13.921626527818798,1.079345,14.551793640853836,1.071779,15.150769065128092,1.064635,15.716336132404765,1.058534,16.199332307860384,1.878753,48.73471785375846,1.682039,33.16151515607323,1.54464,22.28408661789468,1.550587,22.754891118047862,1.6627,31.630509904944514,1.520275,20.35518941825917,1.578001,24.92516765532708,1.712845,35.60032521689702
0.34,0.991748,0.935667,5.654763105143639,0.928913,6.335782880328468,0.92353,6.878561892738881,0.918157,7.420332584487185,0.91401,7.838483163061581,0.910257,8.216905907549094,0.906926,8.552777520095827,0.904291,8.81847001456015,1.682421,69.64198566571346,1.378523,38.99932240851506,1.293445,30.420731879469383,1.27799,28.862372296188145,1.37367,38.50998439119615,1.24217,25.250567684532772,1.297053,30.784533974356393,1.40033,41.19816727636457
