q_inverse_angstroms,debye,propo{e=0.380}_GPx,propo{e=0.380}_GPx_relDiffDebye,propo{e=0.390}_GPx,propo{e=0.390}_GPx_relDiffDebye,propo{e=0.400}_GPx,propo{e=0.400}_GPx_relDiffDebye,propo{e=0.410}_GPx,propo{e=0.410}_GPx_relDiffDebye,propo{e=0.420}_GPx,propo{e=0.420}_GPx_relDiffDebye,propo{e=0.430}_GPx,propo{e=0.430}_GPx_relDiffDebye,propo{e=0.440}_GPx,propo{e=0.440}_GPx_relDiffDebye,propo{e=0.450}_GPx,propo{e=0.450}_GPx_relDiffDebye,strat{s=0.15}_GPx,strat{s=0.15}_GPx_relDiffDebye,strat{s=0.20}_GPx,strat{s=0.20}_GPx_relDiffDebye,strat{s=0.25}_GPx,strat{s=0.25}_GPx_relDiffDebye,strat{s=0.30}_GPx,strat{s=0.30}_GPx_relDiffDebye,strat{s=0.35}_GPx,strat{s=0.35}_GPx_relDiffDebye,strat{s=0.40}_GPx,strat{s=0.40}_GPx_relDiffDebye,strat{s=0.45}_GPx,strat{s=0.45}_GPx_relDiffDebye,strat{s=0.50}_GPx,strat{s=0.50}_GPx_relDiffDebye
0,179.352881,88.426671,50.6968215358637,86.106937,51.990212524102134,84.031714,53.14727394872458,81.956824,54.30414970585279,80.004315,55.39279070738763,78.174149,56.413218140610745,76.466284,57.36545542304391,74.758721,58.31752432234417,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532,144.19351700000001,19.603456495354532
0.02,166.616099,82.153249,50.693090587842896,79.999065,51.985993262271734,78.071964,53.14260478514744,76.145197,54.299015847202135,74.332097,55.387206010626855,72.632627,56.40719748215927,71.046745,57.35901546944751,69.461165,58.31065220174192,134.260454,19.419278925741736,133.977391,19.589168271188477,134.026801,19.559513273684306,134.170419,19.473316321011684,133.836987,19.673436238595407,134.080059,19.52754877546376,133.988867,19.582280581422083,133.937757,19.612955888494294
0.04,133.936424,66.061528,50.67695102864624,64.331986,51.96826667553853,62.784829,53.12340950658798,61.238005,54.27830371221498,59.782499,55.365017808747815,58.418273,56.38358016785635,57.145286,57.33402140107906,55.8726,58.284237900811796,108.657991,18.87345670808711,107.788416,19.522701307898135,107.899914,19.439454348878236,108.365652,19.09172369720726,107.324867,19.868797602062298,108.040478,19.3345060489296,107.828734,19.49259896620802,107.635855,19.6366068426614
0.06,94.174005,46.494888,50.62874516168235,45.281688,51.91699875140703,44.19652,53.06929974996816,43.111687,54.22124502403821,42.090995,55.30508126950744,41.134407,56.32084777534947,40.241883,57.268587016130404,39.349659,58.2160076976656,77.244307,17.97703941761847,76.032042,19.264300164360634,76.015096,19.28229451428767,76.790623,18.45879019374826,75.263442,20.08044895191619,76.177955,19.10936038028753,76.075342,19.218321446560534,75.690456,19.62701809273164
0.08,59.508036,29.456867,50.499346004294274,28.693282,51.782508836285565,28.010401,52.93005300998339,27.327854,54.07703591494769,26.685785,55.155997754656184,26.084156,56.16700238603068,25.522927,57.11011702688356,24.961998,58.05272753414346,49.582821,16.678780996906024,48.617924,18.30023763513216,48.111283,19.151620127405984,49.129568,17.440447874972715,47.685223,19.867590656159443,48.284775,18.860076309693692,48.539586,18.431880359822323,47.979756,19.37264405768659
0.1,35.557888,17.708933,50.1968930213178,17.255362,51.472477780457595,16.849863,52.61286890829962,16.444698,53.75232072276058,16.063694,54.82382418213364,15.706814,55.827483342092755,15.374016,56.76341631988942,15.04152,57.698499978401415,30.358161,14.623272900797707,30.105717,15.333225077934888,28.780448,19.060299644343328,30.056647,15.471225400113745,29.113203,18.124487596113696,29.11892,18.108409588331003,29.70089,16.471726329752762,29.044452,18.317837099886244
0.12,21.269316,10.716535,49.61504638889186,10.447486,50.880009493488174,10.207085,52.01028091359403,9.967018,53.13898199641211,9.741401,54.19974483429556,9.530195,55.19275278998158,9.333361,56.11818922620737,9.136828,57.0422104782307,18.975674,10.78380705801728,19.464417,8.485928743547742,17.284676,18.73421787517755,18.843327,11.406050857488795,18.407117,13.456939564958272,17.980673,15.46191236239097,18.585468,12.61840296133642,17.9237,15.729777111779239
0.14,12.827998,6.586512,48.655183762891134,6.42645,49.90293886855922,6.283564,51.01679934780158,6.141011,52.12806394263547,6.007172,53.17139899772357,5.882009,54.147100740115484,5.765481,55.055488783206854,5.649254,55.961530396247326,12.371043,3.562169248857062,13.261428,3.3787813187997173,10.599368,17.373170778480002,12.286224,4.223371409942522,12.095845,5.707461133062218,11.626345,9.367424285535424,11.971843,6.6741123595435505,11.358078,11.458685914980641
0.16,7.312664,3.875715,46.99995788128649,3.787188,48.21055637179556,3.708306,49.28926038445087,3.629759,50.36338330326677,3.55616,51.369842782329385,3.487471,52.3091584681041,3.423653,53.181863681963236,3.360136,54.0504527488204,7.971939,9.015524301403703,8.856643,21.113769209141843,6.335788,13.358688434201268,7.790752,6.537808929823667,7.615185,4.136946535489672,7.368973,0.7700203373216739,7.440904,1.7536700715361724,6.886578,5.82668641687899
0.18,3.641331,2.058026,43.48149069667108,2.017465,44.59539657339583,1.981501,45.58305740400969,1.945871,46.561545764447125,1.912665,47.47346505989156,1.881846,48.319831402308665,1.853372,49.101798216091865,1.825198,49.875526284207616,4.749827,30.44205539128411,5.392785,48.099280180791034,3.551712,2.4611604932372226,4.430385,21.669384079612648,4.210997,15.64444429797785,4.190662,15.085994654152548,4.18787,15.009319394474167,3.703323,1.7024544047217913
0.2,1.576085,1.027062,34.834606001579864,1.013707,35.68195877760401,1.002086,36.41929210670744,0.990798,37.13549713372058,0.980502,37.788761392945176,0.971161,38.38143247350237,0.962734,38.91611175793184,0.954607,39.431756535973626,2.596546,64.74657140953693,2.96764,88.29187512094842,1.993268,26.46957492774819,2.216017,40.60263247223341,2.001493,26.991437644543286,2.069421,31.301357477547224,2.158402,36.94705552048273,1.784005,13.192181893743046
0.22,0.746652,0.607549,18.630232022414724,0.605265,18.936130888285298,0.603548,19.166090762497124,0.602166,19.351183683965225,0.601193,19.481498743725325,0.600591,19.56212532746179,0.600321,19.5982867520612,0.600351,19.594268815994603,1.431778,91.7597488522096,1.610981,115.76062208364807,1.326572,77.6693827914477,1.100363,47.37293946845384,0.935346,25.272014271708915,0.994035,33.13230259880105,1.161073,55.5039027552327,0.947352,26.879992285562754
0.24,0.564602,0.511073,9.480837829125658,0.511335,9.434433459321797,0.511897,9.33489431493335,0.512792,9.17637557075604,0.513963,8.968972833960931,0.515371,8.71959362524398,0.516977,8.435145465301225,0.518883,8.097562530773901,0.926917,64.17175284536715,1.011704,79.18887995437491,1.082275,91.688127211735,0.701999,24.33519541198933,0.593845,5.179400710589036,0.638446,13.078947648077744,0.760616,34.717199018069344,0.718692,27.291791385790333
0.26,0.568917,0.50929,10.48079069530353,0.509599,10.426476972915202,0.510203,10.320310344039648,0.51114,10.155611451231017,0.51235,9.942926648351172,0.513796,9.688759520281513,0.515436,9.400492514725347,0.517377,9.059317967295762,0.71447,25.58422406080325,0.781216,37.31633964181067,0.938933,65.03866117553176,0.591729,4.00972373826058,0.534194,6.103350752394472,0.588536,3.448481940247864,0.589806,3.671713096989551,0.668669,17.533664840389715
0.28,0.5708,0.508268,10.955150665732292,0.508604,10.896285914505963,0.509232,10.786264891380512,0.510194,10.617729502452686,0.511427,10.401716888577438,0.512893,10.144884372810079,0.514554,9.853889278206031,0.516514,9.510511562718982,0.587533,2.931499649614576,0.682101,19.499124036440083,0.812322,42.31289418360197,0.545819,4.376489138051843,0.5309,6.99018920812893,0.587395,2.907323055360902,0.499796,12.439383321653812,0.61561,7.850385423966366
0.3,0.535673,0.490682,8.398967280411734,0.491482,8.249622437569187,0.492525,8.054914098713201,0.493902,7.79785428797045,0.495526,7.49468425700006,0.497359,7.152497885837061,0.499361,6.778762416623567,0.501664,6.348835950290561,0.489454,8.628211614175058,0.62434,16.55244897540105,0.71319,33.13906058360232,0.519821,2.9592680609252247,0.528851,1.2735381473398875,0.554989,3.6059312304334923,0.458149,14.472261995657796,0.545391,1.8141664784299387
