q_inverse_angstroms,debye,propo{e=0.380}_Gb1v29Sem,propo{e=0.380}_Gb1v29Sem_relDiffDebye,propo{e=0.390}_Gb1v29Sem,propo{e=0.390}_Gb1v29Sem_relDiffDebye,propo{e=0.400}_Gb1v29Sem,propo{e=0.400}_Gb1v29Sem_relDiffDebye,propo{e=0.410}_Gb1v29Sem,propo{e=0.410}_Gb1v29Sem_relDiffDebye,propo{e=0.420}_Gb1v29Sem,propo{e=0.420}_Gb1v29Sem_relDiffDebye,propo{e=0.430}_Gb1v29Sem,propo{e=0.430}_Gb1v29Sem_relDiffDebye,propo{e=0.440}_Gb1v29Sem,propo{e=0.440}_Gb1v29Sem_relDiffDebye,propo{e=0.450}_Gb1v29Sem,propo{e=0.450}_Gb1v29Sem_relDiffDebye,strat{s=0.15}_Gb1v29Sem,strat{s=0.15}_Gb1v29Sem_relDiffDebye,strat{s=0.20}_Gb1v29Sem,strat{s=0.20}_Gb1v29Sem_relDiffDebye,strat{s=0.25}_Gb1v29Sem,strat{s=0.25}_Gb1v29Sem_relDiffDebye,strat{s=0.30}_Gb1v29Sem,strat{s=0.30}_Gb1v29Sem_relDiffDebye,strat{s=0.35}_Gb1v29Sem,strat{s=0.35}_Gb1v29Sem_relDiffDebye,strat{s=0.40}_Gb1v29Sem,strat{s=0.40}_Gb1v29Sem_relDiffDebye,strat{s=0.45}_Gb1v29Sem,strat{s=0.45}_Gb1v29Sem_relDiffDebye,strat{s=0.50}_Gb1v29Sem,strat{s=0.50}_Gb1v29Sem_relDiffDebye
0,72.477529,22.656636,68.73977864228787,22.075831,69.54113736410633,21.534003,70.28871803838676,21.031116,70.98257033569674,20.528477,71.67608045798582,20.064739,72.31591739282392,19.63986,72.90213908920653,19.2152,73.4880586229699,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392
0.02,69.666234,21.790767,68.72119282348461,21.23255,69.52246622086676,20.711804,70.26995315980479,20.228494,70.96370387984516,19.745431,71.65710005222904,19.299763,72.2968188577554,18.891449,72.88291914846438,18.483353,73.46870651856968,3.855391,94.46591156341249,3.844731,94.48121309384975,3.851052,94.47213983175838,3.848416,94.47592358731491,3.84816,94.47629105371189,3.852319,94.4703211601764,3.850283,94.47324366636497,3.847435,94.4773317300315
0.04,61.885169,19.392837,68.66319133749154,18.897175,69.46412960429986,18.434814,70.21125691682283,18.005717,70.90463306321423,17.576869,71.59760685148974,17.181245,72.23689410947557,16.818804,72.8225610889097,16.456581,73.4078758030054,3.452976,94.42034972870479,3.415225,94.48135142040252,3.437975,94.44458978531674,3.427788,94.46105091835493,3.427058,94.46223052246977,3.442492,94.43729078286916,3.434915,94.44953442722279,3.424872,94.4657628712301
0.06,50.862748,15.992085,68.55835433822806,15.585138,69.35844284308035,15.205578,70.10468643967094,14.853368,70.7971578727913,14.501406,71.48914171920086,14.176754,72.12743204515807,13.879371,72.71210945975629,13.582206,73.29635826990709,2.875979,94.3456083025636,2.806941,94.48134221926034,2.849742,94.39719222406151,2.828216,94.4395139641295,2.827546,94.44083123467887,2.858068,94.38082267989138,2.842968,94.41051041913819,2.82482,94.44619075634687
0.08,38.814404,12.268487,68.39192223587925,11.958678,69.19010272578191,11.669779,69.93441146230147,11.401755,70.62493861814805,11.133978,71.31482941229757,10.887036,71.95104168029992,10.660887,72.53368362940726,10.434957,73.11576135498564,2.233716,94.24513641894386,2.142814,94.47933298164259,2.201657,94.32773204504184,2.166955,94.41713699893472,2.167735,94.41512743568083,2.212593,94.29955693767705,2.190002,94.3577595575086,2.166846,94.41741782251765
0.1,27.74834,8.841076,68.13836070914512,8.620677,68.93263885335122,8.415228,69.67303990076523,8.224693,70.35969358887773,8.034406,71.04545352983277,7.858993,71.67761026425366,7.698411,72.25631875636525,7.538049,72.83423440825649,1.629551,94.12739284584232,1.534918,94.46843306662669,1.60014,94.2333847718458,1.55306,94.40305257900113,1.557201,94.388129163762585,1.611094,94.19390853651065,1.582916,94.295456953461,1.560673,94.37561670355775
0.12,18.943646,6.107534,67.75945876522397,5.958445,68.54647199382843,5.819551,69.27966770493916,5.690818,69.95922537826141,5.562333,70.63747390549845,5.443968,71.26230082635624,5.33568,71.83393312987373,5.227611,72.40440937293697,1.135023,94.00842372160038,1.055195,94.42982095421335,1.115486,94.11155592751258,1.059627,94.40642524675556,1.068858,94.35769650678651,1.123375,94.06991135708512,1.092671,94.2319920885346,1.077706,94.31098955290867
0.14,12.773465,4.187992,67.2133442257054,4.088978,67.98849803087886,3.996821,68.70997023908546,3.911487,69.37802702712224,3.8264,70.04415011901625,3.748094,70.65718659737198,3.676528,71.21745744009164,3.605181,71.77601379108958,0.77832,93.90674339343317,0.724832,94.32548646745421,0.77134,93.96138792410673,0.71251,94.42195207017046,0.727572,94.30403574910959,0.773687,93.94301389638598,0.743652,94.17814978159804,0.740272,94.20461088670929
0.16,8.874407,2.974495,66.4823238330178,2.9071380000000002,67.24132665991091,2.844527,67.94684985712284,2.786628,68.59927654884433,2.728977,69.24890868764525,2.675996,69.84591759201489,2.627645,70.3907539962952,2.579513,70.9331226300529,0.54865,93.81761508121049,0.522875,94.10805702285234,0.551709,93.78314517240419,0.496584,94.4043134375063,0.516662,94.17806733452724,0.547501,93.83056242518514,0.520512,94.13468415410742,0.529415,94.0343619579314
0.18,6.517712,2.243324,65.58111189939045,2.195041,66.32190866979087,2.150232,67.00940452723287,2.108864,67.64410578436114,2.067743,68.27501736805799,2.030023,68.85374806373771,1.995659,69.38098829773394,1.961514,69.90486845690634,0.411698,93.68339687301311,0.406625,93.76123093502751,0.419024,93.57099546589355,0.373465,94.26999842889651,0.396163,93.92174738619934,0.409008,93.72466902495844,0.386113,94.07594260071632,0.404377,93.79572156609558
