q_inverse_angstroms,debye,propo{e=0.380}_NeonMOF,propo{e=0.380}_NeonMOF_relDiffDebye,propo{e=0.390}_NeonMOF,propo{e=0.390}_NeonMOF_relDiffDebye,propo{e=0.400}_NeonMOF,propo{e=0.400}_NeonMOF_relDiffDebye,propo{e=0.410}_NeonMOF,propo{e=0.410}_NeonMOF_relDiffDebye,propo{e=0.420}_NeonMOF,propo{e=0.420}_NeonMOF_relDiffDebye,propo{e=0.430}_NeonMOF,propo{e=0.430}_NeonMOF_relDiffDebye,propo{e=0.440}_NeonMOF,propo{e=0.440}_NeonMOF_relDiffDebye,propo{e=0.450}_NeonMOF,propo{e=0.450}_NeonMOF_relDiffDebye,strat{s=0.15}_NeonMOF,strat{s=0.15}_NeonMOF_relDiffDebye,strat{s=0.20}_NeonMOF,strat{s=0.20}_NeonMOF_relDiffDebye,strat{s=0.25}_NeonMOF,strat{s=0.25}_NeonMOF_relDiffDebye,strat{s=0.30}_NeonMOF,strat{s=0.30}_NeonMOF_relDiffDebye,strat{s=0.35}_NeonMOF,strat{s=0.35}_NeonMOF_relDiffDebye,strat{s=0.40}_NeonMOF,strat{s=0.40}_NeonMOF_relDiffDebye,strat{s=0.45}_NeonMOF,strat{s=0.45}_NeonMOF_relDiffDebye,strat{s=0.50}_NeonMOF,strat{s=0.50}_NeonMOF_relDiffDebye
0,305.202254,134.292959,55.99870012755541,130.768324,57.153552345652074,127.538125,58.211932143856316,124.455442,59.22197809194423,121.520228,60.18370558953997,118.732428,61.0971326574803,116.091986,61.96227764425356,113.598838,62.77916151956073,929.933794,204.69427463664803,888.933966,191.26061631248638,936.542016,206.85946899985873,909.536601,198.01110217226642,908.657281,197.7229915870805,910.280428,198.25481826225308,895.143693,193.2952431602946,908.182597,197.56746062563482
0.02,266.270263,117.243144,55.96836737266452,114.169663,57.12263858769688,111.35302,58.18045216712765,108.665096,59.18992426127584,106.105842,60.151073272496824,103.675205,61.06391910537903,101.373127,61.92848354230228,99.199546,62.74478986787947,811.381073,204.72087414432755,773.53178,190.50625904853672,815.675577,206.3337106479667,795.309819,198.68518175459943,794.118061,198.23760717883846,793.397414,197.96696223641018,782.208258,193.76478213791378,790.830105,197.00278810330389
0.04,179.8151,79.37054,55.85991387820044,77.299201,57.01184105228093,75.401188,58.06737698891806,73.590138,59.0745504687871,71.866002,60.03338874210231,70.228727,60.94392128358519,68.678255,61.806180348591425,67.214524,62.6202004169839,548.057042,204.78922070504643,518.576083,188.3940686849992,548.678583,205.1348763257368,539.763275,200.1768344260298,538.132869,199.27012191968305,534.378372,197.18214543717409,530.488474,195.01886882692276,532.270926,196.01013819195384
0.06,99.666043,44.241872,55.60988410064599,43.100067,56.75551501527958,42.054128,57.80495870594562,41.056421,58.80600878275061,40.106897,59.758714409881804,39.205504,60.663127761578735,38.352183,61.519308035536234,37.546873,62.32731643615068,304.384218,205.40413649210493,284.340455,185.2932116508328,303.381845,204.3984047806533,299.953256,200.95832740144002,298.271943,199.27138072492755,295.449013,196.43899176372435,295.648381,196.63902779806355,295.415607,196.40547382823257
0.08,50.640425,22.740012,55.095139900583376,22.167164,56.226346836544124,21.64277,57.26187132118263,21.142901,58.2489661174842,20.667508,59.18772798609017,20.21654,60.07825763705578,19.789938,60.92067157809201,19.387639,61.71509421573772,156.303519,208.6536477527588,142.975904,182.33551357438256,154.400904,204.8965406589696,151.853494,199.86615238714924,150.368307,196.93334327269173,150.43359,197.0622580675419,150.955172,198.09222967619252,151.351935,198.8757203360754
0.1,27.020406,12.375512,54.1993854570505,12.076918,55.30445397452578,11.803923,56.314782982905584,11.544025,57.27664121701207,11.297178,58.19019891855067,11.063327,59.05565963738665,10.842415,59.87323432519851,10.634379,60.64315613910465,85.344083,215.85048351975166,76.614431,183.5428564618903,82.33389,204.71004025624188,80.788208,198.98961547802054,79.578158,194.51133339743302,80.922104,199.4851520735847,80.579466,198.21708082402608,81.058872,199.9913176730209
0.12,16.439632,7.733955,52.95542503627818,7.558181,54.02463388474875,7.39777,55.0003917362627,7.24534,55.92760227236231,7.100842,56.80656355324742,6.964223,57.63759797056284,6.835426,58.421052247398244,6.714387,59.157315686871826,53.074494,222.84478144036314,48.001435,191.98606757134223,49.809485,202.98418480413676,49.536172,201.32165975491426,48.595724,195.60104508422086,49.604707,201.73854864877754,48.587815,195.55293573481453,48.917066,197.55572387508434
0.14,10.874854,5.294635,51.313047513097644,5.183408,52.33583825585152,5.082164,53.26683006502891,4.986212,54.14915915192976,4.895503,54.98327609731588,4.809984,55.7696682640521,4.729596,56.50887818815774,4.654278,57.201466796703656,35.641112,227.73876320546464,32.895691,202.49317370145846,33.01848,203.6222831129503,33.243846,205.69464196944622,32.568549,199.48493101608534,33.011708,203.56001101256166,31.870637,193.06726324785603,32.041283,194.63644293523393
0.16,6.950784,3.572445,48.603711466217334,3.506788,49.548309946043496,3.447318,50.40389688415004,3.39124,51.21068357181004,3.338506,51.969360578605226,3.289064,52.6806760215826,3.242854,53.34549311271937,3.199815,53.96468945085906,23.28653,235.0201934055209,21.668663,211.74415720586342,21.432648,208.3486409590631,21.506789,209.4152976124708,21.185502,204.7929845036186,21.367515,207.41158119717147,20.529062,195.34886999797436,20.392106,193.378502338729
0.18,4.100368,2.318652,43.45258767017984,2.286172,44.24471169416988,2.257113,44.95340418225876,2.230065,45.61305229189184,2.204978,46.22487542581543,2.1818,46.79014176288567,2.160473,47.310265810288236,2.140934,47.78678401548348,14.279112,248.23976774767536,13.206647,222.08443242167536,13.009967,217.28778977886867,12.784531,211.7898442286156,12.750173,210.95191943747494,12.959023,216.04536470872864,12.465063,203.9986410975796,12.095688,194.99030330936156
