q_inverse_angstroms,debye,propo{e=0.380}_NeuB,propo{e=0.380}_NeuB_relDiffDebye,propo{e=0.390}_NeuB,propo{e=0.390}_NeuB_relDiffDebye,propo{e=0.400}_NeuB,propo{e=0.400}_NeuB_relDiffDebye,propo{e=0.410}_NeuB,propo{e=0.410}_NeuB_relDiffDebye,propo{e=0.420}_NeuB,propo{e=0.420}_NeuB_relDiffDebye,propo{e=0.430}_NeuB,propo{e=0.430}_NeuB_relDiffDebye,propo{e=0.440}_NeuB,propo{e=0.440}_NeuB_relDiffDebye,propo{e=0.450}_NeuB,propo{e=0.450}_NeuB_relDiffDebye,strat{s=0.15}_NeuB,strat{s=0.15}_NeuB_relDiffDebye,strat{s=0.20}_NeuB,strat{s=0.20}_NeuB_relDiffDebye,strat{s=0.25}_NeuB,strat{s=0.25}_NeuB_relDiffDebye,strat{s=0.30}_NeuB,strat{s=0.30}_NeuB_relDiffDebye,strat{s=0.35}_NeuB,strat{s=0.35}_NeuB_relDiffDebye,strat{s=0.40}_NeuB,strat{s=0.40}_NeuB_relDiffDebye,strat{s=0.45}_NeuB,strat{s=0.45}_NeuB_relDiffDebye,strat{s=0.50}_NeuB,strat{s=0.50}_NeuB_relDiffDebye
0,180.685523,94.299888,47.80993715805334,91.861137,49.15965846361692,89.558233,50.434195549800634,87.391137,51.63357000106754,85.359812,52.75780229498519,83.328826,53.881846970108384,81.433569,54.930772732688716,79.673992,55.90460670166696,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564
0.02,160.601541,83.827686,47.80393421007088,81.661334,49.15283284859639,79.615694,50.426569070093784,77.690731,51.625164667629186,75.886404,52.748645170222865,74.082417,53.87191396874579,72.399025,54.920093201347306,70.83618,55.89321275566091,129.415996,19.417961251069187,128.293174,20.117096510300613,128.140449,20.212192110908827,127.388012,20.68070380470384,128.950665,19.70770380092431,127.595073,20.55177540295208,128.568753,19.945504757018497,128.186024,20.18381442554153
0.04,117.222525,61.215353,47.7785067332409,59.637183,49.12480941696146,58.147049,50.39601049371697,56.744914,51.59214152740695,55.430739,52.71323578808765,54.116904,53.83404000212417,52.890986,54.8798441255211,51.752939,55.850687399883256,97.403319,16.907335855459525,93.902169,19.89409117402991,93.656596,20.10358418742474,91.729334,21.74768970383466,95.471804,18.55506951415694,91.979198,21.534536131174452,94.847774,19.087416006437333,93.582657,20.166659948674546
0.06,79.471648,41.556379,47.70917673684079,40.489569,49.051554838777214,39.482387,50.31890240907047,38.534795,51.51126726351516,37.646753,52.62869973452672,36.759052,53.74570312169694,35.930859,54.7878269744702,35.162129,55.755127916813805,69.116222,13.030340078011227,64.064136,19.387432358266935,64.042634,19.414488548167512,62.141505,21.80669891229637,65.2595,17.88329342308341,61.70896,22.350974777822657,65.588848,17.468871414369065,63.515479,20.077813159228814
0.08,56.816321,29.788015,47.57137654161029,29.027319,48.910245350099316,28.309244,50.17409874180344,27.633752,51.36300359891307,27.000806,52.477025043560985,26.368199,53.59044982866807,25.778095,54.62906688379208,25.230446,55.59296069169983,51.086924,10.084068977292631,46.542061,18.083289834975417,46.567328,18.03881845852004,45.864968,19.27501254437084,46.366794,18.391769857819558,44.665573,21.386016880607244,48.083474,15.370314103935028,45.720046,19.530083618050522
0.1,40.818208,21.491626,47.347943349203376,20.946732,48.68287211432701,20.43247,49.94275593872225,19.948803,51.12768546821065,19.495691,52.23775869827504,19.042919,53.346998966735626,18.620661,54.38148338114207,18.228869,55.3413295360737,37.007435,9.335963499426525,34.348763,15.849409655612517,34.01968,16.655625842271167,34.463879,15.56738845566175,33.365955,18.257178267110596,33.208099,18.64390764043341,35.468255,13.106780679837781,33.389927,18.198449574268423
0.12,25.650574,13.610229,46.93986575115239,13.270343,48.26492771662731,12.949698,49.51497771550843,12.64826,50.69014829843573,12.365988,51.79059930588687,12.084055,52.889728705486284,11.821248,53.914294471538916,11.577517,54.86449153145656,23.152305,9.739622201047043,22.244609,13.278318839960457,21.733915,15.26928403239631,22.562357,12.03956293531677,21.575344,15.887480724602879,21.7543,15.18981212662141,23.015803,10.27178183225062,21.535232,16.043859291413902
0.14,13.510842,7.290198,46.04186770891111,7.114706,47.340765290571824,6.9493220000000004,48.5648488821052,6.794012,49.71437013326038,6.648734,50.7896399054922,6.503797,51.86238577876938,6.368851,52.86118363311479,6.243849,53.78638133729934,11.992641,11.236908846983775,12.030388,10.957525815193456,11.819579,12.517820873044041,12.45602,7.807226226167101,11.938993,11.633982545277343,12.029295,10.965615614482065,12.65118,6.362756666090834,11.770956,12.877702218707022
0.16,6.415063,3.593268,43.98701930129135,3.513938,45.223640048429765,3.439375,46.38595131489745,3.369543,47.47451427990652,3.304402,48.48995247591489,3.2396,49.50010623434252,3.179447,50.43778993285023,3.123896,51.30373622207608,5.457923,14.920196418959563,5.914252,7.806797844385935,6.030491,5.994828110027919,6.315566,1.550990224102248,5.950562,7.240786255723449,6.117361,4.640671494574568,6.30028,1.7892731528903159,5.889076,8.199249173390811
0.18,3.047876,1.837998,39.695775024968206,1.804325,40.80057718883577,1.772883,41.8321808367532,1.743635,42.79179992886849,1.716542,43.6807140447971,1.689788,44.55850566099146,1.665146,45.36700311954948,1.64257,46.107715668222724,2.456569,19.400625222285946,3.068654,0.6817206474279125,3.18819,4.603664978496502,3.208313,5.2638952503317045,2.96734,2.642364715624912,3.22862,5.9301625131731015,3.075336,0.9009552882072643,3.015653,1.0572280499600415
0.2,1.685962,1.12649,33.184140567818254,1.111325,34.08362703311226,1.097362,34.91181889034273,1.084565,35.6708514189525,1.072894,36.36309715165585,1.061563,37.03517635628798,1.051317,37.642900611045796,1.042107,38.189176268504276,1.411671,16.269109268180426,1.907898,13.163760511802765,1.89034,12.122337276878124,1.78371,5.797758193838292,1.745654,3.540530569490895,1.98674,17.840141118245846,1.626146,3.54788542090509,1.793656,6.387688453239157
0.22,1.384055,0.968198,30.046277062688986,0.957151,30.844438985444945,0.947077,31.57230023373349,0.93794,32.23246186025845,0.9297,32.827813923579626,0.9218,33.39860048914242,0.914756,33.907539801525225,0.90852,34.358099930999856,1.381739,0.1673343906130887,1.607244,16.12573199764459,1.50648,8.845385479623282,1.344581,2.8520542897500465,1.434063,3.6131512114764264,1.626199,17.4952584976753,1.222507,11.672079505510983,1.451354,4.862451275418968
0.24,1.384418,0.968447,30.046633314504724,0.957393,30.8450915836113,0.947313,31.573195378852343,0.93817,32.233617303444476,0.929925,32.82917442564312,0.922019,33.40024472377562,0.91497,33.90941175280876,0.908729,34.36021490619162,1.600232,15.588788935133765,1.640068,18.466243576723226,1.472124,6.335225343790681,1.270622,8.219771774131802,1.417445,2.3856234172049295,1.55962,12.655281858513836,1.227798,11.313057183596282,1.391744,0.5291754368984054
0.26,1.239503,0.891777,28.053663444138493,0.882717,28.78460157014546,0.874521,29.44583433844049,0.86715,30.04050817142032,0.860567,30.571608136486965,0.854324,31.07527775245401,0.848826,31.518842632893996,0.844025,31.906175297679795,1.596759,28.82251999390078,1.58824,28.135228393961132,1.353272,9.178598196212514,1.138667,8.135196122962181,1.343134,8.360689728060363,1.421236,14.661763626227604,1.172726,5.387401240658561,1.247737,0.6642985131944074
0.28,0.955571,0.74099,22.455788214585827,0.735852,22.993477198449934,0.73136,23.4635626238134,0.727476,23.870021170588053,0.724162,24.216829518685685,0.721187,24.528161695991184,0.718739,24.78434360188829,0.716772,24.9901891120597,1.367978,43.15817453648133,1.342046,40.44440444509096,1.095067,14.598182657280315,0.905796,5.208927437103041,1.144437,19.764727058481263,1.177016,23.17410218602282,0.981751,2.7397231602884657,0.992565,3.87140254361006
0.3,0.663253,0.585277,11.756599668603073,0.58419,11.92048886322414,0.583523,12.021053806013688,0.583239,12.063873062014048,0.5833,12.05467596829565,0.5837,11.994367157027558,0.584403,11.888374421223874,0.585361,11.743934818236776,1.061859,60.098635060829,1.015704,53.13975210063128,0.806591,21.61136097386668,0.653732,1.43550048020891,0.879827,32.65330122894281,0.888726,33.99502150762982,0.747204,12.657462536920299,0.718249,8.291858461250841
0.32,0.44778,0.469623,4.878065121264907,0.471544,5.307070436375007,0.473718,5.792576711778096,0.476109,6.326544285140022,0.478676,6.899816874357939,0.481584,7.549242931796865,0.484626,8.228594399035238,0.487757,8.92782169815534,0.77555,73.1988923131895,0.743551,66.05274911787036,0.585769,30.81624905087319,0.446481,0.29009781589173134,0.641744,43.31680736075751,0.627263,40.082853186832814,0.543609,21.400911161731205,0.507404,13.31546741703514
0.34,0.344583,0.41315,19.898544037285664,0.41654,20.882341845070723,0.420102,21.91605505785254,0.423798,22.988655853596967,0.42759,24.089116410269824,0.431721,25.287956747721175,0.435906,26.502468200694768,0.440097,27.718720888726388,0.580614,68.4975753301817,0.577911,67.71314893654069,0.475954,38.1246318013367,0.325158,5.637248500361298,0.493671,43.266208721846425,0.46537,35.053093158977674,0.417439,21.143236897931715,0.393942,14.324270204856319
0.36,0.316451,0.397378,25.573311507942787,0.401178,26.774129328079226,0.405127,28.022031846952622,0.409188,29.30532689105107,0.413322,30.61169027748373,0.417795,32.02517925366014,0.422299,33.44846437521133,0.426787,34.866693421730396,0.506769,60.141380498086605,0.49828,57.458816688839676,0.442714,39.89970011154966,0.28447,10.106145975206267,0.427007,34.9362144534225,0.39148,23.709515849215208,0.372293,17.646333871594656,0.340097,7.47224688814382
0.38,0.30789,0.393269,27.73035824482769,0.397176,28.999317938224685,0.401226,30.314722790607046,0.405382,31.66455552307643,0.409605,33.0361492740914,0.414167,34.5178472831206,0.418754,36.0076650751892,0.423319,37.49033745818312,0.521083,69.24323622072818,0.476492,54.76046640033779,0.439924,42.88349735295072,0.295771,3.9361460261781778,0.407489,32.348890837636816,0.348692,13.252135502939364,0.375572,21.982526226899225,0.312349,1.4482445029068793
0.4,0.298636,0.389291,30.356353554159572,0.393302,31.699460212432516,0.397449,33.0881072610134,0.401697,34.51057474651415,0.406006,35.953468436491235,0.410655,37.51021310223817,0.415323,39.07332002839576,0.419962,40.626716136031824,0.567356,89.98245355549899,0.485463,62.56010661809024,0.452184,51.41644008090115,0.326748,9.413466561298694,0.408072,36.64528054219852,0.326036,9.175049223804223,0.388325,30.032882840648806,0.312876,4.768346749889489
0.42,0.280019,0.380296,35.81078426821037,0.384541,37.3267528274867,0.388909,38.88664697752652,0.393365,40.477967566486555,0.397869,42.086429849403054,0.402713,43.81631246451133,0.407562,45.547980672740046,0.412371,47.26536413600505,0.605307,116.16640299408255,0.481098,71.80905581406975,0.456197,62.916444955520866,0.342594,22.346697902642315,0.401407,43.3499155414454,0.32406,15.72786132369589,0.380915,36.031840696524156,0.32133,14.752927479920999
0.44,0.24853,0.364406,46.62455236792339,0.369065,48.49917514988129,0.373823,50.413632157083654,0.378647,52.354645314448966,0.383495,54.3053152536917,0.388683,56.392789602864845,0.393854,58.47342373154145,0.398961,60.52830644187824,0.622505,150.47479177564074,0.440003,77.04220818412263,0.431512,73.62571922906692,0.336638,35.45165573572607,0.377611,51.93779423007282,0.319106,28.397376574256626,0.348721,40.31344304510522,0.307031,23.53880819216996
0.46,0.217311,0.348556,60.3950099166632,0.353626,62.72807174970434,0.358775,65.09748701170213,0.363964,67.48530907317163,0.369156,69.8745116446015,0.374688,72.42017201154107,0.38018,74.9474255790089,0.385584,77.4341841876389,0.624952,187.58415358633476,0.380934,75.2943937490509,0.396288,82.35984372627247,0.326516,50.25286340774281,0.346885,59.62606586873191,0.302826,39.351436420613766,0.30786,41.66793213413035,0.278434,28.126970102755962
