q_inverse_angstroms,debye,propo{e=0.380}_PHGDH,propo{e=0.380}_PHGDH_relDiffDebye,propo{e=0.390}_PHGDH,propo{e=0.390}_PHGDH_relDiffDebye,propo{e=0.400}_PHGDH,propo{e=0.400}_PHGDH_relDiffDebye,propo{e=0.410}_PHGDH,propo{e=0.410}_PHGDH_relDiffDebye,propo{e=0.420}_PHGDH,propo{e=0.420}_PHGDH_relDiffDebye,propo{e=0.430}_PHGDH,propo{e=0.430}_PHGDH_relDiffDebye,propo{e=0.440}_PHGDH,propo{e=0.440}_PHGDH_relDiffDebye,propo{e=0.450}_PHGDH,propo{e=0.450}_PHGDH_relDiffDebye,strat{s=0.15}_PHGDH,strat{s=0.15}_PHGDH_relDiffDebye,strat{s=0.20}_PHGDH,strat{s=0.20}_PHGDH_relDiffDebye,strat{s=0.25}_PHGDH,strat{s=0.25}_PHGDH_relDiffDebye,strat{s=0.30}_PHGDH,strat{s=0.30}_PHGDH_relDiffDebye,strat{s=0.35}_PHGDH,strat{s=0.35}_PHGDH_relDiffDebye,strat{s=0.40}_PHGDH,strat{s=0.40}_PHGDH_relDiffDebye,strat{s=0.45}_PHGDH,strat{s=0.45}_PHGDH_relDiffDebye,strat{s=0.50}_PHGDH,strat{s=0.50}_PHGDH_relDiffDebye
0,182.424757,73.645071,59.629892230033235,71.769727,60.65790182195501,69.976197,61.64106333440258,68.264466,62.579384989944096,66.716003,63.428207828173235,65.167794,64.27689143091472,63.70132,65.08077025970768,62.235106,65.88450656398572,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145
0.02,166.187936,67.087695,59.63142896244887,65.380302,60.65881581199732,63.747421,61.64136667537649,62.189035,62.57909178196906,60.779315,63.42736033498846,59.369847,64.27547725245232,58.034812,65.07880572029006,56.700038,65.88197713701673,131.563792,20.834330597860003,131.39619,20.93518148032118,130.917392,21.223287832397173,131.213381,21.045182846485325,130.968321,21.192642406967497,131.055539,21.140160859811143,131.235618,21.0318022121654,131.213394,21.045175024016192
0.04,126.109976,50.911934,59.62894006101468,49.618842,60.654308585388996,48.382249,61.63487573734848,47.202138,62.5706549971907,46.134667,63.41711539141044,45.067448,64.263375960043,44.056649,65.0648977999964,43.046111,65.86621267773455,100.440855,20.35455228379395,99.884676,20.795579249019923,98.462819,21.92305309771846,99.346177,21.222586704798044,98.594757,21.818431715505206,98.868503,21.60136244891522,99.404288,21.176507082992394,99.347432,21.221591541655677
0.06,80.691922,32.604086,59.594361874290215,31.779903,60.61575655615192,30.991832,61.5923983072308,30.239856,62.52430819531105,29.559744,63.367158363138266,28.879885,64.2096949927652,28.236059,65.00757659484181,27.592493,65.80513598374816,65.212387,19.183500177378345,64.305838,20.30696951300777,62.379908,22.69373878589731,63.577241,21.209906240676734,62.504292,22.53959200525674,62.895719,22.05450379531176,63.638258,21.13428900602963,63.594745,21.188213858631354
0.08,44.526582,18.053363,59.45486451216938,17.60186,60.46887227948464,17.170266,61.43816742996352,16.758563,62.36279038889624,16.386317,63.19879886581009,16.014324,64.03423914281137,15.66216,64.82514647093281,15.310257,65.615467632346,37.029786,16.8366752247006,36.020669,19.103000091046738,34.387486,22.77088324453019,35.383871,20.53315253346866,34.397958,22.74736470901808,34.729785,22.002131221300566,35.41513,20.46294952529705,35.448324,20.388400798426428
0.1,21.90858,8.974109,59.0383813099708,8.755149,60.03780710570928,8.545986,60.99251526114426,8.346604,61.90257880702447,8.166458,62.7248411352995,7.986566,63.545944100439186,7.816391,64.32269457901882,7.646477,65.09825374351053,19.061416,12.995657409106384,18.211482,16.875114681097543,17.316905,20.958341435182025,17.824084,18.643362554761655,17.193938,21.519614689769952,17.359579,20.763559299598608,17.833175,18.601867396243847,17.942245,18.104025911309638
0.12,10.178751,4.277736,57.97386142956047,4.179061,58.94328292341565,4.084954,59.86782661251857,3.995398,60.74765951146659,3.914619,61.54126375623099,3.834093,62.33238243081101,3.758055,63.07940925168519,3.682277,63.823881731658425,9.354069,8.101996011101944,8.787364,13.669525858329767,8.593623,15.5729126294572,8.664173,14.879802050369442,8.405559,17.42052634945093,8.467355,16.813418463620934,8.697353,14.55382885385447,8.790236,13.641310215762228
0.14,5.110249,2.256518,55.843286696988734,2.209612,56.76116760650998,2.165022,57.633727828135186,2.122733,58.4612608896357,2.084719,59.205138536302236,2.046958,59.94406534789205,2.011435,60.63919781599682,1.976172,61.32924246939826,4.890147,4.307069968606222,4.605144,9.884156329760046,4.862927,4.839725031011201,4.688427,8.254431437685321,4.704063,7.948458088832852,4.792694,6.214080762013742,4.802386,6.024422684687171,4.766218,6.732176846959891
0.16,3.240571,1.515926,53.220404675595745,1.487988,54.082536688750224,1.461542,54.89862743325173,1.436572,55.66917064924669,1.414228,56.3586787637117,1.392136,57.04041047087072,1.371457,57.678538751349684,1.351039,58.308612895690295,3.097249,4.422739079007989,3.047408,5.960770493841986,3.48628,7.582274852178821,3.226028,0.44877893432978927,3.421419,5.580744874900137,3.586918,10.687838655594947,3.441133,6.1890944527986,3.250349,0.30173694697631503
0.18,2.307007,1.143362,50.439595545223746,1.124966,51.23699234549354,1.107648,51.98766193600627,1.09139,52.692384548464744,1.076929,53.319214029259555,1.06272,53.93512026621505,1.049509,54.50776698987042,1.036559,55.069100353835076,2.156814,6.510296674435762,2.261997,1.9510127190771418,2.647712,14.768269016955726,2.408168,4.384945515986724,2.682767,16.28777025817434,2.88273,24.955407590874234,2.671432,15.796441016433837,2.419529,4.8774017590757115
0.2,1.439919,0.789745,45.15351210727825,0.780407,45.802020808114904,0.771752,46.40309628527716,0.763763,46.95791916073057,0.756784,47.44259920176066,0.750057,47.90977825836036,0.743934,48.33501051100791,0.738072,48.742116744066855,1.340007,6.938723636537889,1.471196,2.172136071542913,1.684597,16.992483604980553,1.530112,6.263755114002939,1.773186,23.14484356411715,1.954828,35.75958092087125,1.741104,20.91680157008832,1.554881,7.98392131779635
0.22,0.758488,0.508762,32.92418601217158,0.50662,33.20658995264264,0.504849,33.44008079231313,0.503432,33.626899832297944,0.502397,33.76335551781967,0.501615,33.866455369102745,0.501124,33.93118941894928,0.500895,33.96138106337873,0.753344,0.6781913491050665,0.799839,5.451767200008426,0.867185,14.330747487105915,0.815621,7.532485682041111,0.954894,25.89441098606701,1.093655,44.18883357416333,0.902629,19.003728470325168,0.828916,9.285314995095497
0.24,0.453397,0.381904,15.768300187253109,0.383011,15.524143300462951,0.384348,15.229258243878979,0.385897,14.887615048180736,0.387546,14.523916126485176,0.389449,14.104195660756469,0.391501,13.651612163291773,0.393814,13.141463220974112,0.533722,17.71626190733508,0.493745,8.899044325392536,0.481795,6.2633850687146095,0.526761,16.180962820662696,0.546733,20.585932416844404,0.635143,40.08539977106157,0.490431,8.16811756584186,0.475958,4.975992342251933
0.26,0.387218,0.353644,8.670568000454521,0.355474,8.197966003646522,0.357503,7.673971767841368,0.359714,7.102975584812697,0.361961,6.5226823133222185,0.364461,5.877051170141891,0.36708,5.20068798454617,0.369959,4.457179160059714,0.508868,31.41641142715472,0.464305,19.90790717373676,0.390556,0.862046702374375,0.519557,34.17687194293655,0.438738,13.30516659866019,0.48452,25.128480597492885,0.410919,6.120841489806769,0.379759,1.926305078792823
