q_inverse_angstroms,debye,propo{e=0.380}_PsGQuadraplex,propo{e=0.380}_PsGQuadraplex_relDiffDebye,propo{e=0.390}_PsGQuadraplex,propo{e=0.390}_PsGQuadraplex_relDiffDebye,propo{e=0.400}_PsGQuadraplex,propo{e=0.400}_PsGQuadraplex_relDiffDebye,propo{e=0.410}_PsGQuadraplex,propo{e=0.410}_PsGQuadraplex_relDiffDebye,propo{e=0.420}_PsGQuadraplex,propo{e=0.420}_PsGQuadraplex_relDiffDebye,propo{e=0.430}_PsGQuadraplex,propo{e=0.430}_PsGQuadraplex_relDiffDebye,propo{e=0.440}_PsGQuadraplex,propo{e=0.440}_PsGQuadraplex_relDiffDebye,propo{e=0.450}_PsGQuadraplex,propo{e=0.450}_PsGQuadraplex_relDiffDebye,strat{s=0.15}_PsGQuadraplex,strat{s=0.15}_PsGQuadraplex_relDiffDebye,strat{s=0.20}_PsGQuadraplex,strat{s=0.20}_PsGQuadraplex_relDiffDebye,strat{s=0.25}_PsGQuadraplex,strat{s=0.25}_PsGQuadraplex_relDiffDebye,strat{s=0.30}_PsGQuadraplex,strat{s=0.30}_PsGQuadraplex_relDiffDebye,strat{s=0.35}_PsGQuadraplex,strat{s=0.35}_PsGQuadraplex_relDiffDebye,strat{s=0.40}_PsGQuadraplex,strat{s=0.40}_PsGQuadraplex_relDiffDebye,strat{s=0.45}_PsGQuadraplex,strat{s=0.45}_PsGQuadraplex_relDiffDebye,strat{s=0.50}_PsGQuadraplex,strat{s=0.50}_PsGQuadraplex_relDiffDebye
0,223.50526,313.119494,40.09491051798959,305.377328,36.63093566567516,297.636142,33.167399281788725,290.86347,30.13719229695087,283.124341,26.674576249346448,277.320795,24.077972482616286,270.550927,21.049020054382616,264.749038,18.453157657229184,683.467955,205.7950202156316,732.63843,227.7947149879157,709.744631,217.55164554069108,712.04338,218.58014437781014,736.421123,229.4871552463687,669.561787,199.57316753977062,658.474909,194.6127124703911,654.702266,192.92476875040882
0.02,219.493926,307.574421,40.1288986010483,299.970021,36.66438359665588,292.366601,33.20031507386679,285.714474,30.169649432577017,278.113111,26.706518065561426,272.41289,24.10953458456979,265.763566,21.080145971784223,260.065002,18.483917409176968,674.737764,207.40612111516924,724.844307,230.2343350494355,701.13153,219.4309486267971,704.077287,220.77301628838697,727.732464,231.5501605269934,661.076263,201.18203043122028,650.753332,196.4789704476834,646.853116,194.70205749565937
0.04,207.869103,291.500378,40.23266266752496,284.295333,36.7665174366967,277.091268,33.3008436564043,270.788577,30.26879564684511,263.586568,26.8041109505341,258.185864,24.205983608829055,251.885976,21.175284044016877,246.486928,18.57795335750307,649.291375,212.35588436632645,701.980452,237.70312271949336,675.986374,225.1981002679364,680.742239,227.48601363811153,702.299087,237.8564090883675,636.300788,206.1064770169331,628.146394,202.1836265873529,623.909909,200.14557237974898
0.06,189.79319,266.491938,40.411749230833834,259.908221,36.94285922482256,253.325483,33.47448504343068,247.566454,30.440114316008902,240.985773,26.972823945896046,236.051064,24.372778601803354,230.294838,21.339884745074357,225.361786,18.74071245654282,609.256052,221.01049147232308,665.544025,250.66802186105838,636.296117,235.257612246256,643.660984,239.1380818247483,661.942262,248.7702914946527,597.186661,214.6512585620169,592.25962,212.05525340503524,587.605681,209.6031427681889
0.08,167.000033,234.928771,40.675882980214745,229.129231,37.20310522333849,223.330672,33.73091489149586,218.257799,30.693266988755624,212.461296,27.22230779439427,208.114721,24.61956878774988,203.04465,21.583598728989465,198.699732,18.981851937717884,557.845978,234.0394417766372,617.844805,269.96687599456936,585.071927,250.34240202814803,595.325854,256.4824768627441,609.454983,264.94303147832306,546.696526,227.3631245330352,545.554168,226.67907796161933,540.577706,223.6991611851957
0.1,141.533853,199.618916,41.039695994144964,194.69664,37.56188775557464,189.775344,34.08477193085388,185.470076,31.042907451971942,180.550837,27.56724498979054,176.862209,24.961064262130993,172.559744,21.921180228167746,168.872774,19.316170951694502,498.929958,252.51633967740568,561.757156,296.90656623330955,525.956977,271.61213791021436,538.816308,280.69783064550643,548.279944,287.3843129247672,488.426046,245.09485585755942,491.06243,246.95757911713181,486.038379,243.40786228719432
0.12,115.460738,163.404314,41.52370479391877,159.38178,38.039807090094975,155.360226,34.55675815964385,151.842231,31.50983930139091,147.822734,28.028571928927033,144.808912,25.41831492537315,141.293722,22.3738254643756,138.281557,19.765003580697694,436.540617,278.0857671289092,500.427106,333.4175535929798,462.780662,300.81214620332673,477.467974,313.53275777606757,482.133382,317.5734456157728,426.173045,269.1064619732467,432.057124,274.2026350117388,427.398694,270.1679907848848
0.14,90.606529,128.802026,42.15534732601888,125.639176,38.6645944686834,122.477307,35.174924314780895,119.711536,32.122416917659436,116.551723,28.63501591590602,114.182664,26.020348930925287,111.419697,22.970936233524636,109.052296,20.358099138749708,374.408881,313.22505688304216,436.976183,382.2789128143293,399.134484,340.51404286770554,414.542232,357.5191617813767,414.631316,357.6174814068863,363.525729,301.21361342514297,371.724209,310.26205628073444,367.905951,306.0479471628364
0.16,68.36467,97.740643,42.96952358579366,95.349504,39.47189974002652,92.959346,35.975710845967654,90.868823,32.917811202774764,88.480721,29.424629710053452,86.690446,26.805915979701194,84.602726,23.752116407495276,82.814109,21.135827906431786,315.596373,361.63665091925407,374.240671,447.418236641821,338.034371,394.4576943032125,352.941357,416.262796265966,348.969742,410.4533408849922,303.531403,343.9886903571684,312.884876,357.6704253819992,310.349219,353.9614087217857
0.18,49.598648,71.425562,44.00707454767719,69.688214,40.50426132583292,67.951847,37.003425980482376,66.433391,33.9419393044746,64.699079,30.445247217222537,63.399148,27.824347147527085,61.883495,24.768511835241974,60.58522,22.15095056623318,262.273452,428.7915348015132,314.575642,534.2423728969386,281.711543,467.9823026627662,295.002568,494.77945447222675,287.696494,480.0490650470956,248.485423,400.99233148451947,257.79889,419.7699945369479,256.868094,417.8933385442281
