q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{s=0.15}_RhccCarborane,strat{s=0.15}_RhccCarborane_relDiffDebye,strat{s=0.20}_RhccCarborane,strat{s=0.20}_RhccCarborane_relDiffDebye,strat{s=0.25}_RhccCarborane,strat{s=0.25}_RhccCarborane_relDiffDebye,strat{s=0.30}_RhccCarborane,strat{s=0.30}_RhccCarborane_relDiffDebye,strat{s=0.35}_RhccCarborane,strat{s=0.35}_RhccCarborane_relDiffDebye,strat{s=0.40}_RhccCarborane,strat{s=0.40}_RhccCarborane_relDiffDebye,strat{s=0.45}_RhccCarborane,strat{s=0.45}_RhccCarborane_relDiffDebye,strat{s=0.50}_RhccCarborane,strat{s=0.50}_RhccCarborane_relDiffDebye
0,58.403088,12.818956,78.05089347330401,12.502544,78.59266619600662,12.186297,79.13415639940136,11.903491,79.61838764416018,11.62084,80.10235349199344,11.354965,80.557594831287,11.105852,80.9841356333761,10.873479,81.38201356750176,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372
0.02,54.572631,11.990852,78.02771869291037,11.695279,78.56933267520124,11.399872,79.11064247571278,11.135713,79.59469280489702,10.871707,80.07846277376657,10.623382,80.53349855901212,10.39072,80.95983314420006,10.173703,81.35749951289685,3.733933,93.15786515771981,3.751877,93.12498420682704,3.745539,93.13659808705209,3.747292,93.13338585416562,3.735989,93.15409770146503,3.741495,93.14400839497733,3.736542,93.15308437300742,3.745577,93.13652845507853
0.04,44.861835,9.890441,77.95355227890256,9.647726,78.49458008126507,9.405177,79.03523785863864,9.188312,79.51864429977063,8.9716,80.00170969377423,8.767787,80.45602236288373,8.576856,80.8816202012245,8.398786,81.27855001918668,3.063468,93.17132703109446,3.118118,93.04950856334789,3.098753,93.09267443028132,3.103909,93.08118136496199,3.068183,93.16081698396867,3.087146,93.11854720164702,3.071028,93.15447529063401,3.099194,93.09169141208781
0.06,33.283905,7.383642,77.81617872061585,7.204012,78.35586900034717,7.024549,78.89505753606736,6.864127,79.3770382411559,6.70386,79.85855325569521,6.553171,80.3112915987472,6.412044,80.73530134159438,6.280458,81.13064557779504,2.273566,93.1691729080467,2.350438,92.9382144312694,2.322639,93.02173528016019,2.3293180000000002,93.00166852417107,2.275734,93.16265924926778,2.308597,93.06392383946536,2.282869,93.14122246172738,2.324326,93.01666676431147
0.08,23.356617,5.230968,77.60391412848873,5.105512,78.14104671066019,4.980221,78.67747285490874,4.868271,79.15678028200746,4.756474,79.63543264848671,4.651405,80.08527947347855,4.553046,80.50639782293814,4.461378,80.8988690442627,1.608556,93.11306085123543,1.676906,92.82042429346681,1.650195,92.93478588958324,1.654989,92.91426065684084,1.602657,93.13831707734043,1.642327,92.96847227490179,1.613786,93.09066890979973,1.653811,92.91930419546631
0.1,16.373585,3.714015,77.3170322809574,3.626734,77.85009208429308,3.539618,78.3821441669616,3.461824,78.85726308563457,3.384184,79.3314414650182,3.311263,79.77679903332104,3.243042,80.1934518311048,3.179502,80.58151589893112,1.150194,92.9753074845857,1.191235,92.7246537639741,1.170902,92.84883548715813,1.171988,92.84220285294882,1.136515,93.05885058159224,1.173134,92.83520377486056,1.147867,92.98951939969163,1.175961,92.8179381607632
0.12,11.746647,2.707508,76.95080136484904,2.645556,77.47820292888686,2.58377,78.00419132370284,2.528639,78.47352525363195,2.473662,78.94154817115044,2.42207,79.38075435483844,2.373846,79.79128852684515,2.328971,80.17331243545499,0.848577,92.77600663406331,0.865296,92.63367665683661,0.850521,92.75945723064632,0.848502,92.77664511413342,0.832417,92.91357780650087,0.859667,92.68159671436453,0.839544,92.85290517370616,0.855232,92.71935216917643
0.14,8.426939,1.984982,76.44480397923849,1.941213,76.96419779471526,1.897609,77.4816336038507,1.858747,77.94279749740683,1.820039,78.40213391837773,1.783759,78.83265797936832,1.74989,79.23457141436529,1.718412,79.60811155747064,0.628188,92.54547825728892,0.63309,92.48730766889378,0.621511,92.62471224723473,0.617801,92.6687377231519,0.613803,92.71618081013759,0.631853,92.5019867831012,0.615798,92.69250673346514,0.624132,92.59360961317033
0.16,5.84518,1.422493,75.66382900098884,1.392879,76.17046865964778,1.363431,76.67426837154714,1.337235,77.12243249994013,1.311192,77.56797908704266,1.286832,77.98473271995047,1.264138,78.37298423658467,1.243091,78.7330586910925,0.452974,92.25046961770211,0.453523,92.24107726365997,0.44444,92.39647025412391,0.439753,92.47665597979875,0.43993,92.47362784379608,0.453063,92.24894699564426,0.440118,92.47041151855032,0.444918,92.38829257610544
0.18,3.884908,0.994106,74.41108000498339,0.975273,74.89585338957833,0.956606,75.37635382871358,0.940055,75.80238708355513,0.923658,76.22445628056057,0.908377,76.61779892857179,0.894193,76.98290409965949,0.88109,77.32018364398849,0.318742,91.7953784233758,0.315441,91.88034826049936,0.308623,92.05584791197114,0.303189,92.19572252418847,0.304175,92.1703422577832,0.31611,91.863127775484,0.306387,92.11340397250076,0.308586,92.05680031547723
0.2,2.492155,0.687971,72.39453404784211,0.676842,72.84109535723098,0.665878,73.28103589062478,0.65622,73.668571978869693,0.646716,74.04992867618587,0.637923,74.40275584785056,0.629822,74.72781588625107,0.622395,75.02583105785956,0.22236,91.07760151354951,0.215039,91.37136333815513,0.209232,91.60437452726656,0.203617,91.82968154067464,0.205203,91.7660418392917,0.216694,91.3049549486288,0.210105,91.56934460336537,0.210162,91.56705742620342
0.22,1.528376,0.474193,68.97406135662952,0.468444,69.35021225143551,0.46286,69.71556737347355,0.458016,70.03250509037044,0.453326,70.3393667526839,0.449062,70.61835569257826,0.445209,70.87045334394155,0.441746,71.09703371421692,0.15296,89.99199149947395,0.143946,90.58176783723377,0.138172,90.95955445518642,0.133102,91.29127910932911,0.135128,91.15872010552377,0.145078,90.50770229315299,0.140657,90.79696357440838,0.139882,90.84767099195486
