q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{s=0.15}_TetToxHcGT1b,strat{s=0.15}_TetToxHcGT1b_relDiffDebye,strat{s=0.20}_TetToxHcGT1b,strat{s=0.20}_TetToxHcGT1b_relDiffDebye,strat{s=0.25}_TetToxHcGT1b,strat{s=0.25}_TetToxHcGT1b_relDiffDebye,strat{s=0.30}_TetToxHcGT1b,strat{s=0.30}_TetToxHcGT1b_relDiffDebye,strat{s=0.35}_TetToxHcGT1b,strat{s=0.35}_TetToxHcGT1b_relDiffDebye,strat{s=0.40}_TetToxHcGT1b,strat{s=0.40}_TetToxHcGT1b_relDiffDebye,strat{s=0.45}_TetToxHcGT1b,strat{s=0.45}_TetToxHcGT1b_relDiffDebye,strat{s=0.50}_TetToxHcGT1b,strat{s=0.50}_TetToxHcGT1b_relDiffDebye
0,175.138217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.934964,17.816358721980134,144.059502,17.74525031278581,143.835372,17.873223523795488,143.934964,17.816358721980134,144.43344,17.531740088458253,143.686049,17.95848361297409,144.267186,17.626667399497386,144.283807,17.61717718069495
0.02,161.059383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.633482,17.64932937809653,132.431344,17.774834639717948,132.639135,17.645819492553244,132.785693,17.554823241810126,133.319469,17.223407592465446,132.616229,17.6600415760937,132.862999,17.506824796416858,133.061893,17.383333698726513
0.04,125.470537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.026362,17.09100440049921,103.097128,17.831603765272796,104.209934,16.94469754281835,104.476816,16.731992627081844,105.060915,16.266465807825465,104.500392,16.713202558461983,103.993917,17.116863060847503,104.568922,16.65858415828729
0.06,83.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.167967,15.974345626916955,68.676516,17.760347866947495,70.366011,15.73718930892555,70.772523,15.250394005158075,71.3239,14.590123867485902,71.000728,14.977120098615956,69.846658,16.359110928453497,70.647846,15.399693848921158
0.08,48.75987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.880936,14.107777563804008,40.43573,17.071702611184154,41.893583,14.081840251009691,42.390515,13.062698895628719,42.808195,12.206092838229473,42.74896,12.327575934882523,41.411722,15.070072992401338,42.095148,13.66845727849561
0.1,26.52572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.429987,11.670684151080533,22.630238,14.685678654528514,23.257465,12.321079314717942,23.739563,10.503605557172433,24.012648,9.474095330871325,24.134492,9.014752474202389,23.046695,13.115666605845194,23.368353,11.903039766686826
0.12,14.549347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.135093,9.72039501154244,13.165148,9.513822166726788,12.966407,10.879800997254371,13.317987,8.4633351586157,13.533366,6.983000680374178,13.693407,5.8830131689071585,13.009873,10.581052194301218,12.975407,10.817942550961213
0.14,8.171848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.424738,9.14248527383281,8.016021,1.9068758988175056,7.424481,9.14563021730214,7.584404,7.188631017121224,7.826817,4.222190623222563,7.927093,2.9950997620122215,7.564908,7.427206183962314,7.344429,10.125237278030633
0.16,4.31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.923915,9.102354726247139,4.647979,7.670616305871196,4.086619,5.333310168294008,4.086102,5.3452864936238065,4.349143,0.7480686148464767,4.389958,1.6935496948006161,4.206772,2.5499611985591275,3.963443,8.186687051901268
0.18,1.979464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.818975,8.10769986218491,2.38997,20.738240250896204,2.022945,2.196604737444081,1.954976,1.237102569180336,2.160992,9.170563344420506,2.193648,10.820302869867811,2.104112,6.297058193531194,1.910145,3.501907587104383
0.2,0.872902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830745,4.829522672648247,1.175284,34.641002082708034,0.97143,11.287406833756833,0.914246,4.736385069572535,1.006721,15.330357817945202,1.054348,20.78652586430093,1.030165,18.01611177428853,0.893702,2.382856265651819
0.22,0.549387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561073,2.127098020157027,0.710763,29.37382937710577,0.606232,10.346986732485487,0.576328,4.9038291768825975,0.570876,3.9114503983530904,0.612477,11.483708205691087,0.63516,15.61249174079474,0.550911,0.277400084093741
0.24,0.505098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571501,13.146557697714103,0.572708,13.385521225583934,0.531378,5.202950714514801,0.507452,0.4660481728298206,0.455194,9.88006287888688,0.474322,6.093075007226325,0.510053,0.9809977469718613,0.473946,6.1675160067947346
0.26,0.482895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60948,26.21377318050508,0.520227,7.730873171186277,0.506536,4.895681255759527,0.48106,0.3799997929156506,0.410237,15.04633512461301,0.42714800000000003,11.544331583470523,0.435888,9.734414313670678,0.43857,9.179014071381978
0.28,0.449552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609269,35.52803680108195,0.505921,12.538927643520648,0.478357,6.407490123500723,0.468922,4.308734028543972,0.380719,15.311465636900746,0.422745,5.963047656333422,0.379914,15.490532797095783,0.409095,8.999403850944946
0.3,0.414082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574691,38.786762042300786,0.514736,24.307745808801144,0.458366,10.694500123164008,0.475585,14.852855231572484,0.381071,7.972092484097355,0.438766,5.961138132060795,0.34777,16.014219405818167,0.39588,4.395747702145951
