q_inverse_angstroms,debye,propo{e=0.380}_VancomycinLacticAcid,propo{e=0.380}_VancomycinLacticAcid_relDiffDebye,propo{e=0.390}_VancomycinLacticAcid,propo{e=0.390}_VancomycinLacticAcid_relDiffDebye,propo{e=0.400}_VancomycinLacticAcid,propo{e=0.400}_VancomycinLacticAcid_relDiffDebye,propo{e=0.410}_VancomycinLacticAcid,propo{e=0.410}_VancomycinLacticAcid_relDiffDebye,propo{e=0.420}_VancomycinLacticAcid,propo{e=0.420}_VancomycinLacticAcid_relDiffDebye,propo{e=0.430}_VancomycinLacticAcid,propo{e=0.430}_VancomycinLacticAcid_relDiffDebye,propo{e=0.440}_VancomycinLacticAcid,propo{e=0.440}_VancomycinLacticAcid_relDiffDebye,propo{e=0.450}_VancomycinLacticAcid,propo{e=0.450}_VancomycinLacticAcid_relDiffDebye,strat{s=0.15}_VancomycinLacticAcid,strat{s=0.15}_VancomycinLacticAcid_relDiffDebye,strat{s=0.20}_VancomycinLacticAcid,strat{s=0.20}_VancomycinLacticAcid_relDiffDebye,strat{s=0.25}_VancomycinLacticAcid,strat{s=0.25}_VancomycinLacticAcid_relDiffDebye,strat{s=0.30}_VancomycinLacticAcid,strat{s=0.30}_VancomycinLacticAcid_relDiffDebye,strat{s=0.35}_VancomycinLacticAcid,strat{s=0.35}_VancomycinLacticAcid_relDiffDebye,strat{s=0.40}_VancomycinLacticAcid,strat{s=0.40}_VancomycinLacticAcid_relDiffDebye,strat{s=0.45}_VancomycinLacticAcid,strat{s=0.45}_VancomycinLacticAcid_relDiffDebye,strat{s=0.50}_VancomycinLacticAcid,strat{s=0.50}_VancomycinLacticAcid_relDiffDebye
0,186.902089,220.512243,17.982759946572894,214.646645,14.844433333219737,209.515048,12.09882624693404,204.384258,9.353650937523764,199.987128,7.001012706711922,194.858009,4.256731448303941,190.462416,1.9049155732015395,186.800024,0.05460880643232504,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784,144.19351700000001,22.850772952034784
0.02,182.47257,215.338085,18.01120847917033,209.610926,14.872567422051445,204.600464,12.126696083690824,199.590808,9.381266455555496,195.297507,7.02841912074785,190.289522,4.2839052466899625,185.997759,1.9319007782923274,182.421891,0.027773489462006463,141.152461,22.644559124694744,141.366472,22.52727519538964,140.901162,22.782277906208037,140.719203,22.881996455686462,141.110905,22.667332958592073,140.940796,22.76055738130941,141.046222,22.702781026211223,141.123442,22.660462336887115
0.04,169.92571,200.675473,18.096003836029286,195.340625,14.95648598437516,190.673434,12.209879246642533,186.007051,9.463748010821895,182.007983,7.110326624499604,177.343269,4.365177582603588,173.345739,2.012661297692974,170.015065,0.052584744239105086,132.505642,22.02142806994893,133.299017,21.554532860271713,131.55436,22.581250359348214,130.90565900000001,22.963006010096993,132.347605,22.1144316536915,131.717685,22.48513482744902,132.107578,22.25568573466606,132.38177,22.094325808613668
0.06,151.267821,178.852308,18.235528757963664,174.101357,15.094774188622715,169.945076,12.347143547470022,165.789603,9.600047058257024,162.228458,7.245848408168709,158.074654,4.499855260029172,154.515047,2.1466733496478487,151.54931,0.18608650414815817,119.550583,20.967604207110245,121.122992,19.928117428226855,117.600717,22.256619932404522,116.397004,23.05236947916372,119.222526,21.18447584433704,117.978423,22.006926377289453,118.747938,21.498216068042648,119.249757,21.166473998458667
0.08,129.20243,153.010921,18.42727803184507,148.951379,15.285276755243698,145.400081,12.536645789092363,141.849589,9.78863865021735,138.807001,7.433738668847035,135.25818,4.687024849300449,132.217129,2.333314474038923,129.683521,0.37235445184739996,104.060526,19.45931202687132,106.400778,17.648005536737962,101.026637,21.80747916273711,99.394147,23.070992550217507,103.536125,19.86518752007992,101.700442,21.28596807351069,102.838391,20.405219158803742,103.492905,19.89863890330855
0.1,106.436786,126.306984,18.66854378710759,122.961928,15.525780720210777,120.035806,12.776616535565061,117.11049,10.028209607907552,114.603767,7.673081184544605,111.680121,4.926243263301846,109.174936,2.5725598290801495,107.087882,0.6117208386957452,87.850545,17.46223434443051,90.76143,14.727385699151037,83.874922,21.19743074541916,82.070393,22.89283049189404,87.129641,18.13954153031264,84.888283,20.24535295532129,86.28978,18.928611767739778,86.943457,18.31446601553715
0.12,85.11132,101.246694,18.957964698467837,98.572147,15.815554264697099,96.23272,13.06688698988571,93.894101,10.319169060002828,91.890259,7.964791287457407,89.55331,5.2190354937509955,87.551006,2.866464766378896,85.883021,0.9066960775605325,72.402267,14.932271053956173,75.580246,11.198362333001066,67.816106,20.320697646329535,66.093286,22.344893722715145,71.507011,15.984135835280194,69.146903,18.757101875520213,70.65274,16.98784603505152,71.130455,16.42656347005311
0.14,66.516454,79.352843,19.298065708674127,77.264085,16.157853213281633,75.437223,13.411371868981481,73.611169,10.666105261714655,72.046669,8.314055647043359,70.222284,5.571298193376343,68.659322,3.221560788553171,67.357455,1.264350321500911,58.655014,11.818789979393662,61.790121,7.10550956309246,53.8952,18.974634456611284,52.396819,21.2272815986252,57.626959,13.364354930886721,55.448276,16.63975953979747,56.893804,14.466570932960426,57.06087,14.215406010669174
0.16,51.119261,61.188722,19.697978419523704,59.585961,16.562641623477294,58.184346,13.820788606470652,56.783539,11.08051620699289,55.583536,8.733058562798865,54.184399,5.996053033708757,52.985934,3.651604040207073,51.987814,1.699071901684961,46.993762,8.07034162719998,49.851443,2.4801180126606255,42.497794,16.865398347601314,41.226559,19.352200729192855,45.892041,10.225539058555643,44.125807,13.680663341357771,45.381657,11.223957247738783,45.186474,11.605776147663803
0.18,38.799306,46.626911,20.17460054569017,45.413763,17.04787451610604,44.35306,14.314054998818786,43.293165,11.582317993007402,42.385372,9.24260346306193,41.327147,6.515170657949384,40.420892,4.179420116431981,39.666281,2.2345116172954134,37.386889,3.6403151128528046,39.846259,2.698380739078173,33.496353,13.6676491069196,32.368656,16.574136661104195,36.284062,6.482703582378516,35.042132,9.683611351192722,36.0357,7.12282327936485,35.519689,8.45277232536067
