q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{s=0.15}_RhccCarborane,strat{s=0.15}_RhccCarborane_relDiffDebye,strat{s=0.20}_RhccCarborane,strat{s=0.20}_RhccCarborane_relDiffDebye,strat{s=0.25}_RhccCarborane,strat{s=0.25}_RhccCarborane_relDiffDebye,strat{s=0.30}_RhccCarborane,strat{s=0.30}_RhccCarborane_relDiffDebye,strat{s=0.35}_RhccCarborane,strat{s=0.35}_RhccCarborane_relDiffDebye,strat{s=0.40}_RhccCarborane,strat{s=0.40}_RhccCarborane_relDiffDebye,strat{s=0.45}_RhccCarborane,strat{s=0.45}_RhccCarborane_relDiffDebye,strat{s=0.50}_RhccCarborane,strat{s=0.50}_RhccCarborane_relDiffDebye
0,58.403088,12.818956,78.05089347330401,12.502544,78.59266619600662,12.186297,79.13415639940136,11.903491,79.61838764416018,11.62084,80.10235349199344,11.354965,80.557594831287,11.105852,80.9841356333761,10.873479,81.38201356750176,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372
0.02,54.572631,11.990852,78.02771869291037,11.695279,78.56933267520124,11.399872,79.11064247571278,11.135713,79.59469280489702,10.871707,80.07846277376657,10.623382,80.53349855901212,10.39072,80.95983314420006,10.173703,81.35749951289685,3.72308,93.17775241585842,3.733929,93.15787248740124,3.736633,93.1529176227549,3.751874,93.12498970408811,3.756658,93.11622340509842,3.747547,93.13291858697448,3.738219,93.1500114040681,3.743653,93.1400540318461
0.04,44.861835,9.890441,77.95355227890256,9.647726,78.49458008126507,9.405177,79.03523785863864,9.188312,79.51864429977063,8.9716,80.00170969377423,8.767787,80.45602236288373,8.576856,80.8816202012245,8.398786,81.27855001918668,3.027675,93.25111199753643,3.061001,93.17682613740611,3.071594,93.15321363916567,3.118098,93.04955314467185,3.132938,93.0164738022865,3.104904,93.07896344409453,3.076137,93.143086991426,3.092053,93.1076091738111
0.06,33.283905,7.383642,77.81617872061585,7.204012,78.35586900034717,7.024549,78.89505753606736,6.864127,79.3770382411559,6.70386,79.85855325569521,6.553171,80.3112915987472,6.412044,80.73530134159438,6.280458,81.13064557779504,2.214815,93.34568765293615,2.263071,93.20070466491237,2.284348,93.13677887255116,2.349756,92.94026346968603,2.371842,92.87390707310334,2.331312,92.99567764058935,2.290401,93.1185929054899,2.310742,93.05747928315502
0.08,23.356617,5.230968,77.60391412848873,5.105512,78.14104671066019,4.980221,78.67747285490874,4.868271,79.15678028200746,4.756474,79.63543264848671,4.651405,80.08527947347855,4.553046,80.50639782293814,4.461378,80.8988690442627,1.540373,93.40498240819723,1.586991,93.20539014704056,1.615871,93.08174210331916,1.673299,92.83586745460612,1.696382,92.7370389299101,1.657598,92.90309037477473,1.622076,93.05517575597527,1.63598,92.99564658700359
0.1,16.373585,3.714015,77.3170322809574,3.626734,77.85009208429308,3.539618,78.3821441669616,3.461824,78.85726308563457,3.384184,79.3314414650182,3.311263,79.77679903332104,3.243042,80.1934518311048,3.179502,80.58151589893112,1.086727,93.36292571235927,1.121305,93.15174410491043,1.149321,92.98063924302467,1.181416,92.7846223047671,1.202558,92.65549969661501,1.174002,92.82990255341149,1.156812,92.9348887247356,1.158618,92.92385876397869
0.12,11.746647,2.707508,76.95080136484904,2.645556,77.47820292888686,2.58377,78.00419132370284,2.528639,78.47352525363195,2.473662,78.94154817115044,2.42207,79.38075435483844,2.373846,79.79128852684515,2.328971,80.17331243545499,0.797153,93.21378262239429,0.819519,93.02337935242286,0.839292,92.8550504667417,0.847621,92.78414512669019,0.868334,92.60781395746378,0.848526,92.776440800511,0.850056,92.76341580708095,0.842265,92.82974111676295
0.14,8.426939,1.984982,76.44480397923849,1.941213,76.96419779471526,1.897609,77.4816336038507,1.858747,77.94279749740683,1.820039,78.40213391837773,1.783759,78.83265797936832,1.74989,79.23457141436529,1.718412,79.60811155747064,0.588413,93.0174764526004,0.602531,92.84994231001316,0.614117,92.71245466473651,0.609655,92.76540390288811,0.631668,92.5041821235445,0.615512,92.69590061112345,0.627737,92.55083014128856,0.615798,92.69250673346514
0.16,5.84518,1.422493,75.66382900098884,1.392879,76.17046865964778,1.363431,76.67426837154714,1.337235,77.12243249994013,1.311192,77.56797908704266,1.286832,77.98473271995047,1.264138,78.37298423658467,1.243091,78.7330586910925,0.419663,92.8203579701566,0.428575,92.66789046701727,0.438533,92.49752787767017,0.42907,92.65942195107763,0.450994,92.28434368146063,0.436544,92.53155591444575,0.451836,92.26993865030676,0.438642,92.49566309335214
0.18,3.884908,0.994106,74.41108000498339,0.975273,74.89585338957833,0.956606,75.37635382871358,0.940055,75.80238708355513,0.923658,76.22445628056057,0.908377,76.61779892857179,0.894193,76.98290409965949,0.88109,77.32018364398849,0.286148,92.63436869032677,0.2921,92.48116042902431,0.306475,92.11113879659442,0.294005,92.43212451877882,0.312565,91.95437832762063,0.301212,92.24661176017554,0.31631,91.8579796484241,0.302252,92.21984149946407
