q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{a=0.15}_Plastocyanin,strat{a=0.15}_Plastocyanin_relDiffDebye,strat{a=0.20}_Plastocyanin,strat{a=0.20}_Plastocyanin_relDiffDebye,strat{a=0.25}_Plastocyanin,strat{a=0.25}_Plastocyanin_relDiffDebye,strat{a=0.30}_Plastocyanin,strat{a=0.30}_Plastocyanin_relDiffDebye,strat{a=0.35}_Plastocyanin,strat{a=0.35}_Plastocyanin_relDiffDebye,strat{a=0.40}_Plastocyanin,strat{a=0.40}_Plastocyanin_relDiffDebye,strat{a=0.45}_Plastocyanin,strat{a=0.45}_Plastocyanin_relDiffDebye,strat{a=0.50}_Plastocyanin,strat{a=0.50}_Plastocyanin_relDiffDebye
0,191.785812,175.483307,8.500370715639798,171.028257,10.823300630809957,166.978767,12.93476547681222,162.929847,15.045933116262008,158.881541,17.156780606899112,155.23863,19.05624906184405,152.000969,20.74441408627245,148.359179,22.643298034997493,1064.627084,455.1125356447119,39.449872,79.43024481915273,2103.480456,996.7862711345924,204.29752,6.523792281360208,702.222009,266.14909188381466,2530.677381,1219.533157645676,4668.24672,2334.0938838583115,1302.792448,579.2955299529664
0.02,187.232491,171.367867,8.47322166962999,167.017852,10.796544388228005,163.063848,12.908359479124806,159.110414,15.01987013568068,155.157594,17.13105285770087,151.60062,19.030816077750103,148.439347,20.719237239651964,144.883495,22.618401204735346,1058.68796,465.4403006367095,38.457051,79.46026846376786,2088.812342,1015.6249275132488,200.772928,7.231884235306145,691.936898,269.5602693231273,2506.891408,1238.9190063171245,4633.018392,2374.473510049065,1285.235478,586.4382731520674
0.04,174.158755,159.546935,8.38994284266675,155.498613,10.714443841769542,151.818877,12.827306901682908,148.139711,14.939842674001664,144.461158,17.052026468609057,141.151025,18.95266763936157,138.209166,20.641850017818513,134.900155,22.541846948779575,1041.528139,498.03375316962956,35.61354,79.55110554160771,2046.171885,1074.888902369565,190.579763,9.428758261392026,662.158933,280.2042182720013,2437.891322,1299.8098011208222,4531.119612,2501.717962441796,1234.522242,608.8487983277097
0.06,154.209853,141.495721,8.244694974192088,137.908104,10.571146189990856,134.647189,12.685741941534703,131.386844,14.799968066891298,128.127113,16.913796033512853,125.19392,18.81587488446669,122.587118,20.50629994440109,119.655047,22.407651215386355,1015.015536,558.2040746773814,31.297023,79.70491353752863,1979.446286,1183.6055851761948,174.795495,13.349109411316265,615.943716,299.4191707062972,2330.385077,1411.17780846338,4373.298085,2735.9394681479916,1156.198069,649.756287621907
0.08,129.777666,119.361115,8.026458882378122,116.338418,10.355593850794023,113.591067,12.472561341949248,110.844286,14.589089620397406,108.098119,16.70514478199971,105.627133,18.60915960686179,103.431183,20.30124582453194,100.961319,22.204396093854857,981.934668,656.6283924384954,26.053297,79.92466823991118,1894.472093,1359.7828358232302,155.015862,19.447256818442078,557.833312,329.83768254855187,2194.406421,1590.8968150190035,4175.552985,3117.466543896698,1058.482691,715.6123650736637
0.1,103.565009,95.573251,7.716658432386178,93.157669,10.049089070228348,90.96224,12.168945015009855,88.767382,14.288249615273054,86.573138,16.40696135120309,84.598882,18.313257714292284,82.84447,20.007277747641584,80.871336,21.912490733235977,945.560701,813.0117499434581,20.49276,80.21266043630624,1798.200926,1636.3016170838164,133.101655,28.51990868846445,493.152608,376.1768600821537,2041.831825,1871.546031536578,3956.665017,3720.4650926067125,950.963128,818.2282096842187
0.12,78.128405,72.437007,7.284671944857964,70.611909,9.62069557160421,68.953284,11.743643045061528,67.29523,13.86585967037212,65.637789,15.98729168987899,64.146657,17.895857466948158,62.821688,19.591743873435018,61.331678,21.498873553095066,909.181743,1063.701912255856,15.182913,80.56671834014787,1697.759228,2073.037102190938,110.904781,41.9519328469588,427.236586,446.83899664917004,1884.719858,2312.336278975617,3735.44368,4681.159528343117,843.158093,979.1953233910252
0.14,55.499095,51.792049,6.679471079663549,50.493853,9.018601114126268,49.314229,11.144084421556784,48.135176,13.268538883381787,46.956737,15.391887020860432,45.896706,17.30188393162086,44.954938,18.99879088118464,43.896029,20.90676613735773,875.655981,1477.7842521576254,10.561045,80.97077979379664,1599.567559,2782.150707142162,90.027735,62.21478025902947,364.735578,557.1919379946646,1733.772043,3023.964531313529,3528.19886,6257.218725818862,743.228451,1239.1721991142379
0.16,36.954091,34.805605,5.8139327523981,33.940937,8.1537765331584,33.155431,10.279403165403252,32.370495,12.403487343255176,31.586173,14.52591000005926,30.880847,16.4345647143641,30.254373,18.129841158858426,29.550169,20.035459673463482,847.078163,2192.2446204941157,6.884153,81.3710666026124,1508.661459,3982.528938406305,71.657584,93.90974601431815,309.115986,736.4865097074097,1597.168068,4222.033162715327,3346.864615,8956.817592942552,657.054765,1678.029839781474
0.18,22.965168,21.923416,4.536226340691255,21.387528,6.869708072677713,20.900913,8.98863443977418,20.414868,11.105078787144079,19.929436,13.218853874702766,19.493112,15.118792076765992,19.10575,16.805529138737406,18.670548,18.700581680917807,824.603494,3490.670418783786,4.222106,81.61517477250764,1428.305292,6119.441947909983,56.494075,145.9989624286659,262.420745,1042.6902907916894,1479.933409,6344.252482716434,3198.039646,13825.609627589052,587.805205,2459.551077527498
0.2,13.307628,12.963545,2.585607292298819,12.656332,4.894155442277155,12.377602,6.988668453912296,12.099442,9.07889820785492,11.821896,11.164514066669122,11.572669,13.03732716303762,11.351616,14.698427097601463,11.103511,16.56280893935418,808.442805,5975.03309380154,2.488694,81.2987408424702,1359.926292,10119.148686753193,44.768047,236.40891524770606,225.292763,1592.9595792728805,1383.879545,10299.145099337013,3083.005148,23067.20266000823,536.003255,3927.789588046795
0.22,7.275654,7.306439,0.4231234745357577,7.143606,1.814929626944879,6.996132,3.8418814308651843,6.849228,5.860998887522691,6.702937,7.871690984755459,6.57184,9.673549621793455,6.455791,11.268581491093457,6.325816,13.055018834045718,798.009027,10868.21023924447,1.496731,79.42822734561045,1303.333532,17813.627173584668,36.327624,399.30389762899665,197.211454,2610.5666926986905,1308.044732,17878.380115382068,2998.58579,41113.96908099258,500.004064,6772.290298576596
0.24,3.93541,4.120354,4.699484932954883,4.038836,2.628087035404184,3.965285,0.7591331017606829,3.892304,1.0953369534559263,3.819936,2.934230486785363,3.75537,4.574872757857503,3.698459,6.020999082687697,3.635015,7.633130982540573,792.168619,20029.252581052548,1.019862,74.08498733295896,1257.139272,31844.30242338155,30.75989,681.6184336574842,176.859094,4394.044940679624,1249.480508,31649.69083272137,2938.575704,74570.12849995299,476.722805,12013.675703420991
0.26,2.3521,2.565233,9.061391947621274,2.523405,7.28306619616512,2.485936,5.69006419795077,2.449036,4.1212533480719324,2.41275,2.5785468304918955,2.380658,1.214149058288332,2.352612,0.021767781982061474,2.321641,1.294970451936568,789.537641,33467.35007015008,0.845516,64.0527188469878,1219.276122,51737.76718676927,27.515928,1069.845159644573,162.524686,6809.769397559628,1204.189598,51096.36061391947,2895.383689,122997.81425109475,462.437522,19560.623357850433
0.28,1.748013,1.936227,10.76731122709041,1.910453,9.292837067001212,1.887577,7.984151147617324,1.865272,6.708130889186751,1.84358,5.467179019835662,1.824622,4.382633309935334,1.808252,3.4461414188567208,1.790416,2.4257828746124868,788.761897,45023.34273257693,0.809064,53.71521836508081,1187.504452,67834.53206583703,26.015246,1388.2753160302584,152.465749,8622.231985688893,1168.026174,66720.22238965043,2861.564577,163603.84985695186,453.509405,25844.28102079332
0.3,1.576208,1.732363,9.90700465928355,1.711792,8.601910407763437,1.693646,7.450666409509401,1.676071,6.33564859460173,1.659109,5.259521585983569,1.644408,4.326840112472468,1.631822,3.528341437170732,1.618243,2.6668434622841684,788.73261,49939.88115781674,0.806406,48.83885883081421,1159.826101,73483.31520966777,25.717653,1531.6154340036337,145.175294,9110.414742216763,1137.410852,72061.21552485459,2830.982139,179507.14188736514,446.912283,28253.63625866637
0.32,1.519609,1.65831,9.12741369654957,1.639629,7.898084309845495,1.623202,6.817082552156512,1.607344,5.773524636929639,1.592101,4.770437658634557,1.578946,3.904754446703065,1.567735,3.1669988793169894,1.555702,2.375150449885459,788.709064,51802.10534420368,0.788546,48.10862531085299,1134.75427,74574.09511262436,26.162156,1621.637342237378,139.532638,9082.14080069281,1109.775045,72930.30220273769,2799.46559,184122.75664332072,440.523201,28889.246641734815
0.34,1.441259,1.581656,9.741274815976857,1.564932,8.580900448843678,1.550283,7.564497428983966,1.536204,6.587643164760798,1.522739,5.653390542574234,1.511185,4.851730327442877,1.501396,4.1725324872212335,1.490964,3.4487208752902765,788.34251,54598.18471211628,0.745454,48.27758230824578,1111.426173,77014.95109484138,26.98037,1772.0001054633485,134.844151,9255.997152489594,1083.715607,75092.28722942928,2764.945643,191742.38523402106,433.181664,29955.782062765957
