q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.15}_BacteriorhodopsinArEnv,strat{a=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.20}_BacteriorhodopsinArEnv,strat{a=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.25}_BacteriorhodopsinArEnv,strat{a=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.30}_BacteriorhodopsinArEnv,strat{a=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.35}_BacteriorhodopsinArEnv,strat{a=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.40}_BacteriorhodopsinArEnv,strat{a=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.45}_BacteriorhodopsinArEnv,strat{a=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.50}_BacteriorhodopsinArEnv,strat{a=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0,186.698145,94.694519,49.27934661589702,92.228323,50.60030028686144,90.070803,51.75591969593485,87.913688,52.91132217730391,85.757009,54.06649112662581,83.754798,55.13892331388725,81.906988,56.12865462589358,80.059574,57.11817383081124,158.432442,15.139787810960842,403.528929,116.1397634668518,842.83486,351.44254646986457,833.664913,346.5309031324333,1121.804715,500.8654852998137,1320.50618,607.2947511074628,2613.766057,1299.9957294701562,1805.974062,867.3229811683452
0.02,178.347031,90.470617,49.272709227214435,88.115211,50.59339619732721,86.054634,51.748771192047485,83.994461,52.90391966211089,81.934724,54.05882366497035,80.022531,55.13099906888834,78.257814,56.12048400177741,76.493493,57.10974689564638,283.530447,58.97682479502561,682.744492,282.81797469339426,455.125313,155.19085484523708,632.106607,254.4250798321392,1428.094406,700.7390972491154,1327.227429,644.182519640599,2286.428383,1182.0109032260818,2623.400008,1370.952442151953
0.04,155.393952,78.861624,49.250519093561635,76.810717,50.570330433452135,75.016575,51.724906899851554,73.222838,52.87922273834699,71.429537,54.0332579996421,69.764748,55.104592487614966,68.228405,56.09326867496105,66.692458,57.08169002613436,295.308869,90.0388433392826,331.208487,113.14116974127795,785.135127,405.25462342318184,769.869303,395.4306735181044,828.46311,433.13729352864385,1503.072012,867.2654518755015,1511.24633,872.525835497124,1972.945097,1169.6408525603363
0.06,123.333022,62.647734,49.204411775461075,61.022109,50.522489427040874,59.600089,51.67548152675607,58.178475,52.8281444364511,56.757295,53.98045545336593,55.438048,55.050117883270545,54.220667,56.03718605062642,53.003682,57.023933136090676,97.913177,20.610737163320294,301.457422,144.42555376612762,414.259401,235.88684869815322,803.901738,551.8138653895953,649.692137,426.7787381387606,1270.001879,929.7338526254549,1264.106273,924.9536194775152,1612.881706,1207.745224956865
0.08,89.027458,45.302381,49.11414745774276,44.131716,50.4290957066302,43.107787,51.57922289548017,42.084262,52.72889629174855,41.061173,53.87807995146846,40.111581,54.944708182053226,39.23542,55.92885511793452,38.359655,56.912557247225905,152.424596,71.2107696032386,195.735707,119.85993018019228,315.579652,254.4745172888122,584.267585,556.2779597728153,554.163192,522.4632315122375,635.781492,614.1409024618,1168.204021,1212.1839567743245,1387.548159,1458.5620326259343
0.1,58.425347,29.836001,48.9331214412813,29.071011,50.24246753724886,28.402048,51.38745517420718,27.733489,52.5317513304628,27.065366,53.67530123526695,26.445386,54.736450260192726,25.873481,55.71531479308116,25.301973,56.69349982636817,128.044635,119.15939155654478,159.691059,173.3249645911388,148.013325,153.33751975833366,419.622859,618.2205678641499,417.114072,613.9265634143346,629.129209,976.8086820263129,685.016224,1072.4641087711468,901.558355,1443.094566473007
0.12,35.002495,18.006829,48.55558439476958,17.552113,49.854680359214406,17.154639,50.99023941007634,16.75757,52.12464140056302,16.360936,53.257800622498486,15.993053,54.308819985546755,15.653853,55.277893761573296,15.31505,56.24583333273815,109.772057,213.6120925094054,93.202552,166.27402418027626,191.643497,447.51381865778416,223.874674,539.5963316329306,354.585457,913.0290912119265,226.465227,546.9973840436231,365.868078,945.2628534051643,529.071081,1411.52390993842
0.14,19.43963,10.156343,47.7544428571943,9.907541,49.03431289587302,9.690242,50.15212738102526,9.473348,51.26785849319149,9.256889,52.381351908446824,9.0563110000000009,53.41315138199647,8.871547,54.36360157060602,8.68718,55.31200953927622,21.021174,8.135669248848858,46.999972,141.7740049579133,41.413823,113.03812366799161,59.809716,207.66900398824464,250.060741,1186.345167063365,175.427467,802.4218413622069,208.329552,971.6744711704903,415.869827,2039.2887981921465
0.16,10.378534,5.591959,46.11995297216351,5.462879,47.36367390616054,5.350337,48.448046708716284,5.238199,49.52852686130816,5.126496,50.60481567049836,5.023192,51.600177828583504,4.92822,52.51525889880016,4.833643,53.42653403650265,10.597872,2.1133813311205656,18.886206,81.97373540424881,69.327361,567.9879932946213,46.527004,348.30034762134994,90.689857,773.8214568647171,136.987272,1219.9096519797497,125.697054,1111.125328490517,179.883285,1633.2244130047657
0.18,5.644664,3.207644,43.1738718194741,3.141103,44.35270195001863,3.083283,45.377032184732336,3.025867,46.39420521752933,2.968886,47.40367185717343,2.916395,48.33359434680256,2.868327,49.185159648120774,2.820655,50.02970947429289,7.431544,31.656091487464977,17.317204,206.7889249032361,16.044083,184.23450890965347,56.61196,902.9287837150273,61.795807,994.7650205574682,60.782105,976.8064317025779,138.191601,2348.181167204992,123.207108,2082.7181919065515
0.2,3.279961,2.009371,38.73796060379987,1.974261,39.80840016085557,1.943941,40.73280139611416,1.914027,41.644824435412495,1.884548,42.54358512189627,1.857594,43.36536318572081,1.833098,44.112201334101236,1.808999,44.846935680027904,11.041785,236.64378936212964,18.656767,468.81063524840687,18.23769,456.0337455231937,18.067279,450.8382264301313,38.139593,1062.8062955626606,34.837231,962.123330124962,19.38158,490.90885531870646,38.288783,1067.3548252555443
0.22,2.027486,1.362311,32.807871423033255,1.344173,33.70247686050607,1.328704,34.46544143831326,1.31364,35.208430539101144,1.299011,35.929964497905296,1.285847,36.579241484281525,1.274081,37.159566083316975,1.26271,37.72040842698791,7.135781,251.95217130969093,7.42551,266.24223299199105,39.404997,1843.539782765454,23.195031,1044.029157291345,44.397539,2089.7827654543603,45.08511,2123.6952560954796,53.968208,2561.8288856248573,87.301344,4205.891335377901
0.24,1.297135,0.973148,24.97712265878262,0.965217,25.588547067190383,0.95868,26.092503864285522,0.952548,26.565238005296287,0.946851,27.004436700883094,0.94198,27.379956596653386,0.937869,27.69688582915425,0.934155,27.98320914939463,6.358052,390.16116287048,6.692562,415.9495349366103,19.642436,1414.2938861413809,18.508187,1326.8512529536247,13.123538,911.7326261337486,40.577583,3028.2467129481515,62.323607,4704.712462465357,37.371981,2781.117308529953
