q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{a=0.15}_VATPaseLiRotor,strat{a=0.15}_VATPaseLiRotor_relDiffDebye,strat{a=0.20}_VATPaseLiRotor,strat{a=0.20}_VATPaseLiRotor_relDiffDebye,strat{a=0.25}_VATPaseLiRotor,strat{a=0.25}_VATPaseLiRotor_relDiffDebye,strat{a=0.30}_VATPaseLiRotor,strat{a=0.30}_VATPaseLiRotor_relDiffDebye,strat{a=0.35}_VATPaseLiRotor,strat{a=0.35}_VATPaseLiRotor_relDiffDebye,strat{a=0.40}_VATPaseLiRotor,strat{a=0.40}_VATPaseLiRotor_relDiffDebye,strat{a=0.45}_VATPaseLiRotor,strat{a=0.45}_VATPaseLiRotor_relDiffDebye,strat{a=0.50}_VATPaseLiRotor,strat{a=0.50}_VATPaseLiRotor_relDiffDebye
0,174.930111,38.399961,78.04839842581475,37.407684,78.61564039137893,36.493902,79.13801015080819,35.606387,79.64536419919153,34.771231,80.12278686543564,33.962325,80.58520353880071,33.205752,81.01770369310519,32.475411,81.43520814435429,144.978607,17.121983075858218,628.214941,259.12338785402125,404.351958,131.1505753289095,810.56874,363.36719011171266,885.626461,406.2744520867536,1064.369798,508.45430893255417,1015.938215,480.76806170894156,1673.509403,856.673149884413
0.02,148.179635,32.548147,78.03466920403737,31.708072,78.60159933583316,30.934479,79.12366365324088,30.183145,79.63070633829001,29.47616,80.10781980938204,28.79142,80.56992109610744,28.151002,81.00211139000308,27.53281,81.41930232180691,128.303535,13.413516641473697,299.290051,101.97785680873086,482.889328,225.88103486690326,516.281189,248.41575159771457,599.678135,304.69672839995866,1040.38023,602.1074319693122,1058.182874,614.1216632096578,1348.316304,809.9201141911303
0.04,87.685683,19.314659,77.9728476312376,18.818781,78.53836526539914,18.362211,79.05905460073795,17.918844,79.56468674595374,17.50171,80.0404018065298,17.097763,80.50107792397534,16.720022,80.93186774858103,16.355449,81.34764029835976,76.448585,12.815202682517743,117.248667,33.714721706621134,229.03262,161.19728120267936,442.209503,404.3120927734577,499.710086,469.8878869427293,671.258262,665.5277794893836,984.31189,1022.5457296147194,1127.324286,1185.6423619349582
0.06,32.698267,7.285581,77.71875494196681,7.102575,78.27843597949702,6.934176,78.79344492477232,6.770746,79.29325734602388,6.617083,79.76319968272324,6.468373,80.21799442765575,6.329402,80.64300471948559,6.195366,81.05292246833754,51.770052,58.32659266009418,45.159748,38.11052432839942,52.265624,59.842183685147596,209.110567,539.5157486480858,503.154059,1438.7789787146824,426.261807,1203.6220145856657,474.434469,1350.9468315247411,652.631652,1895.9212272625948
0.08,6.071169,1.45981,75.9550425955858,1.42833,76.47355888132911,1.399495,76.94850859859115,1.371641,77.40729997797787,1.345577,77.83660774391225,1.320481,78.24997129877293,1.297148,78.6342959650769,1.274763,79.00300584615583,10.354266,70.54814319943985,52.059054,757.4799021407575,88.473778,1357.2774699567742,107.729555,1674.4450039193441,87.602855,1342.9322425384635,178.922095,2847.078149199932,226.020687,3622.8528311433925,115.6591,1805.0548584630076
0.1,2.254545,0.621749,72.42241782710038,0.612067,72.85186146206884,0.603308,73.24036557265435,0.594957,73.61077290539775,0.58725,73.95261571625316,0.579935,74.27707142682893,0.573238,74.57411584155561,0.566914,74.85461589810804,3.659741,62.32725450146261,1.838149,18.46918114298006,3.611798,60.20075004047381,30.353451,1246.322694823124,27.53954,1121.5121011113106,39.244218,1640.6713106192158,49.727346,2105.648855977592,70.22022,3014.607160203057
0.12,4.502549,1.107702,75.3983354761936,1.08538,75.89409909808866,1.06498,76.34717578864772,1.04532,76.78381734435315,1.026969,77.19138647908107,1.009343,77.58285362358077,0.993,77.945825797787,0.977362,78.29314017459889,9.740957,116.34316472735775,13.873777,208.1316161134504,10.376214,130.45199508100853,20.438454,353.9307401207627,38.771286,761.0963700783711,16.61499,269.0129746505812,17.626748,291.48375731169165,132.641439,2845.9188339760435
0.14,3.983063,0.988702,75.17734467167605,0.969475,75.66006362440162,0.951925,76.10067930133167,0.935035,76.52472481605237,0.91929,76.92002360997051,0.90419,77.29912883627499,0.890208,77.65016521204913,0.876852,77.98548504003075,8.674556,117.7860606272108,7.635489,91.6989261781699,24.135557,505.9546886403754,12.727532,219.54131782500053,25.081187,529.6959651403956,26.787641,572.5387220839841,37.329695,837.2107596590865,45.971825,1054.1827231956913
0.16,1.714695,0.49142,71.34067574699874,0.485127,71.70767979144979,0.47949,72.03642630322011,0.474172,72.34656892333622,0.46932,72.62953469859072,0.464771,72.8948296927442,0.46066,73.13458078550413,0.456834,73.3577108465354,2.557298,49.14010946553176,6.481021,277.96931815862297,13.529688,689.0434158844574,13.76859,702.9760394705763,39.904163,2227.187225716527,58.086696,3287.5818148417065,39.473802,2202.0888262927224,62.67923,3555.4156861715933
0.18,0.452906,0.218005,51.86528771974758,0.218824,51.68445549407603,0.219737,51.482868409780394,0.220782,51.252136204863696,0.221918,51.00131153042794,0.22317,50.72487447726459,0.224487,50.434085660159056,0.2259,50.12210039169276,12.823944,2731.4802630126337,13.888083,2966.438289623012,16.455352,3533.2819613783004,34.276098,7468.037959311646,38.744181,8454.574459159296,27.335823,5935.650444021498,50.830668,11123.226894764037,48.259573,10555.538456103475
