q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{a=0.15}_RhccCarborane,strat{a=0.15}_RhccCarborane_relDiffDebye,strat{a=0.20}_RhccCarborane,strat{a=0.20}_RhccCarborane_relDiffDebye,strat{a=0.25}_RhccCarborane,strat{a=0.25}_RhccCarborane_relDiffDebye,strat{a=0.30}_RhccCarborane,strat{a=0.30}_RhccCarborane_relDiffDebye,strat{a=0.35}_RhccCarborane,strat{a=0.35}_RhccCarborane_relDiffDebye,strat{a=0.40}_RhccCarborane,strat{a=0.40}_RhccCarborane_relDiffDebye,strat{a=0.45}_RhccCarborane,strat{a=0.45}_RhccCarborane_relDiffDebye,strat{a=0.50}_RhccCarborane,strat{a=0.50}_RhccCarborane_relDiffDebye
0,58.403088,12.818956,78.05089347330401,12.502544,78.59266619600662,12.186297,79.13415639940136,11.903491,79.61838764416018,11.62084,80.10235349199344,11.354965,80.557594831287,11.105852,80.9841356333761,10.873479,81.38201356750176,19.726087,66.22423971828339,113.083897,93.62657159498141,147.78779,153.04790390535516,72.03765,23.345618300183038,1714.955944,2836.413129387953,109.870025,88.12365709155654,1081.984639,1752.6154627303272,351.49398,501.84143002849453
0.02,54.572631,11.990852,78.02771869291037,11.695279,78.56933267520124,11.399872,79.11064247571278,11.135713,79.59469280489702,10.871707,80.07846277376657,10.623382,80.53349855901212,10.39072,80.95983314420006,10.173703,81.35749951289685,13.224424,75.76729624782064,31.332055,42.58650457955747,157.322353,188.2806823075838,148.101218,171.38368681546615,387.258634,609.6206045114445,429.081582,686.2578258321465,475.265991,770.8870770771524,352.103139,545.2009597997941
0.04,44.861835,9.890441,77.95355227890256,9.647726,78.49458008126507,9.405177,79.03523785863864,9.188312,79.51864429977063,8.9716,80.00170969377423,8.767787,80.45602236288373,8.576856,80.8816202012245,8.398786,81.27855001918668,16.44603,63.34071042791718,23.827635,46.886624231933446,29.849667,33.46311625460706,150.238174,234.89083538379555,363.799447,710.9330503310888,219.00178,388.16946520355225,659.172159,1369.3383786017669,275.731092,514.6228570454151
0.06,33.283905,7.383642,77.81617872061585,7.204012,78.35586900034717,7.024549,78.89505753606736,6.864127,79.3770382411559,6.70386,79.85855325569521,6.553171,80.3112915987472,6.412044,80.73530134159438,6.280458,81.13064557779504,9.39579,71.77077028671967,16.208563,51.30209931797365,377.754998,1034.9479515699857,52.05068,56.383933916407955,461.79991,1287.457120791566,299.30754,799.2560818810174,845.276172,2439.5943534870685,112.956627,239.37312043163206
0.08,23.356617,5.230968,77.60391412848873,5.105512,78.14104671066019,4.980221,78.67747285490874,4.868271,79.15678028200746,4.756474,79.63543264848671,4.651405,80.08527947347855,4.553046,80.50639782293814,4.461378,80.8988690442627,8.360231,64.20615622544994,167.308533,616.3217729690905,71.957855,208.08337954079565,29.090448,24.549064618390577,103.258115,342.09362597331625,249.848091,969.7100997117863,252.852813,982.5746425520442,518.178777,2118.552357132884
0.1,16.373585,3.714015,77.3170322809574,3.626734,77.85009208429308,3.539618,78.3821441669616,3.461824,78.85726308563457,3.384184,79.3314414650182,3.311263,79.77679903332104,3.243042,80.1934518311048,3.179502,80.58151589893112,4.541654,72.26231152188112,9.648682,41.07165901664173,289.769976,1669.7405668947883,82.751854,405.39850619152736,81.981062,400.6909726855786,85.618846,422.9083673489954,231.215001,1312.1220306976147,69.646174,325.35690259646867
0.12,11.746647,2.707508,76.95080136484904,2.645556,77.47820292888686,2.58377,78.00419132370284,2.528639,78.47352525363195,2.473662,78.94154817115044,2.42207,79.38075435483844,2.373846,79.79128852684515,2.328971,80.17331243545499,4.783991,59.27356121282949,7.261741,38.1803079636257,44.157072,275.9121390129456,17.554319,49.44110434237107,71.547103,509.08532451856274,71.246098,506.5228486052233,35.509327999999996,202.29330974192038,49.365831,320.2546564989993
0.14,8.426939,1.984982,76.44480397923849,1.941213,76.96419779471526,1.897609,77.4816336038507,1.858747,77.94279749740683,1.820039,78.40213391837773,1.783759,78.83265797936832,1.74989,79.23457141436529,1.718412,79.60811155747064,34.540214,309.8785335932774,38.707111,359.32587147005563,6.406029,23.981543001557274,57.887894,586.938566898372,52.148216,518.8275007093322,162.487348,1828.189441029536,28.643859,239.90822764944656,117.953677,1299.721500298032
0.16,5.84518,1.422493,75.66382900098884,1.392879,76.17046865964778,1.363431,76.67426837154714,1.337235,77.12243249994013,1.311192,77.56797908704266,1.286832,77.98473271995047,1.264138,78.37298423658467,1.243091,78.7330586910925,3.017363,48.378612805764746,3.902791,33.23061052012085,37.278628,537.7669806575674,138.300329,2266.0576577624643,12.93553,121.30250907585396,146.511434,2406.5341700341137,145.237724,2384.7433954129724,61.60729,953.9844795198778
0.18,3.884908,0.994106,74.41108000498339,0.975273,74.89585338957833,0.956606,75.37635382871358,0.940055,75.80238708355513,0.923658,76.22445628056057,0.908377,76.61779892857179,0.894193,76.98290409965949,0.88109,77.32018364398849,1.179738,69.63279439307185,2.900221,25.34646895113088,4.911664,26.429351737544373,5.294236,36.27699806533385,55.642719,1332.2789368499846,54.307721,1297.9152402064606,136.379336,3410.490750360112,10.895614,180.46002633781805
