q_inverse_angstroms,debye,propo{e=0.380}_VancomycinLacticAcid,propo{e=0.380}_VancomycinLacticAcid_relDiffDebye,propo{e=0.390}_VancomycinLacticAcid,propo{e=0.390}_VancomycinLacticAcid_relDiffDebye,propo{e=0.400}_VancomycinLacticAcid,propo{e=0.400}_VancomycinLacticAcid_relDiffDebye,propo{e=0.410}_VancomycinLacticAcid,propo{e=0.410}_VancomycinLacticAcid_relDiffDebye,propo{e=0.420}_VancomycinLacticAcid,propo{e=0.420}_VancomycinLacticAcid_relDiffDebye,propo{e=0.430}_VancomycinLacticAcid,propo{e=0.430}_VancomycinLacticAcid_relDiffDebye,propo{e=0.440}_VancomycinLacticAcid,propo{e=0.440}_VancomycinLacticAcid_relDiffDebye,propo{e=0.450}_VancomycinLacticAcid,propo{e=0.450}_VancomycinLacticAcid_relDiffDebye,strat{a=0.15}_VancomycinLacticAcid,strat{a=0.15}_VancomycinLacticAcid_relDiffDebye,strat{a=0.20}_VancomycinLacticAcid,strat{a=0.20}_VancomycinLacticAcid_relDiffDebye,strat{a=0.25}_VancomycinLacticAcid,strat{a=0.25}_VancomycinLacticAcid_relDiffDebye,strat{a=0.30}_VancomycinLacticAcid,strat{a=0.30}_VancomycinLacticAcid_relDiffDebye,strat{a=0.35}_VancomycinLacticAcid,strat{a=0.35}_VancomycinLacticAcid_relDiffDebye,strat{a=0.40}_VancomycinLacticAcid,strat{a=0.40}_VancomycinLacticAcid_relDiffDebye,strat{a=0.45}_VancomycinLacticAcid,strat{a=0.45}_VancomycinLacticAcid_relDiffDebye,strat{a=0.50}_VancomycinLacticAcid,strat{a=0.50}_VancomycinLacticAcid_relDiffDebye
0,186.902089,220.512243,17.982759946572894,214.646645,14.844433333219737,209.515048,12.09882624693404,204.384258,9.353650937523764,199.987128,7.001012706711922,194.858009,4.256731448303941,190.462416,1.9049155732015395,186.800024,0.05460880643232504,8.013628,95.71239249230649,13.898495,92.56375620285336,26.619824,85.75734271220479,43.734616,76.60025298058599,48.356821,74.12719073460971,68.368859,63.41995995561077,76.534037,59.051267211892956,103.627213,44.55534790732061
0.02,182.47257,215.338085,18.01120847917033,209.610926,14.872567422051445,204.600464,12.126696083690824,199.590808,9.381266455555496,195.297507,7.02841912074785,190.289522,4.2839052466899625,185.997759,1.9319007782923274,182.421891,0.027773489462006463,7.830915,95.70844264428347,14.629397,91.98268704167425,23.270279,87.24724543530023,35.824247,80.3673247984615,55.192079,69.75321879885837,66.662396,63.467168791451776,79.628544,56.36136214884242,104.084414,42.95887102373798
0.04,169.92571,200.675473,18.096003836029286,195.340625,14.95648598437516,190.673434,12.209879246642533,186.007051,9.463748010821895,182.007983,7.110326624499604,177.343269,4.365177582603588,173.345739,2.012661297692974,170.015065,0.052584744239105086,8.013249,95.28426334072697,16.981558,90.00648106752061,20.608527,87.87203713905329,30.741489,81.90886535062882,40.5538,76.13439425970327,50.998385,69.9878346837568,69.942623,58.83929335943338,89.392563,47.393150218410156
0.06,151.267821,178.852308,18.235528757963664,174.101357,15.094774188622715,169.945076,12.347143547470022,165.789603,9.600047058257024,162.228458,7.245848408168709,158.074654,4.499855260029172,154.515047,2.1466733496478487,151.54931,0.18608650414815817,7.11788,95.29451805880113,12.26466,91.89208919721268,20.627405,86.36365298076184,30.066247,80.12383149222464,34.846105,76.96396710837793,47.096973,68.86517390899681,77.181716,48.97677808157229,78.12418,48.35373479730365
0.08,129.20243,153.010921,18.42727803184507,148.951379,15.285276755243698,145.400081,12.536645789092363,141.849589,9.78863865021735,138.807001,7.433738668847035,135.25818,4.687024849300449,132.217129,2.333314474038923,129.683521,0.37235445184739996,4.618096,96.4256895168303,10.177249,92.12302044164339,16.682158,87.08835584593882,20.040196,84.48930410983756,36.118541,72.04499868926614,33.586931,74.00441230091415,61.656366,52.279252023355916,65.034501,49.664645626247115
0.1,106.436786,126.306984,18.66854378710759,122.961928,15.525780720210777,120.035806,12.776616535565061,117.11049,10.028209607907552,114.603767,7.673081184544605,111.680121,4.926243263301846,109.174936,2.5725598290801495,107.087882,0.6117208386957452,6.133581,94.23734854226056,8.694116,91.8316624104001,14.344963,86.52255151710425,20.447618,80.78895580330658,29.613695,72.17719914992549,28.627283,73.10395768620823,49.49396,53.499197166663784,53.324753,49.900072142351235
0.12,85.11132,101.246694,18.957964698467837,98.572147,15.815554264697099,96.23272,13.06688698988571,93.894101,10.319169060002828,91.890259,7.964791287457407,89.55331,5.2190354937509955,87.551006,2.866464766378896,85.883021,0.9066960775605325,3.703544,95.64858822539706,7.999995,90.60055113702855,11.633284,86.33168419899961,17.266939,79.71252355150878,21.073466,75.24011377100015,27.343173,67.87363537541188,37.87057,55.504661424590765,62.750016,26.27300810279996
0.14,66.516454,79.352843,19.298065708674127,77.264085,16.157853213281633,75.437223,13.411371868981481,73.611169,10.666105261714655,72.046669,8.314055647043359,70.222284,5.571298193376343,68.659322,3.221560788553171,67.357455,1.264350321500911,3.068354,95.38707520397885,7.215175,89.15279668997388,10.17759,84.69913925357476,13.264282,80.05864533909158,17.453574,73.76051645807817,30.367891,54.345294774733475,30.80022,53.695336795915196,43.180207,35.08342011136071
0.16,51.119261,61.188722,19.697978419523704,59.585961,16.562641623477294,58.184346,13.820788606470652,56.783539,11.08051620699289,55.583536,8.733058562798865,54.184399,5.996053033708757,52.985934,3.651604040207073,51.987814,1.699071901684961,3.248362,93.64552237951953,4.614149,90.973756447692,10.706639,79.05556772426738,9.755602,80.91599563616539,13.840267,72.92553388046825,23.047602,54.91405480216156,19.747263,61.37021034009079,27.708472,45.796415171181756
0.18,38.799306,46.626911,20.17460054569017,45.413763,17.04787451610604,44.35306,14.314054998818786,43.293165,11.582317993007402,42.385372,9.24260346306193,41.327147,6.515170657949384,40.420892,4.179420116431981,39.666281,2.2345116172954134,2.351693,93.93882715324857,2.675287,93.10480708082768,5.733265,85.22327950917472,8.014153,79.34459703995736,11.371122,70.69246032390375,14.784715,61.89438285313661,20.773445,46.45923563684361,26.729327,31.108749728667828
0.2,29.142765,35.190135,20.7508450210541,34.282988,17.638075865484975,33.490036,14.917153537078596,32.697891,12.199000335074581,32.019599,9.87152042711115,31.229124,7.159097635382222,30.55237,4.836895195085296,29.98901,2.903791043849133,1.241912,95.73852378111685,2.14601,92.63621691352897,4.205846,85.56812986001843,5.674716,80.52787372783605,12.461709,57.23909862362064,11.611706,60.15578480628039,13.998205,51.96679175774845,19.015253,34.75137654234249
