q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{a=0.15}_RhccCarborane,strat{a=0.15}_RhccCarborane_relDiffDebye,strat{a=0.20}_RhccCarborane,strat{a=0.20}_RhccCarborane_relDiffDebye,strat{a=0.25}_RhccCarborane,strat{a=0.25}_RhccCarborane_relDiffDebye,strat{a=0.30}_RhccCarborane,strat{a=0.30}_RhccCarborane_relDiffDebye,strat{a=0.35}_RhccCarborane,strat{a=0.35}_RhccCarborane_relDiffDebye,strat{a=0.40}_RhccCarborane,strat{a=0.40}_RhccCarborane_relDiffDebye,strat{a=0.45}_RhccCarborane,strat{a=0.45}_RhccCarborane_relDiffDebye,strat{a=0.50}_RhccCarborane,strat{a=0.50}_RhccCarborane_relDiffDebye
0,58.403088,12.818956,78.05089347330401,12.502544,78.59266619600662,12.186297,79.13415639940136,11.903491,79.61838764416018,11.62084,80.10235349199344,11.354965,80.557594831287,11.105852,80.9841356333761,10.873479,81.38201356750176,90.954723,55.736153882822094,30.693813,47.44487996936053,150.247957,157.26029589394318,323.297559,453.56244005453954,97.074753,66.21510321509028,450.76863,671.8232809881561,831.037792,1322.9346777006037,599.971617,927.2943392993193
0.02,54.572631,11.990852,78.02771869291037,11.695279,78.56933267520124,11.399872,79.11064247571278,11.135713,79.59469280489702,10.871707,80.07846277376657,10.623382,80.53349855901212,10.39072,80.95983314420006,10.173703,81.35749951289685,87.205682,59.79746697570801,28.981801,46.8931578541632,143.763507,163.43517687464987,307.989374,464.36599877326785,91.738351,68.10322192455773,430.063009,688.0562126462256,795.834435,1358.3032197952853,569.123237,942.8730053348536
0.04,44.861835,9.890441,77.95355227890256,9.647726,78.49458008126507,9.405177,79.03523785863864,9.188312,79.51864429977063,8.9716,80.00170969377423,8.767787,80.45602236288373,8.576856,80.8816202012245,8.398786,81.27855001918668,77.351455,72.42151374325194,24.544242,45.28925979064387,126.716638,182.45977455001562,267.392931,496.0365442028842,77.932323,73.71630696782688,375.30168,736.5722891183564,701.672862,1464.0752590704326,487.77921,987.2921493291569
0.06,33.283905,7.383642,77.81617872061585,7.204012,78.35586900034717,7.024549,78.89505753606736,6.864127,79.3770382411559,6.70386,79.85855325569521,6.553171,80.3112915987472,6.412044,80.73530134159438,6.280458,81.13064557779504,64.759325,94.56648791660717,19.007701,42.89221472059843,104.805079,214.8821600109723,214.401529,544.1597793287777,60.761228,82.55438476945541,304.147297,813.7969147550444,576.318394,1631.5227705402958,382.815543,1050.1521320890683
0.08,23.356617,5.230968,77.60391412848873,5.105512,78.14104671066019,4.980221,78.67747285490874,4.868271,79.15678028200746,4.756474,79.63543264848671,4.651405,80.08527947347855,4.553046,80.50639782293814,4.461378,80.8988690442627,52.935141,126.63873368305008,13.927123,40.37183124593772,83.737716,258.5181706751453,162.587699,596.1097962089287,45.049504,92.87683657269372,234.798924,905.2779646983979,449.146738,1822.995688973279,281.929002,1107.0626580895687
0.1,16.373585,3.714015,77.3170322809574,3.626734,77.85009208429308,3.539618,78.3821441669616,3.461824,78.85726308563457,3.384184,79.3314414650182,3.311263,79.77679903332104,3.243042,80.1934518311048,3.179502,80.58151589893112,43.946673,168.3998220304228,10.062645,38.54342222549307,66.747134,307.65131154844835,120.476401,635.7973284409004,33.097515,102.13969634627973,178.003228,987.1365556168673,338.864863,1969.5825807237698,201.602897,1131.2691264619205
0.12,11.746647,2.707508,76.95080136484904,2.645556,77.47820292888686,2.58377,78.00419132370284,2.528639,78.47352525363195,2.473662,78.94154817115044,2.42207,79.38075435483844,2.373846,79.79128852684515,2.328971,80.17331243545499,38.027876,223.73387912312342,7.368271,37.273410872055656,54.305762,362.30862304792174,90.204523,667.9172022450322,24.71837,110.42915480477112,135.49402,1053.4697518364178,250.709715,2034.3087521060265,144.766162,1132.4041234915803
0.14,8.426939,1.984982,76.44480397923849,1.941213,76.96419779471526,1.897609,77.4816336038507,1.858747,77.94279749740683,1.820039,78.40213391837773,1.783759,78.83265797936832,1.74989,79.23457141436529,1.718412,79.60811155747064,34.296285,306.983900085191,5.454737,35.270244628565614,45.413936,438.9137858954479,69.944423,730.0098410585384,18.714458,122.07895417303956,103.878048,1132.6901618725374,181.881903,2058.338905740269,106.404524,1162.67110750416
0.16,5.84518,1.422493,75.66382900098884,1.392879,76.17046865964778,1.363431,76.67426837154714,1.337235,77.12243249994013,1.311192,77.56797908704266,1.286832,77.98473271995047,1.264138,78.37298423658467,1.243091,78.7330586910925,31.786799,443.8121494975347,4.006726,31.45247879449393,38.960052,566.5329724662029,57.151424,877.7530204373518,14.134515,141.81487995237103,79.55622,1261.0568023568137,128.662315,2101.1694250647543,80.547689,1278.0189660540823
0.18,3.884908,0.994106,74.41108000498339,0.975273,74.89585338957833,0.956606,75.37635382871358,0.940055,75.80238708355513,0.923658,76.22445628056057,0.908377,76.61779892857179,0.894193,76.98290409965949,0.88109,77.32018364398849,30.038123,673.2003692236727,2.889662,25.61826431925801,34.304794,783.027191377505,50.278403,1194.1980350628637,10.555608,171.70805589218588,61.150122,1474.042988920201,89.808365,2211.7243703068384,63.7627,1541.2924064096242
0.2,2.492155,0.687971,72.39453404784211,0.676842,72.84109535723098,0.665878,73.28103589062478,0.65622,73.668571978869693,0.646716,74.04992867618587,0.637923,74.40275584785056,0.629822,74.72781588625107,0.622395,75.02583105785956,29.032576,1064.9586803389034,2.054566,17.558659072168464,31.205513,1152.1497659656002,48.605261,1850.3305773517297,7.796988,212.86127869253718,48.971566,1865.0289006903665,65.560635,2530.680475331591,54.774558,2097.8792651339904
0.22,1.528376,0.474193,68.97406135662952,0.468444,69.35021225143551,0.46286,69.71556737347355,0.458016,70.03250509037044,0.453326,70.3393667526839,0.449062,70.61835569257826,0.445209,70.87045334394155,0.441746,71.09703371421692,28.806761,1784.7954299203864,1.451788,5.011070574256589,29.523523,1831.6923976822459,51.238853,3252.5031144168715,5.699047,272.8825236721854,43.243524,2729.3773259983145,55.065009,3502.84439169419,52.551177,3338.3670641255817
0.24,0.864355,0.324908,62.410352227961894,0.322915,62.6409287850478,0.321089,62.852184576938875,0.319606,63.02375759959739,0.318277,63.17751386872293,0.317177,63.3047763939585,0.316289,63.40751195978503,0.315594,63.48791873709298,29.163271,3273.992283263243,1.025151,18.6030045525276,28.991051,3254.067599539541,56.467153,6432.8658942217035,4.122803,376.98029166256924,42.923313,4865.935639870192,55.115091,6276.441508408004,55.050222,6268.936605908451
