q_inverse_angstroms,debye,propo{e=0.380}_XyloseIsomerase,propo{e=0.380}_XyloseIsomerase_relDiffDebye,propo{e=0.390}_XyloseIsomerase,propo{e=0.390}_XyloseIsomerase_relDiffDebye,propo{e=0.400}_XyloseIsomerase,propo{e=0.400}_XyloseIsomerase_relDiffDebye,propo{e=0.410}_XyloseIsomerase,propo{e=0.410}_XyloseIsomerase_relDiffDebye,propo{e=0.420}_XyloseIsomerase,propo{e=0.420}_XyloseIsomerase_relDiffDebye,propo{e=0.430}_XyloseIsomerase,propo{e=0.430}_XyloseIsomerase_relDiffDebye,propo{e=0.440}_XyloseIsomerase,propo{e=0.440}_XyloseIsomerase_relDiffDebye,propo{e=0.450}_XyloseIsomerase,propo{e=0.450}_XyloseIsomerase_relDiffDebye,strat{a=0.15}_XyloseIsomerase,strat{a=0.15}_XyloseIsomerase_relDiffDebye,strat{a=0.20}_XyloseIsomerase,strat{a=0.20}_XyloseIsomerase_relDiffDebye,strat{a=0.25}_XyloseIsomerase,strat{a=0.25}_XyloseIsomerase_relDiffDebye,strat{a=0.30}_XyloseIsomerase,strat{a=0.30}_XyloseIsomerase_relDiffDebye,strat{a=0.35}_XyloseIsomerase,strat{a=0.35}_XyloseIsomerase_relDiffDebye,strat{a=0.40}_XyloseIsomerase,strat{a=0.40}_XyloseIsomerase_relDiffDebye,strat{a=0.45}_XyloseIsomerase,strat{a=0.45}_XyloseIsomerase_relDiffDebye,strat{a=0.50}_XyloseIsomerase,strat{a=0.50}_XyloseIsomerase_relDiffDebye
0,180.1075,62.615668,65.23428063795234,61.013156,66.12403370209458,59.529573,66.94775453548574,58.04622,67.77134766736532,56.681757,68.5289302222284,55.37683,69.25345696320252,54.131426,69.94493510819927,52.94553,70.60337298557806,19.720556,89.0506747359216,115.318495,35.972408145135546,140.118286,22.20296989298057,121.982517,32.27238343766917,459.155641,154.93421484391268,234.844547,30.391320183779147,351.299402,95.04984634176812,833.692584,362.88610080091064
0.02,159.882205,55.615403,65.21476358172569,54.19307,66.10437665655161,52.876318,66.92795298888954,51.559798,67.75138421439709,50.348819,68.50880371583568,49.190705,69.23315824922479,48.08544,69.92445782193208,47.033008,70.58271244132517,17.6675,88.94967704504701,107.716304,32.62770925632405,129.712523,18.86994365633123,109.431413,31.554976365255904,424.202273,165.32175547616447,211.151124,32.066682467883155,322.997165,102.0219604802173,759.013193,374.7327527788349
0.04,111.592756,38.895753,65.14491227369633,37.903763,66.03384990330376,36.985478,66.85673933888684,36.067424,67.67942177178597,35.223035,68.43609185528136,34.415571,69.15967287338974,33.645018,69.85017737172832,32.911359,70.50762058426086,12.805396,88.52488597019685,88.669729,20.541680142750476,103.808936,6.975201867045914,78.973903,29.230260250943164,336.820686,201.83024245767353,153.969765,37.97469523917843,253.470668,127.13899816221044,578.532827,418.4322421430294
0.06,61.195467,21.433403,64.97550545696465,20.890873,65.86205805080301,20.388754,66.68257470769852,19.886867,67.50271225154634,19.425351,68.25687922276988,18.984114,68.97790811858663,18.56314,69.665825084724,18.162415,70.32065299869352,7.821064,87.21953702878025,66.670825,8.947326114857484,74.369409,21.527643542617305,46.208299,24.490650590181794,236.104635,285.82046444714604,92.784929,51.62059144021241,176.348463,188.17242786953486,386.740378,531.9755317824439
0.08,27.247811,9.656682,64.55978794039639,9.417271,65.43843099909934,9.195817,66.25117151612656,8.974596,67.06305691859063,8.771292,67.80918658016233,8.57704,68.52209522445675,8.391825,69.20183790176759,8.215633,69.84846599236907,4.547283,83.31138233452955,49.190559,80.53031489391938,51.814775,90.16123900741971,23.367065,14.242413821792873,155.82586,471.88395794436485,49.4141,81.35071474181908,118.690071,335.594885034985,257.530228,845.1409803158134
0.1,11.574057,4.209001,63.63417771313896,4.109807,64.49121513744058,4.018184,65.28283902524413,3.926792,66.07246707010343,3.842933,66.797009898949,3.762931,67.48822819863423,3.686774,68.14622564931207,3.614446,68.77114049118646,3.017403,73.92959962094537,38.905747,236.14614996280042,39.701162,243.0185457009586,12.86607,11.16300878767057,107.875661,832.0470859958613,26.965431,132.98166753455592,86.980445,651.5121534307287,204.21936,1664.4578733282547
0.12,6.187235,2.33069,62.330669515542894,2.279841,63.15250673362173,2.232982,63.909856341322104,2.186355,64.66345629348167,2.143679,65.35319896528902,2.10307,66.00953414570483,2.064515,66.63267194473784,2.027998,67.2228709593219,2.31902,62.519283654168625,34.156295,452.0445724140104,35.443107,472.8424247664748,9.919599,60.323617900402994,85.442476,1280.9476446263961,17.016537,175.02651830745071,72.246976,1067.677904589045,194.955335,3050.9282417752033
0.14,3.919418,1.537287,60.77767158287276,1.50686,61.553985821364286,1.47891,62.26710190135372,1.451191,62.97432424916147,1.42591,63.619343484160154,1.401941,64.23088836148632,1.379269,64.80934159102192,1.35788,65.35506036865677,1.790838,54.308573364718946,31.843623,712.4579465624744,34.502355,780.2928138820612,8.914033,127.43256779450418,75.998343,1839.0211250752027,11.708857,198.7396853308323,63.355291,1516.446395867958,192.623675,4814.598927697939
0.16,2.193003,0.93327,57.44328667129046,0.918389,58.12185391447253,0.904834,58.73995612409102,0.89151,59.347524832387364,0.879473,59.896406890460256,0.868171,60.41177326250807,0.857591,60.894216742977555,0.847718,61.34442132546103,1.33234,39.24586514473532,29.80425,1259.061068315912,33.80777,1441.6198701050566,7.22085,229.26767542041668,70.721602,3124.8748405724937,8.231038,275.33181669154123,54.880618,2402.532737073319,180.207511,8117.385521132438
0.18,0.971833,0.506067,47.92654705077929,0.502182,48.326307091856314,0.498808,48.67348608248537,0.495665,48.996895557158474,0.492995,49.271634118207544,0.490653,49.51262202456594,0.488625,49.721299852958275,0.486896,49.899211078446605,1.036335,6.637148563590664,27.395532,2718.9546969489616,32.571228,3251.525210607172,5.016327,416.1717085137056,66.225476,6714.491378662795,6.292732,547.5116609540939,46.623696,4697.500805179491,160.573824,16422.779531051117
