q_inverse_angstroms,debye,propo{e=0.380}_AntiterminatorHairpin,propo{e=0.380}_AntiterminatorHairpin_relDiffDebye,propo{e=0.390}_AntiterminatorHairpin,propo{e=0.390}_AntiterminatorHairpin_relDiffDebye,propo{e=0.400}_AntiterminatorHairpin,propo{e=0.400}_AntiterminatorHairpin_relDiffDebye,propo{e=0.410}_AntiterminatorHairpin,propo{e=0.410}_AntiterminatorHairpin_relDiffDebye,propo{e=0.420}_AntiterminatorHairpin,propo{e=0.420}_AntiterminatorHairpin_relDiffDebye,propo{e=0.430}_AntiterminatorHairpin,propo{e=0.430}_AntiterminatorHairpin_relDiffDebye,propo{e=0.440}_AntiterminatorHairpin,propo{e=0.440}_AntiterminatorHairpin_relDiffDebye,propo{e=0.450}_AntiterminatorHairpin,propo{e=0.450}_AntiterminatorHairpin_relDiffDebye,strat{a=0.15}_AntiterminatorHairpin,strat{a=0.15}_AntiterminatorHairpin_relDiffDebye,strat{a=0.20}_AntiterminatorHairpin,strat{a=0.20}_AntiterminatorHairpin_relDiffDebye,strat{a=0.25}_AntiterminatorHairpin,strat{a=0.25}_AntiterminatorHairpin_relDiffDebye,strat{a=0.30}_AntiterminatorHairpin,strat{a=0.30}_AntiterminatorHairpin_relDiffDebye,strat{a=0.35}_AntiterminatorHairpin,strat{a=0.35}_AntiterminatorHairpin_relDiffDebye,strat{a=0.40}_AntiterminatorHairpin,strat{a=0.40}_AntiterminatorHairpin_relDiffDebye,strat{a=0.45}_AntiterminatorHairpin,strat{a=0.45}_AntiterminatorHairpin_relDiffDebye,strat{a=0.50}_AntiterminatorHairpin,strat{a=0.50}_AntiterminatorHairpin_relDiffDebye
0,106.067165,61.755331,41.77714564163188,60.134025,43.305711055820154,58.66059,44.694863862911774,57.187647,46.08355281297469,55.862453,47.33294417739929,54.684891,48.44314826364974,53.360601,49.69168733792404,52.1839,50.80107967437425,59.852679,43.57096373792964,66.629304,37.18196955674265,208.270904,96.357566453294,242.721609,128.83765112417214,227.869928,114.83550352269714,449.49941,323.7875218028124,612.894144,477.8358872889645,450.073565,324.32883447012085
0.02,100.848066,58.721542,41.77226760104651,57.180844,43.30000934276717,55.780688,44.688390950402564,54.381025,46.076283703844155,53.121783,47.32493630566996,52.002845,48.434464771986804,50.744507,49.682220975858876,49.62643,50.79089568262023,83.595468,17.107514981992818,144.265696,43.05251624755996,178.267176,76.76806613227465,176.26522,74.78294526738867,406.774818,303.35410894245604,425.490396,321.9123012235058,645.846609,540.4154631978762,511.001187,406.7040026330302
0.04,87.072799,50.71904,41.750993901091896,49.390969,43.276236014877625,48.18411,44.66227047553623,46.977745,46.047737594837166,45.89247,47.294137173653965,44.92817,48.401601285379606,43.843799,49.64696265248118,42.88036,50.7534379364559,61.363534,29.52617269142801,57.980091,33.41193614322655,151.005573,73.42450769269516,100.125427,14.990477106403802,278.890805,220.29612944910616,315.504333,262.3454587695062,392.703297,351.00571189861483,382.665632,339.47781212362315
0.06,69.296706,40.405311,41.69230641352563,39.351276,43.21335273858472,38.393542,44.59542997613769,37.4363,45.97679722323309,36.575237,47.21937143736673,35.810235,48.323322900802815,34.950076,49.564592579624204,34.185936,50.66730011668953,12.147972,82.46962561250749,77.010101,11.130969197872126,101.823531,46.93848651334163,178.671385,157.8353219271346,261.833884,277.8446323263908,341.629225,392.9948979104433,335.606589,384.30381236302924,298.389064,330.5963172333184
0.08,52.279614,30.551312,41.561710842011955,29.759098,43.07705102795901,29.039383,44.45371574472604,28.320161,45.82943745529568,27.673315,47.066718970036774,27.098729,48.1657821727605,26.452787,49.40133452400777,25.879063,50.49874890047964,23.163742,55.69259176244109,67.879919,29.840130418713496,65.3236,24.95042522693453,137.09398,162.23219628209188,156.093,198.57335978035334,162.422361,210.68010754631808,254.934116,387.6358038909774,356.648279,582.1937878118229
0.1,38.86505,22.803684,41.32598825937442,22.217325,42.834693381328464,21.684751,44.20500938503874,21.152669,45.57405946988361,20.67425,46.80503434319523,20.249377,47.898235046655024,19.771862,49.12688392270176,19.34785,50.21786926814708,28.434882,26.83688300928468,17.693704,54.47399655989121,50.378904,29.625213398670535,72.856993,87.46146730803127,118.548905,205.0270229936666,153.414454,294.736283627578,156.53795,302.7730570268146,221.438717,469.7631084997961
0.12,29.446471,17.378877,40.98146090239472,16.936656,42.483240181820094,16.535115,43.84687047897861,16.134068,45.20882315575269,15.773579,46.43304116136701,15.453533,47.51991503497991,15.093949,48.74105966721785,14.774764,49.82500959113233,13.802101,53.12816602030171,24.372203,17.23217698990144,38.940142,32.24043723269931,36.898833,25.308166808851233,69.192514,134.97727113038437,97.546092,231.26581450116723,97.859597,232.33047518665308,125.129356,324.9383771658071
0.14,22.916206,13.623476,40.55090969246829,13.281036,42.04522336725372,12.970205,43.401604087517796,12.659868,44.75582912808516,12.381019,45.97264922474514,12.13354,47.05257929693947,11.855595,48.26545458702894,11.608979,49.34161876534012,9.254386,59.61641294374819,32.979823,43.91484785919626,37.059162,61.71595769386958,43.438508,89.55366346418775,62.564766,173.0153761054513,95.999676,318.9160980661458,83.107316,262.65739625486,145.593803,535.3311844028633
0.16,18.01037,10.800754,40.03036028687918,10.533313,41.515288136778985,10.290664,42.86256195736124,10.048509,44.20709291369362,9.831023,45.41465278059252,9.63809,46.48588563144456,9.421509,47.68842061545654,9.229438,48.754867334763254,6.864796,61.884203378387014,28.286105,57.05454690825339,32.168176,78.60919014989697,19.785764,9.857620915061704,53.577288,197.48021834087805,67.754601,276.1977183145043,81.965286,355.1005115386302,84.401481,368.6271353670135
0.18,14.047329,8.517767,39.363796491133655,8.310986,40.83582722380888,8.123482,42.170629021360575,7.936471,43.50192125492327,7.768615,44.69685304587085,7.619798,45.756250173965455,7.452847,46.94473945901032,7.304891,47.998007308008525,7.007248,50.1168656333172,17.439904,24.151032555726424,19.576793,39.36309884961048,32.02993,128.01437910367162,37.198961,164.81163073777228,42.733518,204.21098559021434,61.561364,338.24248723725344,78.525398,459.00590069471565
