q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.15}_BacteriorhodopsinArEnv,strat{a=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.20}_BacteriorhodopsinArEnv,strat{a=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.25}_BacteriorhodopsinArEnv,strat{a=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.30}_BacteriorhodopsinArEnv,strat{a=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.35}_BacteriorhodopsinArEnv,strat{a=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.40}_BacteriorhodopsinArEnv,strat{a=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.45}_BacteriorhodopsinArEnv,strat{a=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.50}_BacteriorhodopsinArEnv,strat{a=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0,186.698145,94.694519,49.27934661589702,92.228323,50.60030028686144,90.070803,51.75591969593485,87.913688,52.91132217730391,85.757009,54.06649112662581,83.754798,55.13892331388725,81.906988,56.12865462589358,80.059574,57.11817383081124,41.393604,77.8285938513208,80.604418,56.826342329218114,120.927707,35.228222540722086,135.599482,27.369668295311673,243.030361,30.172884685062073,293.770369,57.350448768518824,262.98626,40.86174235957192,294.883269,57.946544675095716
0.02,178.347031,90.470617,49.272709227214435,88.115211,50.59339619732721,86.054634,51.748771192047485,83.994461,52.90391966211089,81.934724,54.05882366497035,80.022531,55.13099906888834,78.257814,56.12048400177741,76.493493,57.10974689564638,43.419262,75.65462023306684,87.610286,50.87650996556259,73.704736,58.673415763226245,102.619846,42.460580686650175,185.761674,4.157424409268699,304.792018,70.89828537711963,447.182815,150.7374597113422,415.255789,132.83582949020328
0.04,155.393952,78.861624,49.250519093561635,76.810717,50.570330433452135,75.016575,51.724906899851554,73.222838,52.87922273834699,71.429537,54.0332579996421,69.764748,55.104592487614966,68.228405,56.09326867496105,66.692458,57.08169002613436,28.563973,81.61834959960346,52.29646,66.34588455540407,100.541205,35.29915179710469,53.351804,65.666743580857,259.692185,67.11859223452916,319.806677,105.80381210717901,257.333879,65.60096174141964,299.873981,92.97661018364472
0.06,123.333022,62.647734,49.204411775461075,61.022109,50.522489427040874,59.600089,51.67548152675607,58.178475,52.8281444364511,56.757295,53.98045545336593,55.438048,55.050117883270545,54.220667,56.03718605062642,53.003682,57.023933136090676,46.756772,62.08900808414474,25.507831,79.31792265659395,47.678844,61.341380250943665,84.316814,31.63484309984718,104.547374,15.231644936098293,162.033684,31.37899434589383,281.840792,128.52013794002391,249.48709,102.28734036858351
0.08,89.027458,45.302381,49.11414745774276,44.131716,50.4290957066302,43.107787,51.57922289548017,42.084262,52.72889629174855,41.061173,53.87807995146846,40.111581,54.944708182053226,39.23542,55.92885511793452,38.359655,56.912557247225905,14.122204,84.13724898221851,53.796795,39.572805729216704,54.10228,39.22967001933269,110.422326,24.031763324074696,227.282254,155.2945564277484,99.258746,11.492283650286867,182.238521,104.69922998363043,172.413431,93.66320781617735
0.1,58.425347,29.836001,48.9331214412813,29.071011,50.24246753724886,28.402048,51.38745517420718,27.733489,52.5317513304628,27.065366,53.67530123526695,26.445386,54.736450260192726,25.873481,55.71531479308116,25.301973,56.69349982636817,11.436274,80.42583469808062,13.181,77.43958628093385,37.114626,36.47512953581602,53.693861,8.09834471329713,59.134321,1.213469900315693,101.081863,73.01029123541191,97.685918,67.19783966366515,126.729664,116.90870573691244
0.12,35.002495,18.006829,48.55558439476958,17.552113,49.854680359214406,17.154639,50.99023941007634,16.75757,52.12464140056302,16.360936,53.257800622498486,15.993053,54.308819985546755,15.653853,55.277893761573296,15.31505,56.24583333273815,8.084836,76.90211512065069,8.463934,75.8190551844947,16.207445,53.69631507696809,29.055039,16.991520175918893,33.314797,4.821650570909315,57.684653,64.80154628977161,92.984552,165.6512114350705,103.393029,195.38759736984463
0.14,19.43963,10.156343,47.7544428571943,9.907541,49.03431289587302,9.690242,50.15212738102526,9.473348,51.26785849319149,9.256889,52.381351908446824,9.0563110000000009,53.41315138199647,8.871547,54.36360157060602,8.68718,55.31200953927622,4.771504,75.45475916979902,24.671356,26.912683008884418,14.727084,24.241953164746455,21.295966,9.549235247790204,23.040479,18.523238353816403,43.008491,121.24130448984883,50.711918,160.86874081451137,29.196534,50.1907906683409
0.16,10.378534,5.591959,46.11995297216351,5.462879,47.36367390616054,5.350337,48.448046708716284,5.238199,49.52852686130816,5.126496,50.60481567049836,5.023192,51.600177828583504,4.92822,52.51525889880016,4.833643,53.42653403650265,2.600831,74.94028540061632,8.635692,16.792757050273185,20.073928,93.41776015764846,7.950309,23.396608808141885,19.359128,86.5304675978322,27.296647,163.01062365840878,44.54407,329.1942388009713,27.936608,169.17682208296466
0.18,5.644664,3.207644,43.1738718194741,3.141103,44.35270195001863,3.083283,45.377032184732336,3.025867,46.39420521752933,2.968886,47.40367185717343,2.916395,48.33359434680256,2.868327,49.185159648120774,2.820655,50.02970947429289,2.553635,54.760194760928194,8.059039,42.7726964793653,11.340849,100.91273811869053,3.593504,36.3380353551602,7.497459,32.82383149820787,5.433596,3.7392482528632356,9.184801,62.7165230738269,33.966882,501.7520617701957
