q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{a=0.15}_Selenow,strat{a=0.15}_Selenow_relDiffDebye,strat{a=0.20}_Selenow,strat{a=0.20}_Selenow_relDiffDebye,strat{a=0.25}_Selenow,strat{a=0.25}_Selenow_relDiffDebye,strat{a=0.30}_Selenow,strat{a=0.30}_Selenow_relDiffDebye,strat{a=0.35}_Selenow,strat{a=0.35}_Selenow_relDiffDebye,strat{a=0.40}_Selenow,strat{a=0.40}_Selenow_relDiffDebye,strat{a=0.45}_Selenow,strat{a=0.45}_Selenow_relDiffDebye,strat{a=0.50}_Selenow,strat{a=0.50}_Selenow_relDiffDebye
0,178.36908,90.439084,49.29665836702191,88.188666,50.55832210380857,85.938619,51.8197778449045,83.953613,52.93264224943023,81.968942,54.04531884113547,79.98463,55.1577941647734,78.265204,56.12176505031029,76.546088,57.08556213890883,159.335729,10.670768162284636,218.125249,22.288711137603,633.999824,255.44267201467878,493.93969,176.92001887322624,1201.245374,573.4605426007693,2126.676113,1092.2896687026698,415.288453,132.82536020256427,1140.932357,539.6469371260984
0.02,169.885546,86.150596,49.28903722038837,84.007548,50.55050298393249,81.86487,51.81175095378626,79.974604,52.92442124534833,78.084671,54.03689552258908,76.195097,55.14915848108702,74.557777,56.112936765085365,72.920768,57.076531984657485,154.754832,8.906416323375746,210.654805,23.998073973874153,614.501997,261.71529095241567,480.775157,182.99944775760966,1168.630815,587.893021222653,2077.235462,1122.7264242950957,399.965943,135.4325911870101,1093.748889,543.8151536446779
0.04,146.548434,74.353069,49.26382563733161,72.505394,50.52462041320756,70.658088,51.78516339519533,69.028444,52.89718073684773,67.399134,54.00897016750107,65.770183,55.12051462794887,64.358737,56.08364057987818,62.947601,57.046554997646716,141.91801,3.1596543706498954,189.729899,29.465661161551548,559.486164,281.7756005499179,443.539989,202.65761079371208,1076.556181,634.6077686507383,1936.428656,1221.357453741198,357.222334,143.75718269360695,962.73315,556.9385449727836
0.06,113.928714,57.861799,49.21227760018427,56.427013,50.47164931572913,54.992597,51.73069626679012,53.727266,52.8413302374325,52.46227,53.95167016455571,51.197632,55.06169586009722,50.101925,56.02344374746475,49.006528,56.984919534859316,123.266428,8.196102345191052,159.379257,39.893843618738636,478.460202,319.9645420381029,388.397817,240.91301776653071,940.709982,725.7005183083169,1724.946313,1414.0575649787463,295.732994,159.57722475477078,776.107334,581.2218858188814
0.08,79.094726,40.249605,49.11215066349682,39.255772,50.36866048439184,38.262309,51.6247025117705,37.386055,52.73255640331822,36.510135,53.839988016394415,35.634574,54.94696574332908,34.876067,55.90595130198693,34.117869,56.8645461898433,102.057115,29.031504578446864,125.044779,58.09496451128741,384.50607,386.1336393023222,323.806164,309.39033533032284,782.450392,889.2573520009412,1471.719145,1760.7045240917835,227.030578,187.03630378591868,570.981562,621.8958720458809
0.1,48.324319,24.690981,48.905682457729,24.086686,50.156181197297364,23.482762,51.40591220747467,22.950219,52.5079308411982,22.418009,53.60926038088607,21.886159,54.70984495404891,21.425533,55.66304203893696,20.965218,56.61559555552144,81.478576,68.60781007591643,92.166681,90.72525574545601,291.116461,502.4222731416039,258.475175,434.87598035266666,623.467563,1190.1735107741508,1207.522377,2398.7881919246493,162.310171,235.87678907591018,382.554342,691.6393855441605
0.12,25.425472,13.112849,48.426330099201294,12.798434,49.66294431033571,12.484389,50.89810328791536,12.207622,51.986645518321154,11.931189,53.073874105464,11.655114,54.159694655816025,11.416161,55.09951201692539,11.177519,56.03810619523601,63.920145,151.401999538101,64.961567,155.49797856260054,209.317619,723.2595210031894,199.56126,684.8871399516202,481.155888,1792.4167386155111,959.063579,3672.058111644889,109.771858,331.7397057564949,235.261971,825.3003090758748
0.14,11.226387,5.93559,47.128225670467266,5.800871,48.32824665673828,5.666522,49.524971836442134,5.548309,50.577964219476854,5.430431,51.627972561430504,5.312912,52.67478308025548,5.211373,53.57925038572071,5.110145,54.48094743215248,50.616269,350.86873452696756,45.738895,307.4231095008572,145.861727,1199.275777683417,151.585097,1250.2571842570542,366.00371,3160.209273027912,745.076125,6536.829150821185,73.290567,552.8419784566485,138.669826,1135.2133059371638
0.16,4.205786,2.390352,43.16515390940005,2.344395,44.25786285845261,2.298807,45.34179817993592,2.258914,46.29032480492351,2.219354,47.23093376600711,2.180154,48.16298309043779,2.146492,48.96335667102416,2.11314,49.7563594533816,41.708649,891.6968909022002,34.851444,728.6547151947342,102.807763,2344.4363788362034,116.227474,2663.5137403567373,281.367326,6590.005768244034,575.036591,13572.511891950757,52.580665,1150.1982982491265,88.717587,2009.417526236475
0.18,1.751964,1.155063,34.070391857366936,1.140034,34.92822911886317,1.125374,35.7650043037414,1.11277,36.48442547906235,1.100499,37.184839414508524,1.0885879999999999,37.86470498252248,1.078577,38.43612083353312,1.068875,38.989899335831105,36.600561,1989.1160434803453,31.136175,1677.2154564819825,78.309978,4369.839448755796,92.830964,5198.679881550077,225.078536,12747.212385642628,450.177995,25595.619030984657,44.447304,2436.998705452852,72.803715,4055.548572915881
