q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.15}_TeicoplaninUbiquitin,strat{a=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.20}_TeicoplaninUbiquitin,strat{a=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.25}_TeicoplaninUbiquitin,strat{a=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.30}_TeicoplaninUbiquitin,strat{a=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.35}_TeicoplaninUbiquitin,strat{a=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.40}_TeicoplaninUbiquitin,strat{a=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.45}_TeicoplaninUbiquitin,strat{a=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.50}_TeicoplaninUbiquitin,strat{a=0.50}_TeicoplaninUbiquitin_relDiffDebye
0,175.982653,166.667471,5.293238760299854,162.503034,7.659629384039338,158.339279,10.025632469582098,154.63878,12.12839597320993,150.938906,14.230804328197049,147.239704,16.3328308273657,144.003495,18.171767191167422,140.767879,20.01036658993884,88.059631,49.96118679947393,297.329855,68.95407014917545,132.757882,24.561949864456246,1042.835312,492.5784696517787,423.089217,140.4152965008432,468.706633,166.33683775638954,1657.518329,841.8646103715687,572.378958,225.24737423977803
0.02,170.769539,161.760272,5.275687369513847,157.7192,7.642076611801363,153.67881,10.008066485440363,150.087969,12.11080741981743,146.497753,14.213182363864096,142.908209,16.315163795107516,139.767951,18.154050295820028,136.628286,19.992589544907073,86.456165,49.372607371154174,290.83409,70.3079435027344,129.091061,24.406271893724565,1022.656141,498.85161427999174,411.085806,140.72548793377018,454.002292,165.85671815861727,1594.946229,833.9758357021739,552.972287,223.81201602939268
0.04,156.103692,147.952524,5.221636910419765,144.258575,7.587980045981224,140.565307,9.95388693305217,137.283019,12.056520098192168,134.001356,14.158752888432652,130.720365,16.26055519558116,127.850091,18.09925225855644,124.98041,19.937569445827066,81.982196,47.48221842184232,272.96978,74.86439718542981,118.853764,23.862297888508618,967.442872,519.7437482772668,378.098526,142.20985497255248,413.700952,165.0167633447132,1423.95076,812.1826279419452,499.680287,220.0951115236916
0.06,134.615868,127.714213,5.126925304229369,124.529048,7.493039379280312,121.344565,9.85864682757905,118.51453,11.960950992790844,115.685119,14.062791616809992,112.856381,16.16413229976722,110.381828,18.00236507036452,107.907868,19.840157328257924,75.538092,43.886190296674386,248.04568,84.2618434849003,104.110495,22.66105285596792,891.255602,562.0732126468181,332.128875,146.72342119429783,357.849835,165.83035144118372,1188.552572,782.9215973261042,425.570156,216.13669496971934
0.08,109.835578,104.360437,4.984851993950443,101.762378,7.350259494241475,99.165001,9.715046066402996,96.856837,11.816518141325755,94.549299,13.917420273419962,92.242433,16.0177105819027,90.224518,17.854924931518998,88.207196,19.69159938321625,68.304229,37.81229156913072,221.605463,101.76109329528906,87.631765,20.21550157454445,811.962937,639.2531197860133,283.403862,158.02555707404755,299.171209,172.3809665753295,944.250158,759.6942586308419,347.401005,216.29187129146806
0.1,85.246607,81.165784,4.787079678138973,79.150831,7.1507549854740855,77.13656,9.513630260967448,75.346713,11.613241099437545,73.557491,13.712118770897238,71.768941,15.810208141187369,70.204553,17.64534041806496,68.640758,19.479777066083102,61.391847,27.983236916397153,198.670187,133.05348328995663,72.135657,15.380025623776444,745.349801,774.3454164691857,241.073529,182.79545366538756,248.845406,191.91238778570974,739.126117,767.0446168021679,280.236205,228.73590499619536
0.12,63.487829,60.614453,4.52586904491568,59.116153,6.885848939644795,57.618535,9.24475461273057,56.287936,11.34058781565833,54.957962,13.435436577930545,53.628660000000004,15.529226869609914,52.466113,17.36036051886417,51.304159,19.190560130824444,55.557975,12.490353072240033,182.348871,187.21862736871978,59.619697,6.092714242914175,700.597607,1003.5148280153036,210.656746,231.80650420413653,213.342152,236.0363007530152,599.478567,844.2417175739305,233.190107,267.29891488335505
0.14,45.941542,44.013104,4.197590929795085,42.932157,6.550465807177308,41.851891,8.90185836600782,40.892271,10.990643283153181,39.933277,13.078065599104189,38.974955,15.164025186616497,38.137016,16.98794959907962,37.299669,18.81058541744201,51.079093,11.182800525067274,173.289741,277.1961790050495,50.986445,10.981135548301808,678.717101,1377.349412869076,193.117363,320.35455187812374,193.412805,320.99763434148554,525.198449,1043.188552530518,207.773128,352.2554510686647
0.16,32.77505,31.528275,3.8040369122243884,30.761192,6.144484905438738,29.994791,8.482852047517856,29.314162,10.559520122776322,28.634158,12.634281259677715,27.954827,14.706989005356204,27.361004,16.518803174976085,26.767775,18.328804990381403,47.807266,45.86481485154103,170.058617,418.86607953305946,46.045219,40.48863083351514,674.127833,1956.8323557096026,185.688487,466.55439732357394,185.31715,465.42141049365296,495.617791,1412.1801217694558,199.11912,507.53262008753615
0.18,23.322894,22.543224,3.3429384878223214,22.002022,5.663413811339199,21.461502,7.980964969441623,20.981657,10.038364021205957,20.502436,12.093087590245027,20.023888,14.14492558256279,19.605751,15.937743403541601,19.188207,17.728018658404928,45.358327,94.47984028054151,170.149095,629.5368019080308,43.832873,87.93925402224954,678.25257,2808.097811532308,183.829481,688.1932705263763,183.403251,686.3657528949881,482.109157,1967.1069250668459,199.196326,754.0806556853537
