q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{a=0.15}_TetToxHcGT1b,strat{a=0.15}_TetToxHcGT1b_relDiffDebye,strat{a=0.20}_TetToxHcGT1b,strat{a=0.20}_TetToxHcGT1b_relDiffDebye,strat{a=0.25}_TetToxHcGT1b,strat{a=0.25}_TetToxHcGT1b_relDiffDebye,strat{a=0.30}_TetToxHcGT1b,strat{a=0.30}_TetToxHcGT1b_relDiffDebye,strat{a=0.35}_TetToxHcGT1b,strat{a=0.35}_TetToxHcGT1b_relDiffDebye,strat{a=0.40}_TetToxHcGT1b,strat{a=0.40}_TetToxHcGT1b_relDiffDebye,strat{a=0.45}_TetToxHcGT1b,strat{a=0.45}_TetToxHcGT1b_relDiffDebye,strat{a=0.50}_TetToxHcGT1b,strat{a=0.50}_TetToxHcGT1b_relDiffDebye
0,175.138217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.561175,50.00452985084346,327.433283,86.95707231049408,184.755214,5.491089931559596,265.657153,51.68428544639118,689.458919,293.66560355013775,982.422065,460.9409995306736,597.293772,241.04136848669643,947.312048,440.893966049683
0.02,161.059383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56814,49.97612774910481,300.629967,86.65784097782122,167.43621,3.959301768838883,243.133206,50.95873427007975,625.086852,288.10955335647844,898.585302,457.92173374959464,549.128158,240.94763544449935,866.704883,438.12753212894154
0.04,125.470537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.091509,49.71607637257502,233.870806,86.39499885140366,125.792473,0.25658294584330027,187.074076,49.098011750758666,469.017831,273.8071440628329,693.39201,452.6333325567898,427.431657,240.66296934713844,666.390783,431.113358509018
0.06,83.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.123314,48.36013023455656,158.637348,89.96712522268881,81.783647,2.0646492979876463,123.32712,47.6833718147732,302.416964,262.1422193067258,468.075817,460.51754812335474,284.394339,240.5602507263095,439.226209,425.97034240757654
0.08,48.75987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.775533,43.03608069504698,103.507477,112.28005119783953,51.547417,5.716887678330569,74.107328,51.98426082760269,189.528368,288.69744320483215,302.926637,521.2621916342271,167.455382,243.42868838657688,264.192001,441.82261150409136
0.1,26.52572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.458246,26.643853588140114,78.26819,195.06528003763896,36.596952,37.967798800560374,46.38943,74.88471566464547,140.985707,431.5056744925302,213.543382,705.0427358804964,95.64557,260.5767157309963,164.900065,521.661033140665
0.12,14.549347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.127604,10.847613985699857,73.448466,404.8231099306381,29.298349,101.37226089940671,34.067145,134.14896214929783,126.521328,769.6014192252064,168.179776,1055.9266268101242,61.00502,319.2973059203276,118.540616,714.7487031548565
0.14,8.171848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.375415,75.9138814133596,72.497282,787.158963309156,23.158558,183.39438031642288,27.898519,241.39791880612557,113.250959,1285.8671747198428,133.144049,1529.3015851494054,45.833266,460.8678232879514,92.586763,1032.996636746058
0.16,4.31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.231145,183.33495488608594,65.001292,1405.7574852033315,17.035709,294.63286887429496,22.818053,428.5810950114088,90.329351,1992.4829679048382,98.309544,2177.3444525522086,37.365907,765.5827049816418,70.699538,1537.7575778634887
0.18,1.979464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.757347,392.92874232620545,51.401531,2496.739875036879,12.42052,527.4688501533749,18.375064,828.2848286202728,65.540629,3211.029096765589,70.073359,3440.016842943343,31.060078,1469.1155787627358,52.909568,2572.92398346219
0.2,0.872902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.914596,806.6992629184034,38.490468,4309.4833096957045,9.925167,1037.0310756533954,15.489677,1674.503552517923,48.722394,5481.6568182911715,53.722522,6054.473468957569,26.597737,2947.047320317745,42.941666,4819.414321424398
0.22,0.549387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.299511,1228.6646753563516,31.862723,5699.686377726448,8.779687,1498.0878688429104,14.134382,2472.755088853577,41.747019,7498.8363394110165,46.758241,8410.98424243748,24.018862,4271.938542411815,40.077865,7195.01517145473
0.24,0.505098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.736405,1431.6641523031174,31.745478,6185.013601320931,8.062984,1496.3207140000552,13.369441,2546.900403486056,40.218283,7862.471243204289,43.731884,8558.098824386554,22.759047,4405.86757421332,40.106806,7840.40087270193
