q_inverse_angstroms,debye,propo{e=0.380}_VancomycinLacticAcid,propo{e=0.380}_VancomycinLacticAcid_relDiffDebye,propo{e=0.390}_VancomycinLacticAcid,propo{e=0.390}_VancomycinLacticAcid_relDiffDebye,propo{e=0.400}_VancomycinLacticAcid,propo{e=0.400}_VancomycinLacticAcid_relDiffDebye,propo{e=0.410}_VancomycinLacticAcid,propo{e=0.410}_VancomycinLacticAcid_relDiffDebye,propo{e=0.420}_VancomycinLacticAcid,propo{e=0.420}_VancomycinLacticAcid_relDiffDebye,propo{e=0.430}_VancomycinLacticAcid,propo{e=0.430}_VancomycinLacticAcid_relDiffDebye,propo{e=0.440}_VancomycinLacticAcid,propo{e=0.440}_VancomycinLacticAcid_relDiffDebye,propo{e=0.450}_VancomycinLacticAcid,propo{e=0.450}_VancomycinLacticAcid_relDiffDebye,strat{a=0.15}_VancomycinLacticAcid,strat{a=0.15}_VancomycinLacticAcid_relDiffDebye,strat{a=0.20}_VancomycinLacticAcid,strat{a=0.20}_VancomycinLacticAcid_relDiffDebye,strat{a=0.25}_VancomycinLacticAcid,strat{a=0.25}_VancomycinLacticAcid_relDiffDebye,strat{a=0.30}_VancomycinLacticAcid,strat{a=0.30}_VancomycinLacticAcid_relDiffDebye,strat{a=0.35}_VancomycinLacticAcid,strat{a=0.35}_VancomycinLacticAcid_relDiffDebye,strat{a=0.40}_VancomycinLacticAcid,strat{a=0.40}_VancomycinLacticAcid_relDiffDebye,strat{a=0.45}_VancomycinLacticAcid,strat{a=0.45}_VancomycinLacticAcid_relDiffDebye,strat{a=0.50}_VancomycinLacticAcid,strat{a=0.50}_VancomycinLacticAcid_relDiffDebye
0,186.902089,220.512243,17.982759946572894,214.646645,14.844433333219737,209.515048,12.09882624693404,204.384258,9.353650937523764,199.987128,7.001012706711922,194.858009,4.256731448303941,190.462416,1.9049155732015395,186.800024,0.05460880643232504,13.517343,92.76768757785258,20.122071,89.23389721984327,26.090216,86.04070391101942,53.412442,71.4222338092754,61.254294,67.2265332465064,65.066357,65.18692897006625,81.264396,56.52033830397689,124.707724,33.27644187005315
0.02,182.47257,215.338085,18.01120847917033,209.610926,14.872567422051445,204.600464,12.126696083690824,199.590808,9.381266455555496,195.297507,7.02841912074785,190.289522,4.2839052466899625,185.997759,1.9319007782923274,182.421891,0.027773489462006463,13.24088,92.74363264571765,19.718826,89.19353960981641,25.589424,85.97629002539942,52.195295,71.39553906650188,60.005712,67.11521518001308,63.479524,65.21147041442997,79.52646,56.41730699578572,121.83767,33.22959719370423
0.04,169.92571,200.675473,18.096003836029286,195.340625,14.95648598437516,190.673434,12.209879246642533,186.007051,9.463748010821895,182.007983,7.110326624499604,177.343269,4.365177582603588,173.345739,2.012661297692974,170.015065,0.052584744239105086,12.456684,92.6693353230656,18.564387,89.07499812712273,24.153965,85.78557358977638,48.738627,71.31768524021467,56.452036,66.7784021617447,58.997785,65.28024805663605,74.57846,56.11113821445854,113.71158,33.081591949799716
0.06,151.267821,178.852308,18.235528757963664,174.101357,15.094774188622715,169.945076,12.347143547470022,165.789603,9.600047058257024,162.228458,7.245848408168709,158.074654,4.499855260029172,154.515047,2.1466733496478487,151.54931,0.18608650414815817,11.286607,92.53865962675565,16.811547,88.8862370801256,21.968241,85.47725428000975,43.572767,71.19495295698086,51.115332,66.20872062406453,52.370612,65.37888120963943,67.14451,55.61216552461611,101.636156,32.810458081497714
0.08,129.20243,153.010921,18.42727803184507,148.951379,15.285276755243698,145.400081,12.536645789092363,141.849589,9.78863865021735,138.807001,7.433738668847035,135.25818,4.687024849300449,132.217129,2.333314474038923,129.683521,0.37235445184739996,9.893932,92.34230192110164,14.67553,88.64144428243338,19.290903,85.06924134476418,37.42221,71.0359859330819,44.706853,65.39782340007073,44.595042,65.48436279410534,58.215585,54.94234512462343,87.364441,32.381735389961314
0.1,106.436786,126.306984,18.66854378710759,122.961928,15.525780720210777,120.035806,12.776616535565061,117.11049,10.028209607907552,114.603767,7.673081184544605,111.680121,4.926243263301846,109.174936,2.5725598290801495,107.087882,0.6117208386957452,8.441189,92.06929359930129,12.388067,88.3611038386672,16.399532,84.59223298982364,31.028896,70.84758271449496,37.953614,64.3416384256473,36.648522,65.56780472495664,48.811589,54.14030164345623,72.639234,31.75363825811125
0.12,85.11132,101.246694,18.957964698467837,98.572147,15.815554264697099,96.23272,13.06688698988571,93.894101,10.319169060002828,91.890259,7.964791287457407,89.55331,5.2190354937509955,87.551006,2.866464766378896,85.883021,0.9066960775605325,7.056751,91.70879854759625,10.154185,88.06952471187147,13.540483,84.0908553644803,25.000071,70.62662052474337,31.452887,63.04500153446099,29.278209,65.60009996320113,39.77841,53.2630794587606,58.823215,30.886731635697824
0.14,66.516454,79.352843,19.298065708674127,77.264085,16.157853213281633,75.437223,13.411371868981481,73.611169,10.666105261714655,72.046669,8.314055647043359,70.222284,5.571298193376343,68.659322,3.221560788553171,67.357455,1.264350321500911,5.819591,91.25090011563154,8.122817,87.78825912758367,10.896666,83.61808944295197,19.723172,70.34843138210583,25.594897,61.52095389811368,22.908387,65.55981922908877,31.676065,52.378602443239075,46.723552,29.756399822516094
0.16,51.119261,61.188722,19.697978419523704,59.585961,16.562641623477294,58.184346,13.820788606470652,56.783539,11.08051620699289,55.583536,8.733058562798865,54.184399,5.996053033708757,52.985934,3.651604040207073,51.987814,1.699071901684961,4.762168,90.68420022738592,6.376372,87.5264785224497,8.577519,83.22057316125911,15.358341,69.95586262485288,20.560205,59.77992522231494,17.667254,65.43914435695774,24.769618,51.545430204869355,36.62149,28.360681896399086
0.18,38.799306,46.626911,20.17460054569017,45.413763,17.04787451610604,44.35306,14.314054998818786,43.293165,11.582317993007402,42.385372,9.24260346306193,41.327147,6.515170657949384,40.420892,4.179420116431981,39.666281,2.2345116172954134,3.884171,89.98907093853688,4.937625,87.27393474512148,6.627223,82.91922283352181,11.889342,69.35681787710327,16.369228,57.81051341485335,13.486119,65.2413396260232,19.094525,50.78642643762752,28.43482,26.71307058945849
