q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{a=0.15}_Selenow,strat{a=0.15}_Selenow_relDiffDebye,strat{a=0.20}_Selenow,strat{a=0.20}_Selenow_relDiffDebye,strat{a=0.25}_Selenow,strat{a=0.25}_Selenow_relDiffDebye,strat{a=0.30}_Selenow,strat{a=0.30}_Selenow_relDiffDebye,strat{a=0.35}_Selenow,strat{a=0.35}_Selenow_relDiffDebye,strat{a=0.40}_Selenow,strat{a=0.40}_Selenow_relDiffDebye,strat{a=0.45}_Selenow,strat{a=0.45}_Selenow_relDiffDebye,strat{a=0.50}_Selenow,strat{a=0.50}_Selenow_relDiffDebye
0,178.36908,90.439084,49.29665836702191,88.188666,50.55832210380857,85.938619,51.8197778449045,83.953613,52.93264224943023,81.968942,54.04531884113547,79.98463,55.1577941647734,78.265204,56.12176505031029,76.546088,57.08556213890883,112.224095,37.08321251642941,358.0621,100.74224747921556,221.062435,23.93540124779474,1663.4919850000001,832.6123030964785,696.946161,290.7326095980312,371.553743,108.3061385975641,1284.836418,620.3246313766939,1220.127356,584.0464479605995
0.02,169.885546,86.150596,49.28903722038837,84.007548,50.55050298393249,81.86487,51.81175095378626,79.974604,52.92442124534833,78.084671,54.03689552258908,76.195097,55.14915848108702,74.557777,56.112936765085365,72.920768,57.076531984657485,109.520603,35.53271271235754,349.361956,105.64548557886144,213.967343,25.947938502078333,1635.295842,862.5868006451826,677.03518,298.52429823547203,357.632133,110.51357306171296,1246.601867,633.7892459668112,1185.402949,597.7656292195688
0.04,146.548434,74.353069,49.26382563733161,72.505394,50.52462041320756,70.658088,51.78516339519533,69.028444,52.89718073684773,67.399134,54.00897016750107,65.770183,55.12051462794887,64.358737,56.08364057987818,62.947601,57.046554997646716,101.906265,30.46239920926073,324.616428,121.50794733159688,194.11579,32.458453974335896,1554.707229,960.882867571277,621.032096,323.7725911148256,318.939444,117.63415363414937,1138.733112,677.0353329057068,1087.191729,641.865129039864
0.06,113.928714,57.861799,49.21227760018427,56.427013,50.47164931572913,54.992597,51.73069626679012,53.727266,52.8413302374325,52.46227,53.95167016455571,51.197632,55.06169586009722,50.101925,56.02344374746475,49.006528,56.984919534859316,90.736251,20.356995340086083,287.555177,152.3992125461892,165.382444,45.16309207176691,1432.83459,1157.6588813246851,539.024686,373.12452416517226,263.689932,131.45168828992487,979.803501,760.0145359316527,941.771833,726.6325493676686
0.08,79.094726,40.249605,49.11215066349682,39.255772,50.36866048439184,38.262309,51.6247025117705,37.386055,52.73255640331822,36.510135,53.839988016394415,35.634574,54.94696574332908,34.876067,55.90595130198693,34.117869,56.8645461898433,77.8717,1.5462800895220123,243.39176,207.72185745987665,132.966641,68.11062851396693,1285.495554,1525.2607714956875,444.58,462.0855175602985,202.645579,156.20618370939172,795.056443,905.195268013192,771.492639,875.4033903600603
0.1,48.324319,24.690981,48.905682457729,24.086686,50.156181197297364,23.482762,51.40591220747467,22.950219,52.5079308411982,22.418009,53.60926038088607,21.886159,54.70984495404891,21.425533,55.66304203893696,20.965218,56.61559555552144,65.226702,34.97697091189221,197.670783,309.05032308887786,102.000769,111.07544009052668,1130.02149,2238.4116183820406,351.171982,626.6982531093713,145.9678,202.058679812953,610.047795,1162.4032942916378,599.37316,1140.3137227862435
0.12,25.425472,13.112849,48.426330099201294,12.798434,49.66294431033571,12.484389,50.89810328791536,12.207622,51.986645518321154,11.931189,53.073874105464,11.655114,54.159694655816025,11.416161,55.09951201692539,11.177519,56.03810619523601,54.357983,113.79340765040664,155.203955,510.42703553349963,76.362983,200.34047352198615,982.144975,3762.838711509466,269.165749,958.646026315657,100.691863,296.027507375281,445.151361,1650.8086418218707,444.28967,1647.4195562623183
0.14,11.226387,5.93559,47.128225670467266,5.800871,48.32824665673828,5.666522,49.524971836442134,5.548309,50.577964219476854,5.430431,51.627972561430504,5.312912,52.67478308025548,5.211373,53.57925038572071,5.110145,54.48094743215248,46.207351,311.5959212879442,119.367551,963.2766445696196,58.038817,416.98571410374495,853.705846,7504.457658550341,204.24581,1719.3369781390932,69.618793,520.1353382882667,312.491448,2683.5442337770824,318.067134,2733.210132520819
0.16,4.205786,2.390352,43.16515390940005,2.344395,44.25786285845261,2.298807,45.34179817993592,2.258914,46.29032480492351,2.219354,47.23093376600711,2.180154,48.16298309043779,2.146492,48.96335667102416,2.11314,49.7563594533816,41.03949,875.7864522826411,91.869468,2084.359071051166,47.123759,1020.4507076679604,751.555059,17769.55063809714,157.497572,3644.7833056651007,51.744971,1130.3281954906884,215.736704,5029.521663727066,224.925921,5248.011548851987
0.18,1.751964,1.155063,34.070391857366936,1.140034,34.92822911886317,1.125374,35.7650043037414,1.11277,36.48442547906235,1.100499,37.184839414508524,1.0885879999999999,37.86470498252248,1.078577,38.43612083353312,1.068875,38.989899335831105,38.548404,2100.296581436605,72.924621,4062.449742117989,42.316645,2315.3832498841302,677.634955,38578.58900068722,126.701753,7131.983819302222,43.729964,2396.0538001922414,152.084872,8580.821752045134,162.867454,9196.278576500432
