q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{a=0.15}_TetToxHcGT1b,strat{a=0.15}_TetToxHcGT1b_relDiffDebye,strat{a=0.20}_TetToxHcGT1b,strat{a=0.20}_TetToxHcGT1b_relDiffDebye,strat{a=0.25}_TetToxHcGT1b,strat{a=0.25}_TetToxHcGT1b_relDiffDebye,strat{a=0.30}_TetToxHcGT1b,strat{a=0.30}_TetToxHcGT1b_relDiffDebye,strat{a=0.35}_TetToxHcGT1b,strat{a=0.35}_TetToxHcGT1b_relDiffDebye,strat{a=0.40}_TetToxHcGT1b,strat{a=0.40}_TetToxHcGT1b_relDiffDebye,strat{a=0.45}_TetToxHcGT1b,strat{a=0.45}_TetToxHcGT1b_relDiffDebye,strat{a=0.50}_TetToxHcGT1b,strat{a=0.50}_TetToxHcGT1b_relDiffDebye
0,175.138217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.275953,62.1579149683818,209.812088,19.7980038816999,383.383563,118.90342928408366,192.777265,10.071501413081076,513.358444,193.1161757801839,906.129467,417.37963450889765,659.075649,276.31743675910553,1100.609405,528.4233240766633
0.02,161.059383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.526468,62.419781528655186,191.066482,18.631077830467046,350.850276,117.83907864591782,177.102328,9.960888152663545,470.143126,191.9066975439736,838.303374,420.4933474754464,605.967199,276.2383710361041,1009.801764,526.974812141184
0.04,125.470537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.490254,62.94727422741483,146.122586,16.459680092068165,270.111668,115.27896066946779,138.160647,10.114015850589704,362.359577,188.80053091667253,665.524531,430.42295578921454,472.017838,276.19814921171496,782.405132,523.5767780287734
0.06,83.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.038883,62.831152638574196,98.926024,18.463228400607893,178.861028,114.1848419171433,93.752357,12.267798010221567,239.139281,186.36763228915532,459.924401,450.75628393470834,315.409337,277.7004959657057,520.397771,523.1727255624895
0.08,48.75987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.389465,60.23478938725636,66.743391,36.88180669882837,109.075418,123.69915670406833,58.491691,19.958668880782504,142.895153,193.05892940239585,290.934666,496.6682560884596,189.053894,287.724360216711,313.541527,543.0319174353829
0.1,26.52572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.514305,52.821996914692605,50.507497,90.40952328532458,70.152735,164.47061568922544,36.404001,37.24038781982168,87.428066,229.5973342099668,190.091957,616.6326003591985,113.709849,328.67770978506906,192.979362,627.5179033783061
0.12,14.549347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.751554,39.84916298992662,41.250101,183.51857303286536,52.633196,261.7564142225765,23.62046,62.347217369961704,62.032219,326.3574097174258,146.75175,908.6483606446391,79.196578,444.3308074238659,137.072688,842.1226121007356
0.14,8.171848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.561845,19.701822647704663,32.009923,291.7097209835523,43.233962,429.0597916162904,15.401732,88.47306019397325,50.056949,512.553598647454,129.989023,1490.693108829239,64.238689,686.0974531097494,108.911575,1232.7655507052993
0.16,4.31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.424131,25.650207906227934,22.567709,422.78186640721833,35.383775,719.6665392589505,9.870147,128.6423433753779,42.194836,877.4450351529472,114.564613,2553.8937651296665,54.011461,1151.1776179390065,86.222284,1897.3425993490625
0.18,1.979464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.102784,157.78614816940342,15.737061,695.0162771336079,29.124788,1371.347192977493,6.986488,252.948474940691,36.895452,1763.9112406186725,92.71684,4583.936661641738,44.233207,2134.6052769840726,65.559526,3211.9837491361304
0.2,0.872902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132014,487.92556323619374,12.611462,1344.7740983523922,25.775961,2852.904335194558,6.411673,634.5238067961811,34.472591,3849.1937239231893,69.73438,7888.79828434349,35.918591,4014.8480585449456,50.85665,5726.158033776987
0.22,0.549387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.092981,827.0297622623034,11.908867,2067.6645060767733,24.702482,4396.371774359423,7.086315,1189.858515035849,33.605585,6016.9239534244525,53.194825,9582.578036975756,30.04573,5368.9553993814925,43.61815,7839.42157349919
0.24,0.505098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.889161,867.9628507735131,12.023879,2280.5041793869705,24.065301,4664.4815461554,8.053954,1494.5329421221224,32.244241,6283.759389267034,45.863101,8980.04011102796,26.285319,5104.003777484765,41.402158,8096.85645161929
