q_inverse_angstroms,debye,propo{e=0.380}_XyloseIsomerase,propo{e=0.380}_XyloseIsomerase_relDiffDebye,propo{e=0.390}_XyloseIsomerase,propo{e=0.390}_XyloseIsomerase_relDiffDebye,propo{e=0.400}_XyloseIsomerase,propo{e=0.400}_XyloseIsomerase_relDiffDebye,propo{e=0.410}_XyloseIsomerase,propo{e=0.410}_XyloseIsomerase_relDiffDebye,propo{e=0.420}_XyloseIsomerase,propo{e=0.420}_XyloseIsomerase_relDiffDebye,propo{e=0.430}_XyloseIsomerase,propo{e=0.430}_XyloseIsomerase_relDiffDebye,propo{e=0.440}_XyloseIsomerase,propo{e=0.440}_XyloseIsomerase_relDiffDebye,propo{e=0.450}_XyloseIsomerase,propo{e=0.450}_XyloseIsomerase_relDiffDebye,strat{a=0.15}_XyloseIsomerase,strat{a=0.15}_XyloseIsomerase_relDiffDebye,strat{a=0.20}_XyloseIsomerase,strat{a=0.20}_XyloseIsomerase_relDiffDebye,strat{a=0.25}_XyloseIsomerase,strat{a=0.25}_XyloseIsomerase_relDiffDebye,strat{a=0.30}_XyloseIsomerase,strat{a=0.30}_XyloseIsomerase_relDiffDebye,strat{a=0.35}_XyloseIsomerase,strat{a=0.35}_XyloseIsomerase_relDiffDebye,strat{a=0.40}_XyloseIsomerase,strat{a=0.40}_XyloseIsomerase_relDiffDebye,strat{a=0.45}_XyloseIsomerase,strat{a=0.45}_XyloseIsomerase_relDiffDebye,strat{a=0.50}_XyloseIsomerase,strat{a=0.50}_XyloseIsomerase_relDiffDebye
0,180.1075,62.615668,65.23428063795234,61.013156,66.12403370209458,59.529573,66.94775453548574,58.04622,67.77134766736532,56.681757,68.5289302222284,55.37683,69.25345696320252,54.131426,69.94493510819927,52.94553,70.60337298557806,90.924813,49.516364948711185,67.633284,62.44837999528059,177.045934,1.699854808933553,481.400836,167.28528017989262,461.963061,156.4929617034271,293.234567,62.81085851505354,669.856427,271.92034035228966,1264.392613,602.0210779673251
0.02,159.882205,55.615403,65.21476358172569,54.19307,66.10437665655161,52.876318,66.92795298888954,51.559798,67.75138421439709,50.348819,68.50880371583568,49.190705,69.23315824922479,48.08544,69.92445782193208,47.033008,70.58271244132517,84.349946,47.24244264707257,58.839203,63.19840410006855,165.258064,3.3623873275953327,443.875097,177.62632933414946,424.765561,165.67406985661725,263.470484,64.7903742633522,606.334626,279.2383436292988,1155.132657,622.4898211780354
0.04,111.592756,38.895753,65.14491227369633,37.903763,66.03384990330376,36.985478,66.85673933888684,36.067424,67.67942177178597,35.223035,68.43609185528136,34.415571,69.15967287338974,33.645018,69.85017737172832,32.911359,70.50762058426086,68.500613,38.61553791179778,38.572811,65.43430561030323,135.441411,21.371149754559333,351.253906,214.76407482937333,331.116482,196.71861675322367,191.242025,71.3749456998804,451.98909,305.03443610622895,884.357716,692.4866700128815
0.06,61.195467,21.433403,64.97550545696465,20.890873,65.86205805080301,20.388754,66.68257470769852,19.886867,67.50271225154634,19.425351,68.25687922276988,18.984114,68.97790811858663,18.56314,69.665825084724,18.162415,70.32065299869352,51.772254,15.398547412016653,19.051299,68.86812057500926,100.160214,63.67260339724182,248.027577,305.3038389265009,221.668781,262.23072045516045,113.297233,85.13991077149555,285.442421,366.44373348764543,577.881007,844.319955920918
0.08,27.247811,9.656682,64.55978794039639,9.417271,65.43843099909934,9.195817,66.25117151612656,8.974596,67.06305691859063,8.771292,67.80918658016233,8.57704,68.52209522445675,8.391825,69.20183790176759,8.215633,69.84846599236907,40.645184,49.16862128851379,7.814004,71.32245228800214,70.640179,159.25084037025948,171.964561,531.1133066799384,132.888682,387.7040654752046,57.985821,112.80909868319331,168.536782,518.5332906191989,341.890836,1154.7460638214202
0.1,11.574057,4.209001,63.63417771313896,4.109807,64.49121513744058,4.018184,65.28283902524413,3.926792,66.07246707010343,3.842933,66.797009898949,3.762931,67.48822819863423,3.686774,68.14622564931207,3.614446,68.77114049118646,36.054977,211.51546082760782,4.213941,63.59149605017497,51.377472,343.90201292424945,134.558146,1062.584096484059,79.615998,587.883237485352,30.614646,164.51093164652636,113.687876,882.2646976768821,212.552395,1736.4554019390089
0.12,6.187235,2.33069,62.330669515542894,2.279841,63.15250673362173,2.232982,63.909856341322104,2.186355,64.66345629348167,2.143679,65.35319896528902,2.10307,66.00953414570483,2.064515,66.63267194473784,2.027998,67.2228709593219,34.906725,464.17325348075514,4.000337,35.34531983996082,40.826491,559.8503370245351,124.639144,1914.456279743698,56.555757,814.0715844799818,20.624557,233.34045013645027,96.950574,1466.945073203135,167.516284,2607.4498382556994
0.14,3.919418,1.537287,60.77767158287276,1.50686,61.553985821364286,1.47891,62.26710190135372,1.451191,62.97432424916147,1.42591,63.619343484160154,1.401941,64.23088836148632,1.379269,64.80934159102192,1.35788,65.35506036865677,33.962882,766.5287040065642,4.165206,6.271033097260884,35.387272,802.870579254369,124.361963,3072.970145057251,50.23883,1181.7931131611888,16.507112,321.16232563099925,90.0736,2198.1371213787356,163.827705,4079.89877578763
0.16,2.193003,0.93327,57.44328667129046,0.918389,58.12185391447253,0.904834,58.73995612409102,0.89151,59.347524832387364,0.879473,59.896406890460256,0.868171,60.41177326250807,0.857591,60.894216742977555,0.847718,61.34442132546103,32.222074,1369.312809877597,3.860124,76.02000544458899,32.453427,1379.8624078489631,121.698154,5449.383835772226,49.316776,2148.82391861753,13.219088,502.7847659123129,79.468711,3523.739274410477,166.977782,7514.115530165712
0.18,0.971833,0.506067,47.92654705077929,0.502182,48.326307091856314,0.498808,48.67348608248537,0.495665,48.996895557158474,0.492995,49.271634118207544,0.490653,49.51262202456594,0.488625,49.721299852958275,0.486896,49.899211078446605,30.537672,3042.275679051854,3.339265,243.60481687697373,30.954593,3085.1761568088345,113.471761,11576.055556870368,48.321978,4872.25119953737,10.520177,982.5087232065591,65.30484,6619.759464846326,162.184261,16588.490820953804
0.2,0.415513,0.31137,25.063716418018217,0.312496,24.792726100025757,0.313762,24.488042492052,0.31526,24.12752428925209,0.316858,23.742939450751248,0.318599,23.32393932319807,0.320469,22.873893235590707,0.322452,22.396651849641287,29.881217,7091.403638393985,3.043543,632.4784062111172,30.496996,7239.600927046807,102.2999,24520.144255414387,46.470414,11083.865246093383,9.056694,2079.6415515278704,52.491007,12532.819430439002,150.933215,36224.54700574951
0.22,0.322119,0.278661,13.49128738137148,0.280629,12.880333044620148,0.282675,12.24516405427807,0.284952,11.538282435994153,0.287267,10.819603935191651,0.289695,10.065845231110245,0.292219,9.28228387645559,0.294826,8.472955646826177,30.184563,9270.624831195924,3.030697,840.8625383786738,30.640621,9412.205427186846,92.443979,28598.70420558862,44.804918,13809.430365796492,8.68671,2596.739403760722,44.250345,13637.26635187617,139.748141,43284.01056752319
0.24,0.390519,0.302659,22.498265129225466,0.30401,22.152315252266856,0.305483,21.775124897892294,0.307189,21.338270353043004,0.308978,20.880162040771392,0.310902,20.387484347752604,0.312946,19.86407831629191,0.315095,19.31378498869453,30.577256,7729.902258276805,2.986583,664.7727767406964,30.855225,7801.081637513155,86.986191,22174.509306845506,44.092115,11190.645269500332,8.81133,2156.312753028662,40.661979,10312.29210358523,132.005472,33702.57349834451
