weights,q_inv_angstrom,intensity
16.154450-0.005532i,0.000000,3375797450.848270
16.154450-0.005532i,0.020000,2995789299.935581
16.154450-0.005532i,0.040000,2122076803.913688
16.154450-0.005532i,0.060000,1261052489.699737
16.154450-0.005532i,0.080000,692826322.368671
16.154450-0.005532i,0.100000,389580481.934754
16.154450-0.005532i,0.120000,231883550.601063
16.154450-0.005532i,0.140000,146659681.514057
16.154450-0.005532i,0.160000,98611632.411289
16.154450-0.005532i,0.180000,65915913.878577
16.154450-0.005532i,0.200000,39695448.470997
16.154450-0.005532i,0.220000,20860415.766812
16.154450-0.005532i,0.240000,11229625.775700
16.154450-0.005532i,0.260000,8453643.642952
16.154450-0.005532i,0.280000,8071820.248401
16.154450-0.005532i,0.300000,7618660.796916
16.154450-0.005532i,0.320000,6625696.990470
16.154450-0.005532i,0.340000,5179831.919516
16.154450-0.005532i,0.360000,3965782.510472
16.154450-0.005532i,0.380000,3517860.605637
16.154450-0.005532i,0.400000,3489204.773334
16.154450-0.005532i,0.420000,3490594.151551
16.154450-0.005532i,0.440000,3437787.837664
16.154450-0.005532i,0.460000,3222841.263943
16.154450-0.005532i,0.480000,2921513.673967
16.154450-0.005532i,0.500000,2710175.855536
